Complexity,Loss,Equation
1,1.0,"-0.00023796286"
2,0.9694976,"sin(y3)"
3,0.84427875,"x1 * 0.39469713"
4,0.83656824,"sin(y1 + y2)"
5,0.6882154,"0.39518535 * (y2 + x1)"
7,0.53316855,"((x1 + y2) + y3) * 0.3949561"
9,0.37827218,"((y3 + (x2 + y2)) + y1) * 0.3961402"
11,0.22308908,"((y3 + y2) + (y1 + (x1 + x2))) * 0.39532351"
13,0.069509625,"0.39481997 * ((((x2 + x3) + y2) + (x1 + y3)) + y1)"
17,0.06621462,"((x1 * 0.024185162) + 0.39806443) * ((x3 + y3) + (x1 + ((y2 + x2) + y1)))"
18,0.059658647,"((x2 + x1) + ((x3 + y2) + ((y3 + y1) + sin(x3 * y3)))) * 0.3863696"
19,0.046195026,"(((x3 + y1) + x2) + ((y3 + (y2 + x1)) + ((x2 * y2) * 0.38534495))) * 0.3949192"
21,0.046194658,"0.39458075 * ((((((y2 + 0.010431796) * (x2 * 0.38562486)) + y2) + y1) + x2) + ((x1 + x3) + y3))"
23,0.022968978,"(y3 + ((x1 + ((x2 + y1) + (x3 + y2))) + (((y1 * x1) + (y2 * x2)) * 0.38616532))) * 0.39474913"
25,0.02296891,"((x3 + (y1 + x2)) + ((((x2 * y2) + ((x1 + -0.004232286) * y1)) * 0.38534495) + (y3 + (y2 + x1)))) * 0.3949192"
27,5.075206e-6,"(y3 + ((((x2 + (x3 + y1)) + y2) + (((y1 * x1) + ((y3 * x3) + (y2 * x2))) * 0.38531214)) + x1)) * 0.39478114"
29,2.0185355e-6,"((x2 + ((y2 + y1) + ((y3 + x3) + ((((x2 * y2) + (x1 * y1)) + (x3 * (y3 - 0.012626829))) * 0.38488945)))) + x1) * 0.39512038"
31,1.5532917e-6,"(y1 + ((((x3 + y2) + (x2 + y3)) + ((((y2 * x2) + (x3 * (y3 + -0.013133865))) + (y1 * (x1 + -0.0057657445))) * 0.38470855)) + x1)) * 0.39525276"
33,1.5473292e-6,"(((x1 + y3) + ((y2 + y1) + x3)) + (x2 + (((((x2 * y2) * 1.002469) + (x3 * (y3 + -0.015064054))) + ((x1 + -0.0056662373) * y1)) * 0.3843476))) * 0.39532527"
39,1.4961231e-6,"(y1 + ((y3 + (x2 + x3)) + ((((((y2 * x2) + (x1 * y1)) + ((x3 * (y3 + -0.011419751)) + -0.0063442653)) * 0.38486993) + (x1 + y2)) - (((y2 + x1) + 0.843311) * -0.0011037304)))) * 0.39507172"
