Complexity,Loss,Equation
1,0.6317111,"h"
2,0.5468626,"sin(h)"
3,0.27109408,"h + omega"
4,0.18374673,"h + sin(omega)"
5,0.06856313,"(omega + h) * 0.6819668"
7,0.06856021,"(omega * 0.6804078) - (h * -0.6828575)"
8,0.06831108,"sin(h) + (omega / (2.5653586 - h))"
9,0.04412556,"(omega + h) * ((h * 0.08955493) - -0.6741889)"
10,0.0026249792,"((h * exp(omega * 0.35753936)) + omega) * 0.66141653"
11,1.1882671e-7,"(((h * 0.2618446) + 0.68000674) * omega) - (h * -0.68245137)"
13,3.4120573e-15,"(omega * ((h * 0.2618446) + 0.68000674)) + ((0.0005051076 - h) * -0.68245137)"
15,3.3632316e-15,"((((h * 0.2618446) * omega) + -0.0003447144) - (h * -0.68245137)) + (omega * 0.68000674)"
17,3.2067767e-15,"(omega * 0.68000674) + ((((omega * (h * 0.2618446)) - 0.00034471077) - (h * 0.31754863)) + h)"
19,3.056633e-15,"(omega * 0.60899276) + ((((-0.001085557 - h) * 0.31754863) + (((h - -0.27120665) * omega) * 0.2618446)) + h)"
21,2.9869332e-15,"(omega * 0.5929738) + (h + (((((h - -0.33238384) * omega) * 0.2618446) + ((-0.0018333101 - h) * 0.31754863)) + 0.00023745393))"
