Complexity,Loss,Equation
1,0.9125523,"n_0"
2,0.75125486,"sin(n_0)"
3,0.704369,"n_0 / 1.8319577"
4,0.70100474,"sin(n_0 + T)"
5,0.55801564,"(kb + n_0) * 0.46969897"
6,0.5521942,"(n_0 + sin(kb)) * 0.53516245"
7,0.40468433,"((kb + T) + n_0) * 0.4449194"
9,0.260137,"((n_0 + T) - (mom - kb)) * 0.43063104"
11,0.11559261,"((((kb + T) + n_0) - B) - mom) * 0.42186344"
13,0.09569653,"(((kb - (mom - T)) - B) / 2.55931) - (n_0 * -0.5359443)"
14,0.08459401,"((kb - (mom - (T - B))) + n_0) / (2.7171953 - sin(n_0))"
15,0.054953985,"((kb - (mom - (T - B))) / (3.1124268 - n_0)) - (n_0 * -0.56562585)"
16,0.046643823,"((kb - (mom - (T - B))) / (2.7740262 - sin(n_0))) - (n_0 * -0.562828)"
18,0.04650287,"((kb - (mom - (T - B))) / (2.8163044 - sin(n_0 - -0.07810112))) - (n_0 * -0.56562585)"
20,0.040962294,"((kb - (mom - (T - B))) / (2.8163044 - sin(n_0 - (T * 0.30063042)))) - (n_0 * -0.56562585)"
22,0.04021208,"((kb - (mom - (T - B))) / (2.8163044 - sin(n_0 - (kb * 0.35367423)))) - ((n_0 * -0.56562585) + -0.033231843)"
26,0.037639003,"0.19971375 - (((kb - (mom - (T - (B - -0.45443317)))) * (-1.4690083 / (3.6197898 - (n_0 - exp(-1.1298046 + kb))))) + (n_0 * -0.6071902))"
28,0.033878136,"((((sin(0.7768837 - (mom - (T - (B - kb)))) - (mom - (T - B))) + kb) / (4.15483 - n_0)) * 1.3626285) + (n_0 * 0.5430562)"
32,0.028134812,"((-0.19402957 - ((((sin((0.64700705 - (mom - T)) - (B - kb)) * 0.56508625) - (mom - (T - B))) + kb) * -1.3344558)) / (3.9301517 - n_0)) + (n_0 * 0.5260308)"
34,0.024269603,"((n_0 * 0.5802866) - (((kb + ((sin(0.88290524 - (mom - (T - (B - kb)))) * 0.6326841) - (mom - ((T - B) - 0.25575742)))) * -1.3701746) / (3.9971237 - n_0))) + 0.07524075"
39,0.023779254,"(-0.15271409 - (((sin(0.7043435 - (mom - (T - (B - kb)))) * 0.60844064) + (kb - (mom - ((T - B) - -0.38914353)))) * (-1.4166602 / (3.7503114 - (n_0 - exp(kb + -1.3945674)))))) + (n_0 * 0.5311434)"
40,0.022817366,"(-0.15271409 - (((((sin(0.7043435 - (mom - (T - (B - kb)))) * 0.60844064) - (mom - ((T - B) - -0.38914353))) + kb) * -1.4166602) / (3.7503114 - (n_0 - sin(exp(kb + -1.3945674)))))) + (n_0 * 0.5311434)"
