Complexity,Loss,Equation
1,0.28142536,"m_0"
3,0.26162544,"m_0 / 1.1632781"
4,0.14548539,"m_0 + sin(v)"
5,0.063440084,"(0.46689594 * v) + m_0"
7,0.04325145,"(v * 0.46689594) + (m_0 / 1.1695739)"
9,0.031474095,"(v * ((m_0 * 0.187524) + 0.46689594)) + m_0"
10,0.031444754,"m_0 + (v * (0.46689594 + sin(m_0 * 0.187524)))"
11,0.011201125,"((((m_0 * 0.21451761) + 0.5513955) * v) + m_0) / 1.1733667"
12,0.011200267,"(v * (sin(m_0 * 0.187524) + 0.46689594)) + (m_0 / 1.1695739)"
13,0.011154124,"(0.85820603 * (v + m_0)) + (v * (0.17878631 * (m_0 - 2.1880136)))"
15,0.0059572943,"(((m_0 * 0.20399956) + 0.47348556) * (v - (c * 0.124069765))) + (m_0 * 0.85149187)"
16,0.005497063,"(m_0 * 0.85149187) + ((v - (c * 0.124069765)) * sin((m_0 * 0.20399956) + 0.49324384))"
18,0.0053805956,"((sin((m_0 * 0.19993934) + 0.49859005) * (v - (c * 0.14377052))) + (m_0 * 1.8465292)) - m_0"
20,0.0043475595,"((0.17960775 * (m_0 - 2.1634054)) * v) + (0.857352 * (((c * (-0.044080228 * exp(v))) + v) + m_0))"
21,0.0041486872,"((m_0 + v) * 0.855087) + ((c * ((v * -0.04039543) - 0.07798813)) + ((m_0 - 2.1524231) * (v * 0.17693046)))"
22,0.0036628728,"((0.17960775 * (m_0 - 2.1634054)) * v) + (0.857352 * (((c * (-0.044080228 * (m_0 + exp(v)))) + v) + m_0))"
23,0.0035304094,"((v + m_0) * 0.855087) + (((v * 0.17693046) * (m_0 - 2.1524231)) + (c * (((v + m_0) * -0.04039543) - 0.07806741)))"
24,0.0020668781,"((m_0 + v) * 0.8566316) + (((m_0 - 2.1933317) * (v * 0.17834815)) + (((0.112168215 / (c + 2.2397718)) + -0.06557148) * exp(v)))"
25,0.0017377211,"(((m_0 - 2.2082307) * (v * 0.17812334)) + ((m_0 + v) * 0.8591691)) + (((0.12589431 / (2.2484455 + c)) + -0.07263734) * (v + 1.7714825))"
26,0.0011300574,"(((m_0 + v) * 0.8566316) + (((m_0 - 2.1933317) * v) * 0.17834815)) + (((0.112168215 / (c + 2.2397718)) + -0.06557148) * (m_0 + exp(v)))"
27,0.0008721744,"((v + m_0) * 0.8566316) + ((((0.112168215 / (c + 2.2397718)) + -0.06557148) * ((v + 1.9993197) + m_0)) + ((v * (m_0 - 2.1933317)) * 0.17834815))"
28,0.00074903417,"(((m_0 - 2.2082307) * (0.17812334 * v)) + (((0.12589431 / (c + 2.2484455)) + -0.07263734) * (1.7714825 + (v + sin(m_0))))) + ((v + m_0) * 0.85710615)"
29,0.0005202629,"((sqrt(exp(m_0)) * (v + 1.5620619)) * ((0.112168215 / (c + 2.2397718)) + -0.06557148)) + (((v + m_0) * 0.8577566) + ((v * (m_0 - 2.1933317)) * 0.17834815))"
30,0.00041251484,"(((m_0 + v) * 0.8577566) + (v * ((m_0 - 2.1933317) * 0.17834815))) + ((v + 1.7835596) * (sqrt(exp(sin(m_0))) * ((0.112168215 / (c + 2.2397718)) + -0.06557148)))"
31,0.0003395942,"((m_0 + 2.3959455) * (((v * 0.43432087) + 0.7252341) * ((0.112745404 / (c + 2.1893263)) + -0.0698956))) + (((v * (m_0 - 2.1634054)) * 0.17960775) + ((m_0 + v) * 0.857352))"
33,0.00018890917,"(((((v * 0.22874083) + 0.7984987) * (((((v + 2.1164944) + m_0) * 0.13776016) / (c + 2.2369003)) + -0.20082627)) + ((v * (m_0 - 2.3204942)) * 0.20548435)) + (v + m_0)) / 1.2417556"
35,0.00016917849,"(m_0 + (((v * (m_0 - 2.3089988)) * 0.20439783) + (((((((v * 0.88615906) + (m_0 + 2.1421225)) / (c + 2.2384608)) * 0.13753551) + -0.19918075) * ((v * 0.24820758) + 0.7928545)) + v))) / 1.2448733"
37,7.299485e-5,"(((((v * 0.33213025) + 0.7653094) * (((((v * 0.19872041) + 0.9058602) * ((m_0 + 3.0133414) / (c + 2.2711215))) * 0.12711033) + -0.22005555)) + m_0) + (v + (v * ((m_0 - 2.4209478) * 0.18759517)))) / 1.2293713"
