Complexity,Loss,Equation
1,1.0,"0.0"
2,0.8677936,"sin(U)"
3,0.78412926,"U * 0.4644885"
7,0.7760147,"(U / 2.0526245) + (d * -0.08921955)"
10,0.76477563,"(U - ((0.32627994 - sin(d)) * k)) * 0.31692725"
11,0.74541104,"0.19667776 * ((U * 2.7077682) - ((0.5032814 - d) * k))"
13,0.7444566,"0.028471012 - (((d + -0.48997778) * (k * -0.18467179)) + (U / -1.9251189))"
15,0.74343073,"0.0 - (((k * -0.08788802) * ((d + d) - 0.8151859)) + (U / -2.3947375))"
17,0.742393,"0.0 - (sin(U / -1.9251189) + (((d + d) - sqrt(1.3734583)) * (-0.07786077 * k)))"
18,0.74147093,"0.0 - ((((1.1287843 * (d + d)) - 1.1087794) * (k * -0.07786077)) + sin(U / -1.9251189))"
22,0.7396673,"0.0 - ((((d + -0.8672729) * 0.5919913) * (((k / 0.24188414) - (d * -1.4281193)) * -0.056169044)) + sin(U / -1.9251189))"
27,0.7356614,"0.0 - (((k * (sin((U + 1.4087431) * -0.028084522) + -0.028084522)) * ((((d / -1.049698) * 2.0698915) / -0.8357821) - 1.3248574)) + sin(U / -1.9251189))"
