Complexity,Loss,Equation
1,1.0,"0.0"
3,0.8000968,"sin(exp(theta))"
5,0.4376872,"1.001217 - (theta * theta)"
6,0.41154853,"sin((theta + 2.5409374) * -1.763549)"
7,0.41111654,"sin((theta + 0.77493596) * exp(0.56387997))"
8,0.38580075,"(sin(theta + 1.459873) * 2.148855) + -1.2070255"
9,0.3793968,"(sin(theta + 1.4643844) + -0.48560828) * exp(B)"
10,0.28135276,"(sin(theta + 1.4516044) * (B + 2.1636853)) + -1.2184887"
11,0.2261893,"-1.2404081 + (sin(theta + 1.459873) * (2.148855 + sin(B)))"
12,0.15815602,"(sin(theta + 1.4643844) + -0.48560828) * ((B + mom) - -2.085455)"
13,0.12512459,"(sin(theta + 1.459873) * ((B + sin(mom)) + 2.148855)) + -1.2404081"
14,0.035561033,"((sin(theta + 1.466266) + -0.2799641) * (B + (mom - -2.1631186))) - 0.62778485"
15,0.026872154,"((exp((B + mom) * 0.2844111) * 2.00497) * sin(theta + 1.4467108)) - 1.2333199"
16,0.026394235,"((((mom + B) * 0.6619559) + 1.7199975) * sin((theta + 1.2389045) * 1.1601914)) + -0.77209693"
17,0.010986501,"(exp(((B + mom) * 0.36786386) - -0.43165633) * sin((theta + 1.2498277) * 1.1489874)) - 0.8060086"
22,8.94189e-10,"(((1.7200383 + ((B + mom) * 0.6606461)) - (-0.2537535 * (mom * B))) * sin((theta + 1.2389046) * 1.1601869)) + -0.7721237"
24,1.9486429e-10,"(((((mom + B) * 0.66061425) + 1.7200143) - ((B * (mom - -0.00024433527)) * -0.25374746)) * sin((theta + 1.2388984) * 1.160188)) + -0.7721069"
28,3.7329406e-12,"(((B + (B * -0.33932158)) + ((((mom + 0.16741428) - ((mom * B) * -0.38410455)) * 0.6606171) - -1.6094376)) * sin((theta + 1.2389028) * 1.1601892)) - 0.7721139"
