Complexity,Loss,Equation
1,0.8233451,"mom"
2,0.6859321,"sin(mom)"
3,0.6437414,"B + mom"
4,0.5070806,"sin(mom) + B"
5,0.30689812,"(B + mom) * 0.5891727"
7,0.12785152,"(chi + (mom + B)) * 0.5399464"
8,0.11762198,"((sin(chi) + B) + mom) * 0.58792365"
9,0.11307289,"((mom + B) * 0.5865285) + (chi * 0.43724352)"
11,0.08686579,"(((chi + B) + mom) * (mom - -5.529669)) * 0.097735316"
12,0.07896672,"((mom + (sin(chi) + B)) * -0.14013344) * (-4.2202225 - chi)"
13,0.04609043,"((B + 2.5247765) * (-0.20183682 * (-2.9236698 - (mom + chi)))) + -1.5105164"
14,0.038462747,"(((B + 2.5477726) * -0.23546313) * (-2.5234542 - (sin(chi) + mom))) + -1.5141954"
15,0.03382963,"-1.6117185 + ((B + 2.719375) * ((-2.805315 - (mom + (chi * 0.7937945))) * -0.21323957))"
17,0.031054629,"(((-4.3650007 - (B + mom)) * -0.09999439) * (((mom + B) + chi) + 1.6350167)) - 0.91785496"
18,0.013075964,"((0.57246697 - (chi * -0.21335107)) * ((mom + B) + 1.8151411)) - exp((B * mom) * -0.21335107)"
19,2.456503e-7,"((mom + ((mom * (B * 0.38549626)) + (2.5944023 + B))) * (0.5892611 - (chi * -0.16928801))) - 1.5284902"
21,6.326507e-10,"((((mom + 2.5933697) + (mom * ((B * 0.38520563) - 0.00111487))) + B) * (0.5895999 - (chi * -0.1693783))) - 1.5287524"
29,1.359743e-14,"((((mom + ((((mom * B) - -2.1816597) * 0.38564107) + B)) - ((B * -0.001132008) + -1.8426946)) * (0.58893377 - (chi * -0.16920325))) - 1.5804236) - (chi * 0.014891933)"
31,1.34434005e-14,"((((mom + ((((mom * B) - -2.1816597) * 0.38564107) + B)) - (((B + -2.6221753e-5) * -0.001132008) + -1.8426946)) * (0.58893377 - (chi * -0.16920325))) - 1.5804236) - (chi * 0.014891933)"
33,1.3406058e-14,"((((mom + ((((B * mom) - -2.1816597) * 0.38564107) + B)) - (((B + (chi * -5.423325e-5)) * -0.0011320104) + -1.8426946)) * (0.58893377 - (chi * -0.16920325))) - 1.5804236) - (chi * 0.014891901)"
35,1.2834639e-14,"((((mom + ((((B * mom) - -2.1816597) * 0.38564107) + B)) - (((B + ((mom + chi) * -5.423325e-5)) * -0.0011320104) + -1.8426946)) * (0.58893377 - (chi * -0.16920325))) - 1.5804236) - (chi * 0.014891901)"
36,1.27579594e-14,"((((mom + ((((B * mom) - -2.1816597) * 0.38564107) + B)) - (((B + ((mom + sin(chi)) * -5.423325e-5)) * -0.0011320104) + -1.8426946)) * (0.58893377 - (chi * -0.16920325))) - 1.5804236) - (chi * 0.014891901)"
