Complexity,Loss,Equation
1,1.0,"0.0"
2,0.88367957,"sin(G)"
3,0.79517645,"0.45090058 * G"
4,0.7483137,"sin(m2 + G)"
5,0.59599626,"(m1 + G) * 0.4488895"
7,0.39967296,"(m2 + (m1 + G)) * 0.4488895"
9,0.38230762,"(y1 - ((m1 + m2) + G)) * -0.3922981"
10,0.35718465,"(sin(z1) - ((m2 + m1) + G)) * -0.42946416"
11,0.34749186,"(z1 - ((m2 + (m1 + G)) / 0.531768)) * -0.2399672"
12,0.32781944,"(sin(z1 - z2) - ((m1 + m2) + G)) * -0.4318582"
13,0.29550147,"(z1 - (((G + (m2 + m1)) / 0.54114765) + x2)) * -0.24132408"
15,0.24275479,"(y1 - (z2 - (z1 - ((m2 + (G + m1)) / 0.54114765)))) * -0.24132408"
17,0.19166195,"(y1 - (z2 - (z1 - (((G + (m2 + m1)) / 0.53069115) - x1)))) * -0.24009857"
19,0.14023833,"(y1 - (z2 - (z1 - (y2 + (((G + (m2 + m1)) / 0.53069115) - x1))))) * -0.24009857"
21,0.08911824,"(y1 - (z2 - (z1 - (((x2 + y2) - x1) + (((G + m1) + m2) / 0.5088729))))) * -0.22018287"
23,0.08827115,"(y1 - (m1 - (z1 - (((x2 + ((G + m2) / 0.5076246)) + (y2 - (x1 - z2))) + m1)))) * -0.22493285"
25,0.0882229,"(y1 - (m1 - (z1 - ((y2 + ((m1 + ((m2 + G) / 0.50432754)) - (x1 - z2))) + x2)))) * (-0.20931385 / 0.92624915)"
27,0.07401872,"(y1 - (m1 - (z1 - ((x2 + (((G + m2) / 0.44843915) + (m1 + y2))) - (x1 - z2))))) * ((m1 * -0.025427885) + -0.20931385)"
28,0.07390238,"(y1 - (m1 - (z1 - ((((x2 + ((G + m2) / 0.50886595)) + m1) + y2) - (x1 - z2))))) * ((exp(G) * -0.022630593) + -0.188944)"
29,0.06487301,"(y1 - (m1 - (z1 - (((x2 - (x1 - z2)) + y2) + (((G + m2) / 0.49854383) + m1))))) * (((y1 - G) * 0.022641148) + -0.2308985)"
31,0.059355292,"((((y1 - m2) - G) * 0.018481478) + -0.21787384) * (y1 - (m1 - (z1 - (((m2 + G) / 0.50825816) + (((m1 + y2) + x2) - (x1 - z2))))))"
32,0.059089884,"((((sin(y1) - m2) - x2) * 0.02053576) + -0.22446516) * (y1 - (m1 - (z1 - (((y2 + (((G + m2) / 0.51412445) + x2)) + m1) - (x1 - z2)))))"
33,0.051588126,"(((((x1 - G) - m2) * 0.018481478) + -0.21787384) * (y1 - (m1 - (z1 - (((x2 + (((m2 + G) / 0.50825816) + y2)) + m1) - (x1 - z2)))))) + -0.10493004"
35,0.043544125,"-0.17919435 + ((-0.2308985 + ((((z1 - m1) - G) - x2) * 0.022641148)) * (y1 - (m1 - (z1 - (((y2 + m1) + ((m2 + G) / 0.49854383)) + (x2 - (x1 - z2)))))))"
37,0.035413984,"((((((z1 - (m1 + m2)) - G) - z2) * 0.022641148) + -0.2308985) * (y1 - (m1 - (z1 - ((y2 + (m1 + ((G + m2) / 0.49854383))) + (x2 - (x1 - z2))))))) + -0.17919435"
38,0.03503752,"(((((z1 - m1) + (sin(y1) - (G + m2))) * 0.022641148) + -0.2308985) * (y1 - (m1 - (z1 - ((m1 + y2) + ((((G + m2) / 0.49854383) + x2) - (x1 - z2))))))) + -0.17919435"
39,0.03163481,"((((x1 + (((z1 - m1) - (m2 + z2)) - x2)) * 0.022641148) + -0.2308985) * (y1 - (m1 - (z1 - ((x2 + ((G + m2) / 0.49854383)) + (y2 + (m1 - (x1 - z2)))))))) + -0.17919435"
40,0.031156318,"(((((sin(x1) + ((z1 - m1) - (m2 + z2))) - x2) * 0.022641148) + -0.2308985) * (y1 - (m1 - (z1 - ((((x2 + ((G + m2) / 0.49854383)) + y2) + m1) - (x1 - z2)))))) + -0.17919435"
