Complexity,Loss,Equation
1,1.0,"0.0"
3,0.8250078,"h * -0.4191482"
5,0.6972355,"(h - B) * -0.3855482"
7,0.56930685,"(g_ - (h - B)) * 0.37578875"
9,0.44099453,"((h - (B + mom)) - g_) * -0.3731244"
11,0.31398907,"((h - ((mom + g_) + Jz)) - B) * -0.3718047"
15,0.20674743,"(((h - (Jz + (g_ + B))) - mom) * (3.0152173 - h)) * -0.123351686"
17,0.18711443,"(((h - (mom + (g_ + Jz))) - B) * ((2.443699 - h) * -0.14543308)) - 0.18054205"
19,0.11750664,"((h - 2.3384843) * (((mom + (Jz + 2.6610723)) * (-2.4869072 - (B + g_))) * 0.059449915)) + -0.8991845"
21,0.11574469,"(((h - (mom + 2.3583398)) * ((Jz + 2.3583398) - h)) * ((-2.4977121 - (g_ + B)) * 0.050191157)) + -0.82379526"
22,0.063120544,"(((exp(1.0057536 - h) + 3.8932421) * 0.017469049) * (((mom + 2.5689383) + Jz) * ((B - -2.5950367) + g_))) + -0.9626864"
23,0.062847994,"(((exp(sin(1.6491528) - h) + 3.8932421) * 0.017469049) * (((mom + 2.5689383) + Jz) * ((B - -2.5950367) + g_))) + -0.9626864"
24,0.05904054,"((B + (exp(1.2099981 - h) + 3.8350916)) * ((((B - -2.696621) + g_) * 0.013445374) * ((Jz + 2.6288435) + mom))) + -0.9128676"
25,0.057897136,"((((Jz + 3.8763304) + exp(1.0301381 - h)) * ((mom + (sin(Jz) + 2.5008972)) * 0.015851194)) * ((B + g_) - -2.617561)) + -0.8983972"
26,0.043362465,"(((Jz + 2.8607721) + mom) * (((exp(1.0380397 - h) + (mom * Jz)) + 4.222709) * ((g_ + (B - -2.6665251)) * 0.014043112))) + -0.9300612"
28,0.039850075,"(((Jz + mom) + 2.540595) * ((Jz - (((exp(1.0320907 - h) + (B * g_)) + 3.114607) * (-2.7875316 - (B + g_)))) * 0.016479863)) + -0.89221215"
29,0.038905352,"-0.8936095 + ((((2.8607721 + mom) + Jz) * 0.014043112) * (((Jz * mom) + ((sin(B) + exp(1.0380397 - h)) + 3.6454306)) * ((g_ + B) - -2.6665251)))"
30,0.024737025,"(((((g_ + B) - -2.6665251) * ((mom * Jz) + (((g_ * B) + 3.6454306) + exp(1.0380397 - h)))) * 0.014043112) * (Jz + (mom + 2.8607721))) + -0.8936095"
32,0.022905072,"((((0.06566582 - (-2.7231767 - (g_ + B))) * ((exp(1.0380397 - h) + 3.6454306) + ((mom * Jz) + (g_ * B)))) * ((mom + 2.8607721) + Jz)) * 0.014043112) + -0.8936095"
34,0.021691486,"((((mom + Jz) + 2.6288435) * ((B * g_) - ((-2.623838 - (g_ + B)) * (((B * g_) + ((mom * Jz) + 3.680086)) + exp(1.2080188 - h))))) * 0.013445374) + -0.83482766"
36,0.021296594,"(((mom + (Jz + 2.6288435)) * 0.013445374) * ((B * g_) - ((((B * g_) + ((mom * Jz) * 1.1251595)) + (exp(1.2080188 - h) + 3.680086)) * (-2.623838 - (g_ + B))))) + -0.83482766"
