Complexity,Loss,Equation
1,0.9999999,"0.0"
3,0.24940464,"theta * -0.8655318"
5,0.17150724,"theta / (-2.1017277 - sigma)"
6,0.08348102,"theta / (-0.4172341 - exp(sigma))"
7,0.0794169,"(-0.86854184 - (sigma * -0.40882114)) * theta"
8,0.07665096,"theta / (-0.50036263 + (exp(sigma) * -0.7043773))"
11,0.0735851,"((sigma - theta) * (sigma * -0.33240455)) - (theta + -0.33240455)"
12,0.060617227,"(sigma * ((sin(sigma) - theta) * -0.3944544)) - (theta + -0.29501837)"
13,0.05610153,"((sigma * -0.32488096) * (sigma - theta)) + ((0.3515315 - theta) / 1.1367892)"
14,0.042834878,"((sigma * -0.40403473) * (sin(sigma) - theta)) - ((theta + -0.34416124) / 1.1621482)"
15,0.039632604,"(((sigma * 0.5202848) - theta) * (sigma * -0.40882114)) - ((theta * 0.86854184) + -0.21038617)"
16,0.032812864,"((((sigma * -0.3321764) + -0.2760964) * (-0.8060875 - (theta - sin(sigma)))) - theta) * 1.2091607"
17,0.03247653,"(((-0.2760964 + (sigma * -0.3321764)) * (sin(-2.1509836) - (theta - sin(sigma)))) - theta) * 1.2091607"
18,0.018073192,"(((sigma * -0.34820625) + -0.18044119) * (((1.1132972 - sigma) * sin(-1.2431314 - theta)) - theta)) - theta"
19,0.017634492,"(((sigma * -0.34820625) + -0.18044119) * (((exp(0.14327738) - sigma) * sin(-1.2431314 - theta)) - theta)) - theta"
20,0.011304242,"(((0.16586687 + (sigma * 0.36376572)) * (theta - (sin(theta + -1.8211634) * (1.0411242 - sigma)))) - theta) + 0.09161877"
22,0.0109212,"(((sin(-1.3207843 - theta) * (1.0196576 - sigma)) - (theta * 1.0693507)) * ((-0.35091636 * sigma) + -0.15783668)) - (theta - 0.10393231)"
23,0.0070644435,"((sigma + 0.40045744) * ((((sin(theta - 1.7289062) * exp(-0.39926663 - sigma)) - theta) + 0.40045744) * -0.3725264)) - (theta - 0.17185645)"
24,0.006985266,"((sigma + 0.40045744) * ((((sin(theta - 1.7289062) * exp(sin(-0.39926663) - sigma)) - theta) + 0.40045744) * -0.3725264)) - (theta - 0.17185645)"
25,0.004307875,"(((sigma + 0.40045744) * ((exp(-0.39926663 - sigma) * sin((theta - 1.9304544) * 0.89559543)) - (theta + -0.4134528))) * -0.3725264) - (theta - 0.17185645)"
27,0.003898108,"((0.23509708 - theta) / 1.1870887) + ((sigma * -0.35758728) * ((sin((theta * -0.18782344) + (theta - 1.721645)) * exp(-0.5520691 - sigma)) - (theta + -0.6418153)))"
29,0.0038467094,"((((sigma * -0.39559418) * (((sin(theta - 1.7474319) + -0.2970834) * exp(-0.7828679 - (sigma + 0.059152793))) - (theta + -0.5564496))) - (theta / 1.1213801)) * 0.9519824) + 0.18433432"
31,0.0034795573,"((((0.041501783 - theta) / 1.1356214) + ((sigma * -0.36515328) * ((exp(-0.5241408 - sigma) * sin(((theta * -0.16429807) - 1.8373109) + theta)) - (theta + -0.56998926)))) + 0.15531601) * 0.9361828"
32,0.0034339014,"(((0.06893758 - (theta / 1.1301901)) + (-0.37558994 * (((exp(sin(-0.56465346) - sigma) * sin(theta + ((theta * -0.20089956) - 1.8020471))) - (-0.56465346 + theta)) * sigma))) + 0.13617548) * 0.9310145"
35,0.003412225,"((((0.070860155 - theta) / 1.1301901) + (((sigma * ((exp(-0.55072224 - sigma) * sin(theta + ((theta * -0.20089956) - 1.8020471))) - (theta + -0.56465346))) * -0.37558994) + 0.13617548)) / (theta / theta)) * 0.9310145"
37,0.0034070872,"(((((sin(sigma) - ((sigma - (2.4171293 - theta)) * ((sigma * (sin((sigma - -0.33223283) - theta) + (-2.0785418 - theta))) * 0.22623767))) - theta) - (theta * (sigma + -0.27714437))) * -0.33223283) - theta) + 0.20960487"
39,0.0033737216,"(((((sin(sigma + -0.038271625) - (((sigma - (2.4171293 - theta)) * (sigma * ((sin((sigma - -0.33223283) - theta) + -2.0785418) - theta))) * 0.22623767)) - theta) - (theta * (sigma + -0.2880093))) * -0.33223283) - theta) + 0.20960487"
