Complexity,Loss,Equation
1,1.0,"-0.0001664545"
2,0.8394461,"sin(q)"
3,0.6831649,"r * -0.5612967"
4,0.679562,"sin(v - r)"
5,0.45202532,"(q - r) * 0.5236689"
7,0.21784328,"(r - (q + v)) * -0.5111356"
9,0.21397172,"(r - ((v + q) * 0.84128064)) * -0.5713564"
10,0.19813156,"(((q + v) - r) * 0.21212116) / exp(r)"
11,0.11330475,"(r + -2.9142342) * ((r - (v + q)) * 0.17925274)"
12,0.092693865,"((((v + q) + 1.780945) / exp(r)) * 0.24384327) + -0.68426645"
13,0.07519041,"(((r + -2.2994113) * (r - (v + q))) + -0.9676743) * 0.2287785"
14,0.06106521,"(((v + 2.1307964) + q) * (0.40423054 / exp(r * 0.60187036))) + -1.0288838"
15,0.043570213,"((r - (v + q)) * (-0.29966944 / ((r * 0.28065175) + 0.7329009))) + -0.23266011"
18,0.03555679,"((exp(q + sin(v)) + ((q + (v + 2.7519104)) / exp(r))) * 0.15517919) - 0.9861809"
19,0.023717048,"((((v + (q + 2.2938313)) / exp(r)) + exp(sin(v) + sin(q))) * 0.17494479) - 0.9375001"
20,0.0116191,"(((v + (q * (v + 1.1926489))) + (((v + q) + 2.3640695) / exp(r))) * 0.17617682) + -0.6556955"
22,0.007187236,"((v + (q + ((v + ((q * (0.5247623 * v)) + (q + 2.328159))) / exp(r)))) * 0.1807167) + -0.6585995"
24,0.005030818,"(((((0.39210638 * (v * q)) + ((v + (2.6275074 + q)) / 1.4714714)) / exp(r)) + (v + q)) * 0.23591633) + -0.6662564"
27,0.0041541033,"((0.41981936 / exp(r)) + ((v + (((((v / 1.8265263) * q) + (q + v)) / exp(r * 0.88390774)) + q)) * 0.19815694)) + -0.6613854"
28,0.0036352896,"((((q + ((v * q) * 0.49595863)) + v) + ((v + ((q + ((q * v) * 0.34768853)) + 2.3235495)) / exp(r))) * 0.1802953) + -0.6634217"
30,0.003316783,"((((((v * 0.38797882) * q) + ((q + v) + 2.3291035)) / exp(r)) + ((q + v) + (v * ((q - -0.27023187) * 0.40995297)))) * 0.17952308) + -0.662744"
33,0.0014371449,"((0.42407233 / exp(r)) + (((q + ((((((q * v) / 2.5875142) + q) + v) / (1.3783262 * exp(r))) + (q * (v / 2.5875142)))) + v) * 0.2255444)) + -0.6691329"
35,0.00143625,"(((v + (q * (v / 2.5875142))) + (q + ((((v / 2.5875142) * q) + (q + v)) / (exp(r) * 1.3783262)))) * 0.2255444) + (((0.42407233 / exp(r)) + -0.6691329) * 0.98998433)"
36,0.0011872684,"((0.49770278 / exp(r)) + -0.7223595) + (((((q * (v / 2.5402966)) + ((v + (q + (((q * v) + sin(r)) / 2.516245))) / (exp(r) * 1.4167999))) + q) + v) * 0.22850473)"
37,0.0011751364,"((0.49770278 / exp(r)) + -0.7223595) + (((((v + q) + (((q * v) + sin(r)) / 2.516245)) / (exp(r) * 1.4167999)) + ((q * sin(v / 2.5402966)) + (q + v))) * 0.22850473)"
38,0.00041333886,"((0.6025181 / exp(r)) + ((v * 0.09385102) * q)) + (((q + (((((q + v) + ((v * 0.3740849) * q)) + sin(r + -0.34896788)) / (exp(r) * 1.4018699)) + v)) * 0.22867121) + -0.76498467)"
39,0.0004108289,"(sin((v * 0.09385102) * q) + -0.76498467) + (((q + (v + ((((v + sin(r + -0.34896788)) + ((q * v) * 0.3740849)) + q) / (exp(r) * 1.4018699)))) * 0.22867121) + (0.6025181 / exp(r)))"
