Complexity,Loss,Equation
1,1.0,"0.0"
2,0.99856675,"sin(Int_0)"
3,0.8602918,"Int_0 * 0.3715999"
5,0.81151634,"(Int_0 - theta) / 3.2673743"
6,0.7782859,"0.45033878 + sin(-1.1678828 - theta)"
7,0.7152126,"(Int_0 - theta) / (theta + 3.056625)"
8,0.68862,"(Int_0 - theta) / exp(theta + 1.8673755)"
9,0.666329,"(((theta * theta) - 1.0872641) + Int_0) * 0.4027391"
10,0.62918437,"(Int_0 + ((-0.7414233 - theta) / exp(theta))) / 3.5639791"
11,0.612327,"((Int_0 + ((theta + -0.7265886) * theta)) - 0.97522444) * 0.387683"
12,0.59272397,"(Int_0 + ((theta - (theta / exp(theta))) + -1.4163591)) / 3.2069209"
14,0.5638606,"((theta - (theta / exp(theta))) + (Int_0 + -1.5210814)) / (3.6005154 - Int_0)"
16,0.5614482,"(((((n - -3.6985395) * theta) + Int_0) + -5.4621058) - (-3.4648702 / exp(theta))) / 4.3730993"
17,0.55259633,"(((theta * (0.6072344 - theta)) * ((Int_0 / -0.6365938) - (theta * theta))) + -1.8029026) * 0.18381067"
19,0.55050075,"(((theta * (0.6072344 - (theta * 1.2592059))) * ((Int_0 / -0.6978579) - (theta * theta))) + -2.3638995) * 0.16512108"
21,0.5206116,"((theta * (n - ((theta + -0.54141927) * ((Int_0 / -0.6978579) - ((1.3724357 * theta) * theta))))) + -2.8904052) * 0.16512108"
22,0.5188675,"(Int_0 + ((exp(-0.3264413 - theta) * (0.7632881 - (theta * (theta + sin(n))))) * sin(theta + n))) * 0.42635515"
23,0.49361792,"(Int_0 + (((((0.5673942 - (theta + n)) * theta) + 1.5485796) * sin(n + -1.5285531)) * exp(0.27863672 - theta))) * 0.21805042"
24,0.47599053,"(Int_0 + (((exp(-0.3264413 - theta) * (0.7632881 - (theta * (theta + sin(n))))) * sin(theta + n)) + -0.3576561)) * 0.42635515"
26,0.4589625,"(((((exp(n - theta) * (n + (theta * (-0.20689854 - theta)))) * -0.24598594) * (theta + n)) * theta) + (Int_0 + -0.6853525)) * 0.39281654"
27,0.4565615,"((Int_0 + -0.9065031) + ((theta + ((sin(theta + n) * theta) * (exp((-0.29700854 - theta) + Int_0) * -0.40315944))) * (theta + n))) * 0.23395815"
28,0.45561948,"((Int_0 + ((n + theta) * (((((-0.5881322 - theta) * theta) + sin(n)) * -0.40270358) * (exp(n - theta) * theta)))) + sin(-1.9077797)) * 0.36753502"
29,0.44937333,"(Int_0 + (((((n + theta) * ((((-0.5881322 - theta) * theta) + sin(n)) * -0.40270358)) * (exp(n - theta) * theta)) + -1.1821235) * 0.8355107)) * 0.36753502"
30,0.43422934,"(Int_0 + ((exp(n - theta) * (-0.16806196 * (((theta + n) * ((theta + n) * ((0.37983236 - theta) + (Int_0 / 2.206502)))) * theta))) + -0.8086193)) * 0.37983236"
31,0.4089585,"(((((exp(0.21161571 - theta) * ((theta * -0.46255547) - (Int_0 * -0.17000462))) * ((-0.36830154 - theta) * (n + theta))) * sin(n + theta)) + Int_0) * 0.3282985) + -0.20860621"
33,0.3917978,"(((Int_0 + theta) + (((0.60779446 - (sin(theta + n) * (theta * (n + theta)))) * ((theta * -0.40315944) - (Int_0 * -0.19347179))) * exp(0.23395815 - theta))) * 0.23395815) + -0.34458256"
36,0.3884522,"(((Int_0 + (((exp(-0.40640324) - ((sin(theta + n) * theta) * (n + theta))) * (((theta * -0.40315944) - (Int_0 * -0.19043049)) * exp(0.23395815 - theta))) + theta)) * 0.23395815) + -0.26228023) - 0.08230232"
