Complexity,Loss,Equation
1,0.4474558,"c"
2,0.41140002,"sin(c)"
3,0.39741358,"c * 0.7797323"
5,0.32196686,"c + (m * 0.3550442)"
6,0.2877621,"sin(c) + (m * 0.3550442)"
7,0.21974401,"c + ((m + q) * 0.33847082)"
8,0.18784812,"((m + q) * 0.3353943) + sin(c)"
9,0.1731251,"(c * 0.76669854) + (0.32417184 * (q + m))"
10,0.16036175,"sin(c) + ((A_vec + (m + q)) * 0.28892016)"
11,0.13689964,"sin(c) + (((m * exp(c)) + q) * 0.22254454)"
12,0.12140896,"c + (0.22186202 * (((m * exp(c)) - c) + q))"
13,0.09888256,"sin(c) + (((exp(c) * m) + (q + A_vec)) * 0.22254454)"
14,0.0831818,"(((A_vec + q) + ((m * exp(c)) - c)) * 0.2176141) + c"
15,0.076449886,"((q + ((A_vec + ((c + 1.4599798) * m)) - c)) * 0.24069585) + c"
16,0.07132285,"c + (0.20392014 * (((A_vec - c) + (exp(c) * m)) + (1.5661365 * q)))"
17,0.06957595,"c + (0.22639453 * (((A_vec + (1.3738631 * q)) + (m * (1.5649993 + c))) - c))"
18,0.057921614,"((((((A_vec + 1.6768028) * q) + (exp(c) * m)) + A_vec) - c) * 0.19434203) + c"
19,0.054264706,"(((((sin(A_vec) + 1.6218477) * q) + (A_vec + (exp(c) * m))) - c) * 0.19977984) + c"
20,0.047773156,"c + (((((m * exp(c)) + (Volt + (q * (A_vec + 1.6302453)))) + A_vec) - c) * 0.18722396)"
21,0.044148248,"(0.18722396 * ((((exp(c) * m) + ((A_vec + 1.6302453) * q)) + (A_vec - c)) + sin(Volt))) + c"
22,0.041568384,"((((q * (sin(A_vec) + 1.6302453)) + (m * exp(c))) + ((sin(Volt) + A_vec) - c)) * 0.18722396) + c"
23,0.040295072,"((sin(Volt) + (((A_vec + (exp(c) * m)) - c) + (((A_vec * 0.6250435) + 1.5700403) * q))) * 0.20392014) + c"
24,0.038948365,"(((((sin(A_vec) + 1.3738631) * q) + (Volt / 1.9826977)) + ((A_vec + (m * (c + 1.5649993))) - c)) * 0.22639453) + c"
25,0.038010396,"c + ((((Volt / 1.8862623) + (((c + 1.4860352) * m) + (A_vec + (((A_vec * 0.60763496) + 1.4860352) * q)))) - c) * 0.21796319)"
26,0.037163578,"c + ((((((exp(c) * m) + ((A_vec + 1.673938) * q)) + Volt) + ((A_vec + -0.9495302) - c)) + (c * c)) * 0.18181387)"
27,0.033757824,"((((exp(c) * m) + ((((1.7177471 + A_vec) * q) + A_vec) + sin(Volt))) + ((-0.9495302 - c) + (c * c))) * 0.18842731) + c"
28,0.03109777,"(((((exp(c) * m) + ((((1.7177471 + sin(A_vec)) * q) + A_vec) + sin(Volt))) + (-0.9495302 - c)) + (c * c)) * 0.18842731) + c"
29,0.026915846,"(((((((c * c) + Volt) / 1.4995024) + -0.74787164) + (((sin(A_vec) + 1.6218477) * q) + A_vec)) + ((exp(c) * m) - c)) * 0.19977984) + c"
30,0.026819717,"((((((((c * c) + Volt) / 1.4995024) + sin(-0.82438207)) + (((sin(A_vec) + 1.6218477) * q) + A_vec)) + (exp(c) * m)) - c) * 0.19977984) + c"
31,0.024608165,"c + (((((((c * c) + Volt) / 1.8360978) + A_vec) + (((m * (c + 1.6281288)) + (((A_vec * 0.564468) + 1.4321333) * q)) + -0.53197116)) - c) * 0.21736701)"
33,0.022547314,"c + ((((m * exp((c * 0.7573373) + 0.3237184)) + ((((sin(A_vec) + 1.5172842) * q) + (((Volt + (c * c)) / 1.7096195) + A_vec)) + -0.61173487)) - c) * 0.19742899)"
35,0.021836173,"c + ((((exp(0.7199572 * (c + 0.41404447)) * m) - c) + (((Volt + (c * c)) / 1.5175908) + ((0.9264381 * ((q * (sin(A_vec) + 1.7076055)) + A_vec)) + -0.66614324))) * 0.20607878)"
37,0.021776963,"(((((((c * c) + Volt) / 1.7445705) + (m * exp((c + 0.41404447) * 0.7199572))) - c) + (((q * (sin(A_vec) + 1.7445705)) + (A_vec + -0.66614324)) * 0.9264381)) * 0.20607878) + (c - -0.012078802)"
