Complexity,Loss,Equation
1,0.7903895,"x"
2,0.6232863,"sin(x)"
3,0.12442988,"x - y"
5,0.0965344,"x - (y * 0.83245075)"
7,0.09464518,"(x - (y * 0.8687839)) / 1.0634851"
8,0.079014644,"sin((y * -0.7604367) + x) / 0.6814512"
10,0.05975198,"((x + sin(x)) * 0.57402) - (y / 1.2388983)"
11,0.037245944,"(x + sin(exp(x) * (y * 0.2834636))) - y"
13,0.023740036,"(exp(sin(x * -0.50424194) + (y * 0.3026856)) + -1.1077838) * -2.2909317"
14,0.014274694,"((y * -0.3640201) - 0.71333694) * ((exp(x * -1.5196731) + y) + -2.1134553)"
15,0.013360898,"((exp(x * -1.4015425) + -1.959578) + y) * ((sin(y) * -0.474065) - 0.7944809)"
16,0.0061395657,"((y * -0.5171664) - 1.1966876) * (((y + -2.5525527) * 0.5743042) + exp(x * -0.96390426))"
17,0.005793684,"(exp(x * -0.93741286) + ((y + -2.5032713) / 1.7245411)) * (sin(y * -0.57268304) - 1.2314202)"
18,0.0027748784,"(((y * 0.5229631) + (exp(x * -1.067512) + -1.1720551)) * ((y * -0.5167292) - 1.0721778)) + 0.3771606"
22,0.001245394,"((((y - 0.50439) * 0.6856758) - (x * (exp(x * -0.8395003) + 0.294596))) * ((y * -0.43036136) + -0.8605266)) - -0.34047142"
24,0.0010559901,"((((y - 0.6864301) * 0.721861) - ((exp(x * -0.81556964) + 0.28811717) * x)) * (0.8894838 * ((y * -0.49053323) + -0.98515))) - -0.22556572"
26,0.0009923629,"(((-1.6868901 + (y * -0.8546693)) * 0.6067586) * (((-0.28575087 - exp(x * -0.8014581)) * (x * 0.85752505)) + ((y - 0.5723849) * 0.5851946))) - -0.29497612"
28,0.00047242065,"((((y - 0.886417) * 0.82404584) - (x * (exp(x / -1.5235084) + 0.29862392))) / 3.402011) * ((((0.3268879 / (-1.1852627 - x)) + -2.1508381) - y) * 1.2188089)"
30,0.00019085742,"((0.23208319 - (((exp(x * -0.660842) + 0.30387184) * x) / 1.942581)) + ((y - 1.434045) * 0.42922318)) * ((((0.14139353 / (-0.9626358 - x)) + -2.1055083) - y) * 0.727985)"
31,0.00016682963,"(((0.2323193 - ((exp(x * -0.6591827) + 0.30294627) * (x / 1.9450797))) + ((y - 1.4339192) * 0.42919308)) * (sin(0.15563057 / (-0.94250727 - x)) + (-2.1062024 - y))) * 0.7224481"
33,0.0001661011,"((((0.2323193 - (((exp(x * -0.6591827) + 0.30294627) * x) / 1.9444016)) + -0.0005533606) + ((y - 1.4339192) * 0.42919308)) * ((sin(0.15563057 / (-0.94250727 - x)) + -2.1062024) - y)) * 0.7224481"
