Complexity,Loss,Equation
1,1.0,"0.0"
2,0.8956063,"sin(H_G)"
3,0.777209,"G * -0.47251427"
5,0.57895947,"(H_G - G) * 0.4587879"
7,0.4709025,"(G + (r - H_G)) * -0.41752678"
9,0.4182887,"(G + ((r - c) - H_G)) * -0.37936148"
10,0.4034315,"((G + (r - sin(c))) - H_G) * -0.4134746"
11,0.40176997,"(c * 0.25547218) + ((G + (r - H_G)) * -0.39927152)"
13,0.38570395,"((r + (G - H_G)) * -0.39927152) + ((k_f + c) * 0.19300286)"
14,0.3653017,"((exp(G / -1.6800306) * ((r - H_G) + -2.1641033)) * -0.31135532) - 0.7730775"
16,0.29140556,"((((r - c) + (-2.3476653 - H_G)) * exp(G / -1.6547453)) * -0.2950468) - 0.84686685"
17,0.2818902,"-1.0698935 - (0.31724247 * (exp(G / -1.8867289) * (-2.8356118 - ((H_G + sin(c)) - r))))"
18,0.2763848,"(exp(G / -1.8129272) * (((-1.9941347 - H_G) + ((r - c) * 0.72652715)) * -0.3845468)) - 0.9069623"
19,0.25799146,"exp(G / -2.2964087) * ((((G - ((exp(c) * r) / -1.9447248)) - c) - H_G) * -0.34635726)"
20,0.24860328,"exp(G / -1.9447248) * ((((G - (exp(c) * (r / -1.9447248))) - sin(c)) - H_G) * -0.34635726)"
21,0.24023762,"((((G - ((r / -1.9447248) * exp(c))) - c) - H_G) * (exp(G / -2.6036825) * -0.34635726)) + -0.14731842"
22,0.23439875,"-0.09765081 + (-0.34635726 * (exp(G / -2.6036825) * ((G - ((exp(c) * r) / (-1.9447248 - sin(r)))) - H_G)))"
23,0.13354827,"((exp(G / -2.0033426) * -0.38066894) * ((-1.9742427 - H_G) - ((exp(0.45189416 - r) / -4.750192) * (r - c)))) - 1.0966637"
25,0.12007497,"(exp(G / -2.1005592) * (((-2.8677766 - H_G) + (((r - c) * (k_f - exp(k_f - r))) / -4.7431345)) * -0.33330902)) - 1.2500032"
26,0.063936435,"(exp(G / -1.6666105) * ((((((-0.72613424 - exp(sin(k_f) - r)) * (r - c)) / -4.6806316) + -1.5204407) - H_G) * -0.3795916)) - 0.8565275"
29,0.06385937,"(exp(G / -1.6666105) * (-0.3795916 * ((((r - c) * (sin(-0.587499 + -0.14664061) - exp(sin(k_f) - r))) / -4.6806316) + (-1.5204407 - H_G)))) - 0.8565275"
34,0.058242004,"(exp(G / -1.6666105) * (((-1.5204407 - H_G) + ((((r - exp(sin(k_f) - r)) * ((r - c) / -4.6806316)) * 0.82642055) - ((r - c) / -4.6806316))) * -0.3795916)) - 0.9074715"
