Complexity,Loss,Equation
1,0.9999999,"1.4717231e-5"
3,0.94744927,"y * -0.2276062"
4,0.8251105,"sin(-0.64867854 - y)"
5,0.43650517,"-0.18219577 / (0.4554254 - y)"
7,0.402574,"(-0.19451155 / (0.4554254 - y)) - -0.19328731"
8,0.33538544,"(-0.289889 / (0.4668789 - y)) - sin(y)"
9,0.2420875,"(-0.35622716 / (0.4668789 - sin(y))) - sin(y)"
11,0.17357643,"(-0.19451155 / (0.4554254 - y)) - (0.2940079 / (-1.4288437 - y))"
12,0.16936912,"(-0.19451155 / (0.4554254 - y)) - (exp(-1.4425012) / (-1.4288437 - y))"
13,0.14179257,"(-0.19451155 / (0.4554254 - y)) - ((0.2940079 / (-1.4288437 - y)) + 0.1946573)"
14,0.14102413,"(-0.19451155 / (0.4554254 - y)) - ((0.32353652 / (-1.4288437 - y)) + exp(-1.7232327))"
15,0.14036483,"((-0.20263968 + (-0.17465238 / (0.4554254 - y))) - (0.2940079 / (-1.4288437 - y))) / 0.9498008"
16,0.13514917,"(-0.19451155 / (0.4554254 - y)) - ((sin(y) * (-0.46999335 / (-1.4288437 - y))) / 1.6299075)"
17,0.07068952,"sin((x - 1.505481) * (y - -0.6006605)) / (sin((0.4760709 - y) * 1.6496981) / 0.5821994)"
19,0.068059206,"sin(((0.94537383 * x) - 1.505481) * (y - -0.6353682)) / (sin((0.4760709 - y) * 1.6496981) / 0.5821994)"
21,0.06515061,"(sin((x - 1.505481) * (y - -0.6353682)) / (sin((0.4760709 - y) * 1.6496981) / 0.58425933)) + (y * -0.091417246)"
24,0.05690482,"((y - -0.75820315) * (sqrt(x - -1.598627) - sin(x * -6.484357))) * (1.8423893 * (sin((y / -0.4808521) - y) - 0.79736334))"
25,0.03900335,"(sin((y / -0.45703667) - y) - 0.84472334) * ((y - -0.8509085) * (1.739339 * (((y * -0.2276062) - -1.2337921) - sin(x * -6.2588143))))"
26,0.039001368,"(((y - -0.75820315) * ((sin(x) - -1.598627) - sin((x - 0.91180915) * -6.521733))) * (sin((y / -0.4808521) - y) - 0.8048774)) * 1.402311"
27,0.03877562,"(sin((y / -0.45703667) - y) - 0.84472334) * ((((y - -0.8509085) * 1.739339) * (((y * -0.2276062) - -1.2337921) - sin(x * -6.2588143))) + -0.026628789)"
28,0.03722594,"(sin((y / -0.4808521) - y) - 0.8048774) * (((((sin(x) - -1.598627) - sin((x - 0.91180915) * -6.484357)) * 1.402311) * (y - -0.75820315)) + -0.124616206)"
29,0.02803852,"(sin((y / -0.46256185) - y) - 0.8616639) * ((((((x * 0.52017426) - -1.5183306) - sin((x * -6.6257195) - 0.20918673)) / 0.65413386) * (y - -0.8876409)) - 0.30395573)"
31,0.015175333,"((x - -1.9004138) - ((y * y) * 0.23981524)) * (((y - -0.6901901) * (sin((y / -0.5054078) - y) - 0.9073987)) * (1.0491487 - sin((x * -5.3585415) - 0.5618515)))"
33,0.008860136,"(0.95021874 - sin((x * -4.8650403) - 0.66977197)) * (((y - -0.7517109) * ((x - -1.980785) - ((y * 0.25137252) * y))) * (sin((0.3389172 - y) + (y / -0.46386507)) - 0.87853336))"
