Complexity,Loss,Equation
1,0.9999999,"-3.4857212e-8"
2,0.94089437,"sin(q)"
3,0.77476895,"m * -0.47330794"
5,0.6049649,"(q - m) * 0.44120944"
6,0.6049451,"sin(0.45988417) * (q - m)"
7,0.43629688,"((q + g_) - m) * 0.43502688"
9,0.2661243,"(g_ + ((B + q) - m)) * 0.430361"
11,0.26407328,"0.4214348 * (((q - (m / 0.94190234)) + B) + g_)"
13,0.1571558,"((2.7274597 - m) * ((g_ + (q + B)) - m)) * 0.15457724"
15,0.12886536,"((B + ((q - m) + g_)) * ((m + -2.2815576) * -0.18879229)) - 0.19674885"
17,0.10125857,"((g_ + (B + 2.4226732)) * ((q + 2.4226732) * (0.17283536 - (m * 0.08049546)))) - 1.0255269"
19,0.089515366,"((((B + g_) - m) + q) * ((q + 4.3367457) * ((m + -2.2635393) * -0.040441856))) - 0.26514053"
20,0.08739979,"(((m + -2.4952066) * (sin(g_) - -3.1909373)) * (((q + (g_ + B)) - m) * -0.05163537)) - 0.24961615"
21,0.06341334,"((((((q + g_) - m) + B) * ((g_ - -4.834669) + q)) * (m + -2.6173425)) * -0.030959124) - 0.30318815"
23,0.047518272,"((((g_ - -5.359226) + (q + B)) * ((((B + g_) - m) + q) * -0.028969828)) * (m + -2.4229538)) - 0.3337926"
24,0.047218412,"((((g_ - -5.359226) + q) + sin(B)) * ((((B + g_) - m) + q) * (-0.028969828 * (m + -2.4229538)))) - 0.32651797"
25,0.04586622,"-0.3047928 - ((m + -2.9666395) * ((g_ + (B + (q - m))) * ((-4.444092 - ((q + g_) + (m * m))) * -0.025007274)))"
26,0.0450576,"-0.31873146 - (((m + -3.3675292) - sin(g_)) * ((B + (g_ + (q - m))) * ((-3.930651 - (q + (m * m))) * -0.023865748)))"
27,0.029889101,"-0.33437574 - ((-5.00253 - (B + ((m * m) + (g_ + q)))) * (((m + -3.0594594) * -0.021083245) * (B + ((q - m) + g_))))"
28,0.027065603,"-0.3528817 - (((-4.307596 - ((m * m) + (B + q))) * (((q + (g_ + B)) - m) * ((-3.2640095 - sin(g_)) + m))) * -0.0214866)"
30,0.02689733,"-0.356228 - (((-4.3375387 - (q + ((m * m) + (B + -0.22773123)))) * -0.020558892) * (((m + -3.5875328) - sin(g_)) * ((g_ + B) + (q - m))))"
32,0.026649348,"-0.31716254 - (((-4.3938127 - (((q + (m * m)) + (B * -0.15508282)) + g_)) * -0.019829065) * (((B + (q + g_)) - m) * ((m + -3.566033) - sin(B))))"
34,0.02662921,"-0.31716254 - ((B + ((q + g_) - m)) * (((-4.3938127 - (((m * m) + (q + ((B + -0.27661586) * -0.15508282))) + g_)) * ((m + -3.566033) - sin(B))) * -0.019829065))"
35,0.025942257,"(-0.3528817 - ((((q + (g_ - m)) + B) * ((m + -3.2640095) - sin(g_))) * ((-4.307596 - (q + ((m * (m - (B * 0.3429558))) + sin(B)))) * -0.0214866))) / 1.0424839"
37,0.025800737,"((-0.3528817 - (((q + ((g_ - m) + B)) * ((m + -3.2640095) - sin(g_))) * ((-4.307596 - ((q + (m * (m - (B * 0.3429558)))) + sin(B))) * -0.0214866))) / 1.0424839) * 1.0033536"
