Complexity,Loss,Equation
1,1.0,"0.0"
3,0.4697322,"r * -0.7262125"
5,0.43555218,"(Pwr * 0.32861584) - r"
6,0.26524433,"exp(-0.529849 - r) + -0.9347053"
7,0.15634921,"(Pwr - r) / (r + 2.3786592)"
8,0.12957358,"(sin(Pwr) - r) / (r + 2.3252625)"
9,0.060200796,"((Pwr + 2.9045286) / (r + 2.4081092)) + -1.5275184"
10,0.017692532,"(sqrt(Pwr + 1.8087392) / (r + 1.9889584)) + -0.98645383"
11,0.006249468,"-1.1143309 + ((0.5163401 * (Pwr + 3.0293257)) / (r + 2.0570974))"
12,0.0015658326,"((Pwr + 2.433511) / (exp(r + 2.0789835) + -0.8129679)) + -0.7233327"
14,0.0004190271,"(((Pwr + 2.581471) / (r + 2.0779839)) / (sin(r) + 2.7200553)) + -0.844717"
15,6.4619097e-9,"((((Pwr + 2.5933564) / (r + 2.5994058)) / (r + 2.5994058)) * 1.2253661) + -0.8478853"
17,4.430157e-9,"((((Pwr + 2.5933564) / (r + 2.5994058)) * 1.2253661) / ((r / 0.99998635) + 2.5994058)) + -0.8478853"
19,3.662094e-9,"-0.8478853 + ((((Pwr + 2.5933564) / ((r / 0.99998635) + 2.5994058)) * 1.2253661) / ((r / 0.99998635) + 2.5994058))"
