Complexity,Loss,Equation
1,0.9999998,"-9.5967895e-5"
3,0.66461474,"y * -0.578526"
4,0.28480315,"exp(x) * -0.10296136"
6,0.21542509,"(-0.04770341 * exp(x)) * y"
7,0.07069477,"y * (sqrt(exp(x)) * -0.3991954)"
8,0.07009508,"sin(y * -0.49199456) * sqrt(exp(x))"
9,0.04951573,"((sqrt(exp(x)) * -0.40039772) * y) + 0.14377417"
11,0.019939892,"(1.5966024 - (y + x)) * ((x + 0.9486654) * 0.32915613)"
13,0.012322089,"(((x + 1.2637737) * (2.0914438 - (x + y))) * 0.32456976) + -0.39427704"
14,0.011786122,"(((1.2565912 + x) * (1.2565912 - (y + x))) + sin(x)) * 0.28631565"
15,0.007898355,"sqrt((x * 0.29173654) + 0.23881768) * ((sin(x) + 0.691361) - (x + y))"
17,0.0056513664,"(0.44579098 * (0.63931686 + ((x * (0.22222511 * (y - x))) - y))) * (x + 1.0622739)"
18,0.0036459537,"(x + 1.0111263) * (sin(((y - x) * 0.12906109) * x) + ((0.7006517 - y) * 0.4765918))"
19,0.0029660698,"(x + 1.0421523) * (((((y - (x + 1.1045443)) * (x * 0.1771855)) - y) + 0.81579894) * 0.4208076)"
20,0.0015789886,"((sin(x * ((y - x) * 0.12689795)) + ((0.6005385 - y) * 0.49684468)) * (x + 0.92316765)) - -0.0879614"
21,0.0015734261,"(((0.49684468 * (sqrt(0.35736483) - y)) + sin((y - x) * (x * 0.12689795))) * (x + 0.92316765)) - -0.0879614"
26,0.0010101724,"((x * ((sin((x / 1.3352331) + 0.69252634) + x) * ((y - x) * 0.27628833))) + ((0.70304805 - y) * (x + 1.0143433))) * 0.50187117"
27,0.00097570877,"(((0.70304805 - y) * (x + 1.0143433)) + ((x + sin((x / exp(0.29090065)) + 0.70304805)) * ((x * 0.27882454) * (y - x)))) * 0.50187117"
30,0.00093559205,"(((x * 0.24515332) * ((sin((x / 1.3580254) + 0.6892222) + x) * (y - (x + (x * 0.1706455))))) + ((x + 1.0571212) * (0.7277863 - y))) * 0.46130422"
31,0.0008121134,"(((0.719926 - y) * (x + 1.0043558)) + ((sin((x / 1.3606807) + 0.68053097) + x) * (((-2.6130433 * 0.0061964337) + sin((y - x) * 0.28275973)) * x))) * 0.5045534"
