Complexity,Loss,Equation
1,0.21543995,"d"
3,0.20383638,"d * 0.8923859"
5,0.105841465,"(G * -0.33108947) + d"
7,0.09324102,"d - ((G + m1) * 0.24603945)"
8,0.08448328,"d + ((G + sin(m1)) * -0.28623322)"
9,0.07142034,"d + ((m1 + (G + m2)) * -0.21927781)"
10,0.06781845,"d + (((sin(m2) + G) + m1) * -0.24149278)"
11,0.052898496,"d - ((((m1 + m2) * 0.4831425) + G) * 0.32974252)"
13,0.039007515,"((((-1.7618942 - d) * G) - (m1 + m2)) * 0.1936616) + d"
15,0.024759732,"((0.1936616 * (((-1.7618942 - d) * G) - (m1 + m2))) + d) * 0.8833025"
17,0.019754373,"((d - (G * 0.35522094)) + ((m2 + m1) * -0.17678702)) * ((G * -0.13360846) + 0.893106)"
18,0.013880584,"(exp(d * 0.43812627) * ((G * -0.29856482) + ((m2 + m1) * -0.14602228))) + (d / 1.1105251)"
19,0.013743987,"(d / 1.1105251) + (exp(sin(d * 0.45351318)) * ((G * -0.30318853) + ((m2 + m1) * -0.14602228)))"
21,0.01109827,"(((G - d) * -0.102055684) + 0.9047426) * (d - ((G + ((m2 + (m1 + 0.82554096)) * 0.4831425)) * 0.38658437))"
22,0.01087605,"(d - (((((m2 + 0.76701707) + m1) * 0.4831425) + G) * 0.38658437)) * exp(((G - d) * -0.10430647) + -0.121895276)"
23,0.009617274,"((((G + m1) - d) * 0.08087922) + -0.9120884) * ((((((0.7212817 + m2) + m1) * 0.49972922) + G) * 0.37943867) - d)"
24,0.008748008,"((d - (((m1 + 0.75857997) + m2) * 0.19463632)) + (G * -0.36714852)) * (((G + (sin(m2) - d)) * -0.08834189) + 0.90181696)"
25,0.0067824153,"(((G + ((m1 + m2) - d)) * 0.07379305) + -0.9037274) * (((((m1 + (m2 + 0.7615547)) * 0.48713523) + G) * 0.3878795) - d)"
26,0.00635396,"(((G + ((m2 + (m1 + 0.8257116)) * 0.4826971)) * 0.3855484) - d) * (((m2 + (G + (sin(m1) - d))) * 0.07750852) + -0.9062952)"
27,0.0040144734,"(d - (((((m2 + m1) + 0.74267036) * 0.5010728) + G) * 0.38090783)) * ((((m1 + (G + (m2 + G))) - d) * -0.060050003) + 0.9047438)"
28,0.0034795655,"(((((m2 + (-1.8238202 / exp(G))) + (m1 - d)) * -0.05161965) + 0.75302935) * (d - ((((m2 + m1) * 0.5213537) + G) * 0.34527406))) - 0.11195549"
30,0.003296836,"((d - ((G + ((m2 + m1) * 0.49223354)) * 0.35271236)) * (0.81129587 + ((((m2 + m1) - (d + -0.7477268)) + (-1.3421464 / exp(G))) * -0.05783924))) - 0.119553104"
31,0.0028296316,"((d - ((G * 0.37007454) + ((m2 + m1) * 0.18765268))) - 0.13933235) * ((((G * 0.009570426) + -0.057324078) * (G + (m1 + ((G + m2) - d)))) + 0.8742488)"
33,0.0024197856,"(((((m2 + ((G + m1) - d)) + G) * (-0.023941193 / ((G * 0.0817244) + 0.42245746))) + 0.87047416) * ((((m2 + m1) * -0.17902188) - (G * 0.34492972)) + d)) - 0.12100115"
35,0.0023434293,"((((((m2 + ((G * 2.0604906) + m1)) - (d * 1.1285933)) / ((G * 0.09434586) + 0.40815404)) * -0.021064341) + 0.8568995) * (((m2 + m1) * -0.17803621) + (d - (G * 0.34694543)))) - 0.12195069"
