Complexity,Loss,Equation
1,0.9999997,"0.00014380566"
3,0.8790073,"x * -0.34120643"
4,0.10821557,"exp(x) * -0.059770834"
5,0.10820657,"exp(x) * sin(-0.059770834)"
6,0.08444087,"(-0.060833387 * exp(x)) - -0.13949904"
7,0.011386923,"(x * (y + x)) * -0.47376308"
9,0.005030523,"(0.9052678 + x) * ((y + x) * -0.40269342)"
11,0.003134584,"(((x - -0.8726848) * -0.40574884) * (y + x)) - -0.045275733"
13,0.0016408176,"((y + (x - -0.086609125)) * ((x - -0.7974664) * -0.40677816)) - -0.07370224"
15,0.0016245471,"((((x + y) - -0.09657381) * ((x - -0.8440046) * -0.40137082)) - 0.057919938) + 0.14037918"
16,0.00038838087,"((x + 1.07972) * ((y + x) * -0.39272285)) - (sin(y * -1.7602243) * 0.09464446)"
17,0.00038053936,"((x - -1.078637) * ((x + y) * -0.38769323)) - ((y * 0.054271325) * (x + -1.7302958))"
18,0.00022051667,"((x - -1.1150935) * ((y + x) * -0.3912339)) - (sin(1.6166928 * (0.18693282 - y)) * 0.12186046)"
19,4.0335247e-15,"(((y + x) * ((x - -1.2239211) * -0.3748059)) - (y * ((x + -1.390838) * 0.10012282))) + -0.049056944"
