Complexity,Loss,Equation
1,1.0,"0.0"
2,0.8393225,"sin(q)"
3,0.680512,"m * -0.56615686"
4,0.6741026,"sin(q - m)"
5,0.45052022,"(m - q) * -0.52578735"
7,0.21728839,"(q + (h - m)) * 0.511998"
9,0.08731164,"(h + (q - m)) / (m + 2.6213143)"
11,0.043079063,"((h - (m - q)) / (m + 2.5395696)) + -0.2214297"
13,0.042942155,"(-0.20894414 + ((h - (m - q)) / (2.5870395 + m))) / 0.9615376"
15,0.033347793,"((h - (m - q)) / (((q * -0.111871704) + m) + 2.592176)) - 0.22940312"
16,0.018576257,"(((q + 2.426323) * exp((m * -0.54928124) + -1.7960322)) * (h + 2.4008756)) + -1.117935"
17,0.00019717522,"((((h * (q / 2.5973835)) + h) - (m - q)) / (m + 2.5395696)) + -0.2214297"
19,1.8656257e-5,"(((h + (((q * h) / 2.615908) - (m - q))) / (m + 2.58488)) * 1.0395979) + -0.21689424"
21,4.1695225e-6,"((1.0427436 / (m + 2.585669)) * ((h + (((q + -0.021036109) * h) / 2.6175532)) - (m - q))) + -0.21758172"
23,4.2641805e-8,"((1.0423869 / (m + 2.5885532)) * (h + ((((q + -0.015812678) * (h / 2.6144075)) - -0.012723409) - (m - q)))) + -0.22298892"
25,1.15046515e-8,"(((((((h / 2.61578) * (q + -0.015597805)) + h) - (m - q)) - (m * 0.0050715953)) / (m + 2.5885763)) + -0.2090034) * 1.0423931"
26,1.1503856e-8,"(((((q + -0.015597805) * (h / 2.61578)) + ((h - (m - q)) - sin(m * 0.005071617))) / (m + 2.5885763)) + -0.2090034) * 1.0423931"
27,9.984921e-9,"1.0423931 * ((((((q + -0.015597863) / 2.61578) * h) + (h - ((m - q) + ((m / 1.0084416) * 0.0050716633)))) / (m + 2.5885763)) + -0.20900339)"
33,1.8934234e-9,"(1.042056 * (((h - ((1.9224186 + ((0.04376174 + (h * -0.04089331)) * q)) * -0.0070468457)) + ((h * ((q + -0.014559591) / 2.6136267)) - (m - q))) / (2.5885057 + m))) + -0.22329067"
35,1.7688783e-9,"(((h - (m - q)) + ((((q + -0.014559578) * h) / 2.6136267) - (((((q * h) * -0.042957902) + (q * 0.04923425)) + 1.9224186) * -0.0070468816))) * (1.042056 / (m + 2.5885057))) + -0.22329079"
36,1.7631209e-9,"((((((h * ((q + -0.014559577) / 2.6136267)) + h) - ((sin(q * 0.04923425) + (((h * -0.043142647) * q) + 1.9224186)) * -0.0070468886)) - (m - q)) * 1.042056) / (m + 2.5885057)) + -0.22329077"
37,1.6712718e-9,"((((((h * ((q + -0.014559577) / 2.6136267)) + h) - (((((h - -0.043142647) * -0.043142647) * q) + ((q * 0.04921436) + 1.9224186)) * -0.0070468886)) - (m - q)) / (m + 2.5885057)) * 1.042056) + -0.22329077"
38,1.6709059e-9,"(((((h * ((q + -0.014559577) / 2.6136267)) + (h - (((((h - -0.043142647) * -0.043142647) * q) + (sin(q * 0.04923425) + 1.9224186)) * -0.0070468886))) - (m - q)) * 1.042056) / (m + 2.5885057)) + -0.22329077"
39,1.5658895e-9,"((1.042056 / (m + 2.5885057)) * ((((((q + -0.014559591) * h) / 2.6136267) - ((((((q * -1.1405488) + (m * 0.04925416)) + (h * q)) * -0.04089331) + 1.9224186) * -0.0070468457)) - (m - q)) + h)) + -0.22329067"
40,1.5154891e-9,"((1.042056 / (m + 2.5885057)) * (((((q + -0.014559591) * (h / 2.6136267)) - (((((q * -1.1405488) + ((exp(m) * 0.04925416) + (q * h))) * -0.04089331) + 1.9224186) * -0.0070468457)) - (m - q)) + h)) + -0.22329067"
