Complexity,Loss,Equation
1,1.0,"0.0"
2,0.9032321,"sin(E_n)"
3,0.30880156,"-0.83132833 * m"
4,0.23834945,"sin(E_n) - m"
5,0.14241141,"(E_n * 0.4423977) - m"
6,0.13940878,"(sin(E_n) - m) * 0.7469566"
7,0.114232734,"((E_n * 0.52871275) - m) / 1.2005328"
8,0.1021023,"(0.39001295 * (E_n - sin(U))) - m"
9,0.08963919,"(((E_n - U) * 0.40254873) - m) / 1.2005328"
10,0.07394441,"((E_n - sin(U)) * 0.39001295) - (m / 1.2005328)"
11,0.065742604,"(((E_n * 0.52542424) - (U * 0.26070115)) - m) / 1.2148638"
13,0.06325797,"(E_n + (((U - r) * -0.4009323) - (m + m))) * 0.41666752"
14,0.060015574,"(((m * -3.9142516) + E_n) + ((sin(r) + E_n) - U)) * 0.21077225"
15,0.049113646,"(((U * -0.50929415) - (m + m)) + E_n) * ((m * -0.047690853) + 0.41772106)"
16,0.04908153,"(exp(m * -0.12494478) * 0.4176688) * (((U * -0.5131165) + E_n) - (m + m))"
17,0.033434857,"((m * -0.09238361) + 0.432706) * (E_n + ((U * -0.5027134) - ((m + 0.432706) + m)))"
18,0.032345917,"(((E_n - ((m + m) + 0.43200973)) + (U * -0.5081776)) * 0.42314366) * exp(m * -0.2121212)"
21,0.026446745,"(exp(m * -0.17051065) * 0.42010283) * ((E_n - ((m + (exp(L) * 0.17171681)) + m)) + (U * -0.49790305))"
22,0.019995522,"(((E_n + (U * -0.5207492)) - (exp(-1.5576155 - r) + (m + m))) * ((m * -1.3264095) + 7.1833816)) * 0.05925017"
23,0.010437592,"exp(m * -0.1787688) * (((E_n - (U * 0.5044564)) - ((m + (exp(L - r) * 0.0932848)) + m)) * 0.41875258)"
24,0.0067574456,"exp(m * -0.19895837) * (0.4176688 * (((U * -0.5131165) + E_n) - (((exp(sin(L) - r) * 0.17138053) + m) + m)))"
26,0.00515035,"(E_n + (-0.14777382 + ((U * -0.5078064) - ((m + m) + (exp(sin(L) - r) * 0.13322848))))) * (0.42314366 * exp(m * -0.2121212))"
28,0.00488386,"((((U + 0.29602844) * -0.55089855) + E_n) - (m + ((exp(sin(L) - r) * 0.14472196) + m))) * ((exp(m * -0.47480726) + 1.134359) * 0.18684524)"
30,0.0045398483,"((((U + 0.31627813) * -0.49975747) + (E_n - (m + ((m + (exp(sin(L) - r) * 0.14537737)) / 1.0568587)))) * 0.19208539) * (1.1304294 + exp(m * -0.47699466))"
31,0.0040938794,"(((U * -0.52237535) + E_n) + (-0.21407494 - (((exp(L + ((m * -0.3155379) - r)) * 0.07863322) + m) + m))) * ((exp(m * -0.6422726) + 2.12218) * 0.12793379)"
32,0.0024127872,"((exp(m * -0.6178109) + 2.1198294) * ((((U * -0.5058146) + -0.14420451) - (((exp(sin(L) - (r + (m * 0.2942983))) * 0.12160151) + m) + m)) + E_n)) * 0.13005798"
33,0.0024116747,"((exp(m * -0.6178109) + 2.1198294) * ((((U * -0.5058146) + -0.14420451) - (((exp(sin(L) - (r + (m * sin(0.2942983)))) * 0.12160151) + m) + m)) + E_n)) * 0.13005798"
36,0.001481043,"(exp(m * -0.6540419) + 2.0958362) * ((((U * -0.49927315) + (E_n + -0.13703953)) - ((exp(sin(L) - ((m * 0.298097) + r)) * 0.11963853) + (m + m))) * ((E_n * -0.004793608) + 0.13033538))"
37,0.0014765001,"((exp(m * -0.6540419) + 2.0958362) * (E_n + ((U * -0.49927315) + (-0.13703953 - (m + ((exp(sin(L) - ((m * 0.3069645) + r)) * 0.11963853) + m)))))) * sin((E_n * -0.004793608) + 0.13070723)"
38,0.0014757722,"(2.0958362 + exp(m * -0.6540419)) * ((((-0.13703953 - (m + ((exp(sin(L) - ((m * 0.3069645) + r)) * sin(0.11963853)) + m))) + (U * -0.49927315)) + E_n) * sin((E_n * -0.004793608) + 0.13070723))"
40,0.0014394503,"(exp(m * -0.6455734) + 2.0915523) * (((E_n * -0.003622528) + 0.12982452) * (E_n + ((U * -0.4876838) + (-0.14336906 - ((m + (exp(sin(L) - ((m * 0.3130485) + r)) * ((E_n * -0.009573394) + 0.1161498))) + m)))))"
