Complexity,Loss,Equation
1,0.6439618,"r1"
2,0.5467352,"sin(r2)"
3,0.28307012,"r2 + r1"
4,0.19282953,"r2 + sin(r1)"
5,0.07592054,"(r2 + r1) * 0.6787163"
9,0.07591933,"(0.67789155 - (m1 * 0.0006858811)) * (r2 + r1)"
11,0.057165314,"((r2 + r1) * 0.6781272) - (m1 * (r2 * 0.13730368))"
13,0.038824134,"((r2 + r1) * 0.677979) - ((0.13529932 * r2) * (m1 - m2))"
14,0.03881902,"((r2 + r1) * 0.6781272) - (sin((m1 - m2) * 0.1377388) * r2)"
15,0.0027063582,"((r1 + r2) * 0.677979) - ((r2 - r1) * ((m1 - m2) * 0.1348869))"
16,0.0026780595,"((r2 + r1) * 0.6781272) - (sin((m1 - m2) * 0.1377388) * (r2 - r1))"
21,0.00207202,"((r1 + r2) * 0.6793175) - ((r2 - r1) * (((m1 * (m1 * -0.11695175)) + (m1 - m2)) * 0.13802636))"
23,0.001471617,"((r1 + r2) * 0.67778987) - ((((((m1 + m2) * -0.2046274) * r2) + r2) - r1) * ((m1 - m2) * 0.13408253))"
25,0.00023312459,"((r1 + r2) * 0.677979) - ((((r2 + ((r1 - r2) * ((m1 + m2) * 0.20563556))) - r1) * (m1 - m2)) * 0.1348869)"
29,0.0002306404,"((r1 + r2) * 0.6774563) - (((m1 + (-0.025822498 - m2)) * ((((m1 + m2) * (((r2 * -1.0164131) + r1) * 0.19410235)) + r2) - r1)) * 0.13398197)"
31,0.00019609225,"((r2 + r1) * 0.6776054) - (((m1 - m2) * 0.1330668) * ((((((m1 * r2) * -0.15899456) + (r2 - r1)) * -0.20584191) * (m1 + m2)) + (r2 - r1)))"
33,0.00015087599,"((r1 + r2) * 0.6787163) - (((m1 - m2) * ((((m1 + m2) * -0.2053455) * ((((m1 + m2) * -0.2039054) * r2) + (r2 - r1))) + (r2 - r1))) * 0.13258709)"
34,0.00015075623,"((r2 + r1) * 0.6787163) - ((m1 - m2) * (0.13258709 * ((((m1 + m2) * ((r2 - r1) + ((m1 + m2) * sin(-0.2053455 * r2)))) * -0.2053455) + (r2 - r1))))"
35,4.2409163e-5,"(0.6779957 * (r1 + r2)) - ((0.13061894 * (m1 - m2)) * ((r2 - r1) + ((m1 + m2) * (-0.21018928 * ((r2 - r1) + ((m1 + m2) * ((r2 - r1) * -0.19520038)))))))"
37,3.2734242e-5,"((r1 + r2) * 0.6780994) - ((((m1 - m2) + -0.015012287) * 0.12989114) * ((r2 - r1) + ((-0.2259523 * ((((m2 + m1) * ((r2 - r1) * -0.21207096)) + r2) - r1)) * (m1 + m2))))"
