Complexity,Loss,Equation
1,0.6371498,"E_n"
2,0.550131,"sin(E_n)"
3,0.5356598,"E_n * 0.68148017"
4,0.4215393,"sin(c) + E_n"
5,0.27932632,"(c + E_n) / 1.6580778"
6,0.27421296,"(sin(c) + E_n) / 1.4510034"
7,0.23406927,"((c + E_n) - theta) / 1.9716388"
8,0.19479682,"(c + (E_n - sin(theta))) / 1.7725501"
9,0.17927136,"(c + (E_n - (theta * 0.5355984))) / 1.6580778"
10,0.15378542,"((m + (c - theta)) * 0.36057127) + sin(E_n)"
11,0.117526226,"(E_n + (c - ((theta - m) * 0.47219977))) / 1.6772671"
12,0.11178875,"((E_n - ((theta - m) * 0.40883666)) + sin(c)) / 1.4510034"
13,0.10348053,"(((c + c) - (theta - m)) * 0.2643157) + (E_n / 1.4470328)"
14,0.09593616,"sin(E_n) + (((E_n - -2.4357321) * 0.14957689) * (m + (c - theta)))"
15,0.068027526,"(-0.2524235 * (theta - (((E_n - -2.0495107) * c) + m))) + (E_n / 1.4577842)"
16,0.05428921,"sin(E_n) + (((E_n - -2.601781) * 0.10334619) * ((c + c) - (theta - m)))"
17,0.03987243,"(E_n / 1.4482757) + (((E_n - -2.6101925) * 0.10334619) * ((c + c) - (theta - m)))"
19,0.039533664,"(E_n / 1.4482757) + (0.10334619 * ((((c + (c * 0.8812048)) - theta) + m) * (E_n - -2.6101925)))"
20,0.037035502,"(E_n / 1.439124) + (((c + c) - (theta - m)) * (((E_n - -3.3117845) - sin(c)) * 0.07981066))"
21,0.021918224,"(E_n / 1.5591801) + (((theta - m) - (c + (c + 0.600877))) * (((E_n - -3.4384634) - c) * -0.08407223))"
22,0.018388843,"(E_n + (((theta - m) - ((c + 0.535939) + c)) * (((E_n - -2.7664745) - sin(c)) * -0.15980397))) / 1.5748686"
23,0.018123869,"((((theta - m) - ((c + 0.46198508) + c)) * -0.10415524) * ((E_n - -2.6081977) - (c * 0.5920759))) + (E_n / 1.5664325)"
24,0.016706947,"(E_n + (((((theta / 0.87268883) - m) - ((c + c) + 0.535939)) * -0.15980397) * ((E_n - -2.7664745) - sin(c)))) / 1.5945942"
26,0.01491968,"(E_n * 0.63933015) + ((((E_n - -3.4392407) - c) * -0.07996872) * (theta + ((sin(theta + 1.2301108) - m) - (c + (c + 1.0656306)))))"
27,0.010565305,"(((E_n - -2.7662969) - sin(c)) * ((theta + ((sin(theta + 1.2943116) - m) - ((c + c) + 1.0754766))) * -0.09540308)) + (E_n * 0.63766205)"
28,0.009599575,"(E_n * 0.6573549) + ((((E_n - -2.766726) - (c * 0.58563167)) * (sin(theta + 1.2692795) + ((theta - m) - (c + (c + 0.9446641))))) * -0.09700969)"
30,0.009435135,"(((((E_n - -2.766726) - (c * 0.6256591)) * (((sin(theta + 1.2692795) + theta) - m) - (0.9446641 + (c + c)))) * -0.09482679) + (E_n * 0.6573549)) - -0.013919842"
32,0.008951308,"(E_n * 0.6573549) + (-0.09482679 * ((((sin(1.2343979 + theta) - m) - ((c + c) + 1.018897)) + theta) * ((E_n - -2.766726) - ((c - (m * -0.18941005)) * 0.60134107))))"
34,0.008895245,"(E_n * 0.6573549) + (((((sin(1.2343979 + theta) - m) - ((c + c) + 1.018897)) + theta) * -0.09482679) * (((E_n - -2.766726) - ((c - (m * -0.18941005)) * 0.60134107)) - -0.020976128))"
36,0.0087615205,"((E_n * 0.6573549) + ((((sin(theta + 1.2343979) - m) - ((c + c) + 1.018897)) + (theta + 0.0512158)) * (((E_n - -2.766726) - ((c - (m * -0.18941005)) * 0.60134107)) * -0.09482679))) - -0.020976128"
37,0.00863519,"((E_n * 0.6573549) + ((((sin(theta + 1.2343979) - m) - ((c + c) + sin(1.3425682))) + (0.0512158 + theta)) * (((E_n - -2.766726) - ((c - (m * -0.18941005)) * 0.60134107)) * -0.09482679))) - -0.020976128"
40,0.007874956,"(E_n * 0.6910252) + (((((E_n - -2.874139) - (c * 0.6529772)) * ((theta + ((E_n - (E_n * 0.81329715)) + ((sin(theta + 1.265613) - m) / 1.0993437))) - ((c + 1.0114174) + c))) * c) / (c / -0.09447545))"
