Complexity,Loss,Equation
1,1.0,"-0.00023993617"
3,0.5412448,"alpha * -0.6773972"
5,0.088659674,"(d + alpha) * -0.67608607"
7,0.088652186,"(d * -0.67237574) + (alpha * -0.675616)"
9,0.08865218,"(-3.456404 * (alpha * 0.1954679)) + (d * -0.67237574)"
10,0.050146267,"(d + (alpha * exp(d * 0.28156525))) * -0.66520363"
11,0.0493944,"(((-3.456404 - d) * alpha) * 0.1954679) + (d * -0.67237574)"
13,0.049372807,"(alpha * -0.6795619) - ((0.001140174 - d) * (-0.6729704 - (alpha * 0.20029157)))"
16,0.048918013,"(-0.6795619 * alpha) - ((0.01091392 * exp(theta1)) - (d * (-0.6729704 - (alpha * 0.20029157))))"
17,0.017784942,"(alpha * -0.6795619) - ((-0.6667244 - (alpha * 0.19895509)) * (((theta1 * theta2) * 0.25637248) - d))"
21,0.017776245,"(alpha * -0.6795619) - ((((-0.6667244 - (alpha * 0.19895509)) * (((theta2 * theta1) * 0.25637248) - d)) / 1.0229715) / 0.9761535)"
23,0.009160534,"(alpha * -0.6755477) - ((((theta1 - theta2) * (theta1 - theta2)) * 0.081167206) - ((d * (-0.6731003 - (alpha * 0.19654174))) - -0.15924501))"
25,0.009157496,"(alpha * -0.6755477) - ((((theta1 - theta2) * (theta1 - theta2)) * 0.081167206) - ((d * (-0.6731003 - (alpha * 0.19654174))) - (-0.15924501 * 1.0214568)))"
31,0.007964581,"(((alpha * -0.6741619) - (((theta1 * 0.066840716) * ((((theta1 * theta2) - alpha) * theta2) + (theta2 / -0.3880227))) - (-0.6741619 * d))) - (alpha * (d * 0.20003916))) - -0.06822056"
32,0.007961541,"(((alpha * -0.6773299) - ((((((theta2 * theta1) - alpha) * theta2) + (theta2 / -0.39502752)) * (theta1 * 0.066840716)) - (d * -0.6773299))) - sin((alpha * d) * 0.2013979)) - -0.07093407"
33,0.0059260367,"(((-0.6773299 * alpha) - (((((theta2 / -0.39502752) + (theta2 * ((theta2 * theta1) - (alpha + d)))) * theta1) * 0.066840716) - (d * -0.6773299))) - (d * (0.2013979 * alpha))) - -0.07093407"
34,0.005668135,"(((alpha * -0.6773299) - ((((theta2 / -0.39502752) + (theta2 * ((theta1 * theta2) - (alpha + sin(d))))) * (theta1 * 0.066840716)) - (d * -0.6773299))) - ((d * 0.2013979) * alpha)) - -0.07093407"
35,0.005611155,"(((alpha * -0.6741619) - (((theta1 * 0.066840716) * ((((d * -0.7186539) + ((theta1 * theta2) - alpha)) * theta2) + (theta2 / -0.3880227))) - (d * -0.6741619))) - (alpha * (d * 0.20003916))) - -0.07093407"
36,0.005603479,"(((alpha * -0.6741619) - (((theta1 * 0.066840716) * ((((d * -0.7186539) + ((theta1 * theta2) - alpha)) * theta2) + (theta2 / -0.3880227))) - (d * -0.6741619))) - sin((alpha * 0.2013979) * d)) - -0.07093407"
37,0.005571108,"(((alpha * -0.6787554) - ((theta1 * (0.066840716 * ((theta2 * (((theta1 * theta2) - alpha) + ((d / 0.74935484) * -0.53827727))) + (theta2 / -0.3880227)))) - (d * -0.6741619))) - (d * (0.20003916 * alpha))) - -0.06822056"
