Complexity,Loss,Equation
1,1.0,"0.0"
2,0.93923116,"sin(q)"
3,0.7398412,"omega_0 * -0.51190656"
5,0.5419925,"(omega_0 + m) * -0.48597807"
7,0.37194803,"((q - omega_0) - m) * 0.45646727"
9,0.20210667,"(((Ef + q) - m) - omega_0) / 2.2336316"
11,0.13931613,"(q + ((Ef - m) - omega_0)) / (omega_0 + 2.911188)"
12,0.13180737,"(((q + Ef) - m) - omega_0) / (sin(omega_0) + 2.5186465)"
13,0.11425351,"((((Ef + q) - m) - omega_0) / (omega_0 + 2.8063996)) - 0.1722589"
14,0.1134719,"((((q + Ef) - m) - omega_0) / (sin(omega_0) + 2.4390998)) + -0.15771364"
16,0.11207866,"(((((Ef + q) / 1.0713298) - m) - omega_0) / (sin(omega_0) + 2.4465232)) + -0.10812448"
17,0.07722181,"((((Ef - omega_0) + q) - m) * (((3.7132716 - m) - omega_0) / 8.293021)) + -0.2431805"
19,0.07393762,"(((3.3870385 - m) - omega_0) * ((((Ef - omega_0) + (q - m)) / 8.527416) + 0.07931254)) - 0.47631678"
21,0.067152925,"(((q + (Ef - (omega_0 - 1.0943376))) - m) * (0.38305545 - (((omega_0 + m) - omega) * 0.08876335))) + -0.6117573"
22,0.06341101,"(((q + (Ef - (omega_0 - 1.0943376))) - m) * (0.38305545 - ((omega_0 + (m - sin(omega))) * 0.08876335))) + -0.6117573"
23,0.06028513,"((0.4061842 - (((m + omega_0) - (omega + q)) * 0.07668309)) * ((q + (Ef - (omega_0 - 0.9105693))) - m)) + -0.6314027"
24,0.05685176,"((0.4061842 - (((m + omega_0) - (omega + sin(q))) * 0.07668309)) * (((q + Ef) - (omega_0 - 1.0803022)) - m)) + -0.6314027"
25,0.05354872,"((((Ef + q) - ((omega_0 - omega) * 0.25936788)) - (omega_0 - -0.5935031)) - m) * (0.45646727 - ((omega_0 + (m - Ef)) * 0.08292745))"
26,0.050800033,"(0.45646727 - (((omega_0 - sin(Ef)) + m) * 0.08292745)) * (((Ef + (q - ((omega_0 - omega) * 0.25936788))) - (omega_0 - -0.5935031)) - m)"
27,0.05042109,"((((q - (omega_0 - 0.7559626)) - m) + Ef) * (0.399419 - ((omega_0 + ((m + ((omega_0 + m) - omega)) - q)) * 0.050862085))) + -0.58514553"
28,0.049527172,"(0.45646727 - ((omega_0 + (m - (q + sin(Ef)))) * 0.08292745)) * ((q - ((omega_0 - omega) * 0.25936788)) + ((Ef - (omega_0 - -0.6181569)) - m))"
29,0.04660903,"(((Ef + (q - ((omega_0 - omega) * 0.25936788))) - (omega_0 - -0.6181569)) - m) * (0.45646727 - ((((omega_0 + m) - q) - (Ef * 0.4875503)) * 0.08292745))"
31,0.043963775,"((((((Ef / 0.6915082) - ((q - omega) * 0.27105018)) - m) + q) - (omega_0 - 1.8349632)) * (0.11103904 - (((m + -1.9391886) + (omega_0 - q)) * 0.094112016))) + -0.77141887"
33,0.042108145,"(0.45646727 - (((m + omega_0) - ((Ef + (q - (omega_0 - omega))) * 0.25936788)) * 0.08292745)) * ((((Ef + q) - ((omega_0 - omega) * 0.25936788)) - (omega_0 - -0.5935031)) - m)"
35,0.04045597,"(0.40939116 - (((omega_0 - Ef) + m) * 0.06148887)) * ((((Ef + q) - ((((omega + q) - (omega_0 - 0.94503033)) * 0.13823786) * (m + (omega_0 - 0.5661166)))) - (omega_0 - -0.71393514)) - m)"
36,0.039199643,"(0.45646727 - ((m + (omega_0 - (((Ef + q) - ((omega_0 - omega) - Ef)) * sin(0.25936788)))) * 0.08292745)) * ((((Ef + q) - ((omega_0 - omega) * 0.25936788)) - (omega_0 - -0.5935031)) - m)"
37,0.037510168,"(0.41822082 - (((m + omega_0) - q) * 0.062485725)) * (Ef + (((q - (((((Ef - -1.0297768) + omega) * (omega_0 - ((m - q) * -0.50066715))) - omega) * 0.18972029)) - (omega_0 - -0.43768126)) - m))"
