Complexity,Loss,Equation
1,0.92067206,"T"
2,0.7580641,"sin(kb)"
3,0.7087629,"T / 1.8535496"
4,0.5978517,"sin(T + kb)"
5,0.4199782,"(mob + T) / 1.8571168"
7,0.13418412,"((mob + kb) + T) / 1.8674258"
10,0.105978385,"(T + (kb + mob)) / (2.2983215 - sin(mob))"
11,0.089312345,"(((T + kb) + mob) * (mob + 5.0281863)) / 9.477996"
12,0.052289456,"((exp(kb * 0.3767639) * (T + mob)) + kb) * 0.5071117"
13,0.04880288,"(T + ((mob + kb) * ((T + 2.597531) / 2.597531))) / 1.8668871"
15,0.048548725,"((kb + ((mob * ((T + kb) + 2.5992687)) / 2.5953314)) + T) / 1.8659408"
16,0.040949434,"(((kb + mob) * ((sin(mob) + T) - -3.2156758)) + (T * 3.141408)) / 5.9339213"
17,0.0062783803,"(T + ((((mob + kb) * (T + 2.597531)) + (mob * kb)) / 2.5927496)) / 1.8668871"
19,4.9630644e-6,"(T * 0.53622127) + (((kb + mob) + ((kb * mob) * 0.3845498)) * ((T - -2.5994642) / 4.8402853))"
21,1.3596557e-6,"(T * 0.53655756) + ((T - -2.601777) * (((((kb * mob) + -0.008869252) * 0.38488454) + (kb + mob)) / 4.846776))"
23,1.327941e-6,"(((((kb * (mob + (mob * -0.6149118))) + (kb + mob)) * ((T + 2.6003609) / 2.5965366)) + T) / 1.8655694) - 0.0018564373"
27,1.3733e-10,"((T + (T + (((T * 0.7690118) - -2.0004115) * ((mob + kb) + (((mob * -0.6144167) + mob) * (kb + 0.007322133)))))) + -0.0068807597) / 3.7314487"
38,8.012073e-11,"(((((T * 0.7695958) - -2.0019362) * ((((((kb + (kb / (mob * exp(0.032516684)))) - 2.628922) * -0.0020256387) + kb) * (mob + (mob * -0.613931))) + (mob + kb))) + (T + T)) + -0.006854049) / 3.7314134"
