Complexity,Loss,Equation
1,1.0,"0.0"
3,0.8945602,"x1 * 0.32406455"
4,0.8944479,"sin(0.33740836 * x1)"
5,0.5707436,"(theta1 * theta2) * -0.6532002"
6,0.5105867,"sin((theta2 - theta1) + -1.5761442)"
8,0.36970446,"sin(((theta1 - theta2) * 1.3539163) + -1.5429015)"
10,0.35825714,"sin(((theta2 - theta1) * 1.3019139) + -1.5861497) + 0.12974013"
11,0.3037378,"sin((theta2 + -1.5869993) - theta1) + (exp(x1) * 0.2128827)"
12,0.26668912,"sin(-1.592386 - ((theta1 - theta2) * 1.3523966)) + (x1 * 0.3164219)"
13,0.21379091,"sin(theta2 + (-1.5820389 - theta1)) + ((x2 + exp(x1)) * 0.24823439)"
14,0.16582873,"sin(-1.592386 - ((theta1 - theta2) * 1.3523966)) + ((x2 + x1) * 0.3164219)"
16,0.15454416,"(sin(((theta2 - theta1) * 1.2925066) + -1.5723747) + ((x1 + x2) * 0.3135732)) + 0.10750993"
17,0.15315324,"sin(((x2 + x1) + 0.39495665) * 0.3794901) + sin(((theta2 - theta1) * 1.2851212) + -1.5844288)"
18,0.11290034,"((((x2 + x1) + 4.167685) / 3.2798316) * (sin((theta2 - theta1) + -1.6020086) + 1.3160377)) + -1.2423856"
20,0.07265328,"(((sin(((theta2 - theta1) + -1.2278314) * 1.292142) - -1.3737336) * (x2 + (x1 + 4.2964177))) / 3.8888285) + -1.3844782"
24,0.07250144,"((sin(((theta2 - theta1) + -1.2533714) * 1.2629025) + ((x2 * -0.045527965) - -1.3279928)) * (((x1 + x2) + 4.052539) / 3.4764538)) + -1.3917937"
25,0.072216414,"(((x2 + (x1 + 4.052539)) / 3.4764538) * ((sin(x2) * -0.045543708) + (sin(((theta2 - theta1) + -1.2533714) * 1.2629025) - -1.3279928))) + -1.3917937"
26,0.049740583,"(((((x2 + x1) + 4.052539) / 3.4764538) * (sin((theta2 + (-1.2533714 - theta1)) * 1.2629025) - -1.3279928)) + ((x1 * x2) * -0.16102748)) + -1.3917937"
30,0.04939073,"(((sin((theta2 + (-1.2297828 - theta1)) * 1.2923161) + (1.2486997 - ((x1 - x2) * ((x2 + -0.013453864) * 0.10693788)))) * (x1 + (x2 + 4.395037))) / 3.858247) + -1.3854029"
31,0.046161123,"(0.25032222 - (sin((x1 * x2) - 2.459648) * -0.2511174)) + (((sin((theta2 + (-1.2360741 - theta1)) * 1.2903973) - -1.3002439) * ((x1 + (x2 + 4.302085)) / 3.807319)) + -1.495333)"
33,0.044587538,"(((sin((-1.2329572 - (theta2 - theta1)) * 1.269335) - -1.2090691) + 0.15917327) * (((x1 + 4.370541) + x2) / 3.8273323)) + (-1.4588453 - (((x2 - (x1 / 1.9073346)) * 0.19052881) * sin(x1)))"
35,0.044405624,"(((sin((-1.2329572 - (theta2 - theta1)) * 1.269335) - -1.2090691) + 0.15917327) * (((x1 + 4.370541) + x2) / 3.8273323)) + (-1.4588453 - ((((x2 * 1.19699) - (x1 / 1.9073346)) * 0.15917327) * sin(x1)))"
