Complexity,Loss,Equation
1,1.0,"-0.00027768753"
3,0.99396354,"E_n * 0.079155765"
4,0.9939619,"sin(0.077182636) * E_n"
5,0.9892241,"0.07245933 * (E_n + t)"
6,0.9772767,"0.21763586 * sin(t + E_n)"
8,0.9302904,"sin((t + E_n) * h) * 0.45982468"
9,0.90992165,"(exp(h) * sin(E_n + t)) * 0.19743733"
10,0.77569586,"sin((t - ((h / 0.6646985) - E_n)) * -1.6197581)"
12,0.7352027,"sin((t - ((h / 0.68510485) - E_n)) * -1.7119063) * 0.71215934"
14,0.691145,"(0.7284029 + h) * sin((t - ((h / 0.7126355) - E_n)) * -1.7349329)"
15,0.5912167,"sin((t - ((h / 0.7126355) - E_n)) * -1.7349329) * (0.7284029 + sin(h))"
16,0.58837295,"(sin((t - ((h / 0.6616466) - E_n)) * -1.6377362) / -1.8172684) * (-1.199718 - h)"
17,0.57523847,"sin((t - ((h / 0.7126355) - E_n)) * -1.7349329) * (0.3267291 + sin(0.61902493 + h))"
19,0.5722394,"(sin((t - ((h / 0.7126355) - E_n)) * -1.7349329) * (sin(h - -0.24147156) + 0.7284029)) / 1.1489264"
21,0.5637598,"sin((t - ((h / 0.6646985) - E_n)) * -1.6197581) * ((sin(t - h) - (h - -1.7553841)) / -2.4084327)"
23,0.5539662,"(sin((t - ((h / 0.6646985) - E_n)) * -1.6197581) / -2.4084327) * (sin(t - (h / 0.6646985)) - (h - -1.6197581))"
25,0.54911876,"(sin((t - ((h / 0.6646985) - E_n)) * -1.6197581) * (sin(-0.25765058 - ((h / 0.49856532) - E_n)) - (h - -1.7553841))) / -2.4084327"
29,0.54476327,"(sin((t - ((h / 0.6646985) - E_n)) * -1.6197581) / -2.4084327) * (sin(t - ((h / 0.6646985) - (E_n / 1.244073))) - ((h - -1.5304308) + 0.06814792))"
31,0.5389625,"((sin(((E_n + t) - h) / (h - -1.5304308)) - (h - -1.5304308)) * (h * (sin((t - ((h / 0.6646985) - E_n)) * -1.5609739) / h))) / -2.0236669"
32,0.5190712,"(((sin((t - ((h / 0.60142756) - E_n)) * -1.5448748) / h) / -1.614978) * (sin(((t + E_n) - h) / (h - -1.4949796)) - (h - -1.3311512))) * sin(h)"
34,0.514678,"((((sin(h) * (sin(((E_n + t) - h) / (h - -1.5448748)) - (h - -1.3311512))) * sin((t - ((h / 0.60142756) - E_n)) * -1.5448748)) / h) / -1.6039634) + -0.009382695"
