Complexity,Loss,Equation
1,0.80052114,"alpha"
2,0.6698476,"sin(alpha)"
3,0.62064344,"alpha + n"
4,0.48533833,"sin(n) + alpha"
5,0.28994313,"(n + alpha) * 0.5942806"
8,0.16331258,"exp((n + alpha) * 0.48694372) + -1.2701664"
10,0.14688699,"((n * (sin(alpha) + 1.0290118)) + alpha) / 1.7675459"
11,0.14065276,"((n * ((alpha + 1.5522555) / 1.5522555)) + alpha) * 0.59577495"
13,0.117080264,"(alpha + ((n - (Ef * -0.31506938)) * (alpha + 1.2191696))) / 2.1021383"
14,0.100246966,"(alpha + ((n - (Ef * -0.28204226)) * (sin(alpha) + 1.0164716))) / 1.7135849"
15,0.07194013,"(((alpha + 1.2191696) * (n - ((Ef + epsilon) * -0.31506938))) + alpha) / 2.1021383"
16,0.054111596,"(((n - ((epsilon + Ef) * -0.28204226)) * (sin(alpha) + 1.0164716)) + alpha) / 1.7135849"
17,0.04651626,"(((alpha + 1.53975) * ((n * 0.651885) - ((epsilon + Ef) * -0.1973784))) + alpha) / 1.6802983"
19,0.037456654,"(((n - ((Ef + epsilon) * ((n + 1.6882882) * -0.19037828))) * (alpha + 1.2060477)) + alpha) / 2.149619"
20,0.018059092,"(((sin(alpha) + 1.0037398) * (n - (((n + 1.5758865) * -0.1973784) * (Ef + epsilon)))) + alpha) / 1.7026751"
21,0.009478176,"(alpha + (((n - (((epsilon + Ef) * -0.19609931) * (n + 1.5758865))) * (alpha + 1.53975)) * 0.651885)) / 1.6802983"
25,0.007941382,"(alpha + ((n - ((n + 1.582381) * (-0.1974567 * ((epsilon - (alpha * -0.21904503)) + Ef)))) * (0.63273424 * (alpha + 1.6240656)))) / 1.7742934"
27,0.00462699,"(((0.56946707 * (n - ((((Ef + epsilon) - (alpha * (n * -0.37790066))) * (n + 1.5658125)) * -0.21629716))) * (alpha + 1.7305818)) + alpha) / 1.7815254"
29,0.0035460629,"(alpha + ((0.6026424 * (alpha + 1.6591419)) * (n - (((epsilon + Ef) - (((1.2159239 - n) - alpha) * 0.43643433)) * ((n + 1.5471807) * -0.21962173))))) / 1.8361042"
30,0.0035432049,"(alpha + ((0.6026424 * (n - ((1.5471807 + n) * (-0.21962173 * ((epsilon + Ef) - (((1.2159239 - n) - alpha) * sqrt(0.1946646))))))) * (alpha + 1.6591419))) / 1.8361042"
33,0.0026803368,"((((alpha + 1.6512856) * (n - (((epsilon + Ef) - (((1.1881568 - n) - ((Ef * epsilon) + alpha)) * 0.31408224)) * ((n + 1.5650349) * -0.2030329)))) * 0.6099355) + alpha) / 1.7869626"
34,0.0017739809,"(alpha + (((alpha + 1.6215897) * (n - ((((epsilon + Ef) - (((1.1978819 - n) - ((epsilon * sin(Ef)) + alpha)) * 0.3619384)) * (n + 1.5909363)) * -0.21432395))) * 0.60911673)) / 1.8132393"
35,0.001094413,"(((n - ((((epsilon + Ef) - (((1.2159239 - n) - (((Ef * epsilon) / 2.2087107) + alpha)) * 0.43643433)) * (n + 1.5471807)) * -0.21962173)) * ((alpha + 1.6591419) * 0.6026424)) + alpha) / 1.8361042"
37,0.0010892987,"(alpha + ((n - ((n + 1.5565417) * (((Ef + epsilon) - ((((0.54106456 - n) + 0.7346243) - (alpha + ((Ef * 0.43429106) * epsilon))) * 0.44183078)) * -0.21775334))) * ((alpha + 1.6369373) * 0.60989153))) / 1.8224529"
