Complexity,Loss,Equation
1,0.6356821,"n"
2,0.54929024,"sin(n)"
3,0.26842353,"h + n"
4,0.1835775,"n + sin(h)"
5,0.06879866,"(n + h) * 0.6834097"
9,0.044437334,"(n + h) * ((h * 0.09047753) + 0.6839371)"
10,0.037471775,"(sin(n * h) + (n + h)) / 1.5714889"
11,7.778255e-6,"((h + n) - (n * (h * -0.38490206))) * 0.6826555"
13,8.1508944e-7,"((h * 0.68074673) - (-0.6844709 * n)) - ((n * -0.2627493) * h)"
15,3.7079837e-15,"(h * 0.68074673) - ((-0.00090282393 - ((h * n) * 0.2627493)) + (n * -0.6844709))"
17,3.6165745e-15,"((h + (0.0013190066 - (h * (1.77697 * ((n * -0.21602623) - -0.0030619174))))) + n) * 0.6844709"
19,3.4491194e-15,"((n + (0.0013190085 - (((h * 1.125463) - -7.937938e-8) * ((n * -0.3410793) - -0.0048343875)))) + h) * 0.6844709"
22,3.4005338e-15,"((((0.0013189942 - ((h * 1.125463) * ((n * -0.3410793) - -0.004834395))) - (exp(n) * -1.16139915e-8)) + n) + h) * 0.6844709"
23,3.34616e-15,"(((0.0013189984 - (((h * ((n * -0.3410793) - -0.004834394)) * 1.125463) - ((-0.7130746 - n) * -2.215753e-8))) + n) + h) * 0.6844709"
