Complexity,Loss,Equation
1,0.97491586,"I_0"
2,0.79867953,"sin(I_0)"
3,0.64481586,"delta * -0.5954464"
4,0.57503814,"sin(I_0 - delta)"
5,0.38951614,"-0.55081487 * (delta - I_0)"
7,0.29114163,"((I_0 - delta) - alpha) * 0.4847155"
8,0.26965597,"((I_0 - delta) - sin(alpha)) * 0.5345794"
9,0.24992406,"((n * delta) - (I_0 - delta)) * -0.5018871"
10,0.23547482,"((n * sin(delta)) - (I_0 - delta)) * -0.54178417"
11,0.13975677,"((delta * n) - ((I_0 - alpha) - delta)) * -0.4641716"
12,0.12629236,"-0.4934975 * ((delta * n) - ((I_0 - sin(alpha)) - delta))"
13,0.11414724,"((n * sin(delta)) - ((I_0 - sin(alpha)) - delta)) * -0.54178417"
14,0.1131557,"(((n * 0.78594035) * delta) - ((I_0 - sin(alpha)) - delta)) * -0.5232949"
15,0.108823106,"((I_0 + 6.7222304) * -0.06777723) * ((delta * n) - ((I_0 - alpha) - delta))"
16,0.10731316,"((delta * (n * 0.78594035)) - ((I_0 - sin(alpha)) - (delta / 0.87130195))) * -0.5041771"
17,0.07736691,"(((I_0 - alpha) - -4.0460424) * (((3.450056 - delta) - (n * delta)) * 0.12729058)) + -1.7794214"
18,0.058372147,"(((I_0 - alpha) - -4.3517685) * (((3.3931723 - delta) - (n * sin(delta))) * 0.13315889)) - 1.9670242"
19,0.030586667,"-1.6062149 - ((((alpha + -4.517825) * -0.029130626) * (((n - -1.3858807) * delta) + -3.8969672)) * (I_0 + 3.1579554))"
21,0.015069176,"((((((delta - 0.2579433) * (n - -1.4702976)) + -3.712133) * (I_0 + 3.249195)) * (alpha + -4.474988)) * 0.027198268) - 1.6252928"
23,0.015064266,"((((n - -1.4702976) * (delta - 0.2579433)) + -3.712133) * (((3.249195 + I_0) * (-4.474988 + alpha)) * 0.027198268)) - (1.6252928 - 0.0064120307)"
25,0.0121885035,"(((alpha + (n + -5.166843)) * ((delta * (n - -1.540772)) + -4.3391504)) * (((n + 4.0535626) * (I_0 + 3.2207017)) * 0.005807932)) - 1.6233273"
27,0.007504305,"(((n + 3.4350226) * 0.0073453505) * (((I_0 + 3.3267684) * ((n + -4.4235706) - (delta * ((n * -0.53983676) + -1.2892098)))) * (alpha + -4.928918))) - 1.6868063"
28,0.00706329,"((((((sin(delta) * n) + alpha) + -5.0022426) * 0.008106348) * (I_0 + 3.407004)) * ((n + 3.5339093) * ((n + -3.7641876) - (delta * -1.1851381)))) - 1.7212291"
30,0.006795686,"((((I_0 + 3.5039997) * (n + 3.578948)) * (((alpha + (n * sin(delta + -0.07838377))) + -4.9166617) * 0.008110167)) * ((n + -3.757058) - (delta * -1.1624836))) - 1.7724683"
31,0.005938874,"(((I_0 + 3.4178355) * (((n - (delta * -1.3508358)) + -3.8164978) * 0.008519882)) * ((n + 3.4626715) * (((n - 0.3610785) * (delta * 0.58047193)) + (alpha + -4.892196)))) - 1.7384409"
32,0.0056249206,"(((n + -3.8164978) - (delta * -1.3508358)) * (((n + 3.4626715) * ((I_0 + 3.4178355) * 0.008519882)) * (((n - 0.3610785) * sin(delta * 0.7129073)) + (alpha + -4.892196)))) - 1.7403495"
33,0.003497915,"((n + 3.3892233) * (((alpha + ((delta * (n * 0.34259632)) + -4.711565)) * (I_0 + 3.2873309)) * (((-3.922178 - (((n * -0.2721689) + -1.2318852) * delta)) + n) * 0.008478053))) - 1.6457999"
35,0.0034360625,"(((n + 3.3892233) * ((alpha + (((delta * n) * 0.34259632) + -4.711565)) * ((3.2873309 + I_0) * (((-3.922178 - (((n * -0.2721689) + -1.2318852) * delta)) + n) * 0.008478053)))) - 1.6457999) / 0.9882726"
37,0.0033709065,"((((n + (-3.9660318 - (delta * ((n * -0.26706827) + -1.3068609)))) * ((n + 3.4662886) * (((n - 0.35307777) * (delta * 0.35407355)) + (alpha + -4.8345003)))) - 0.35307777) * ((I_0 + 3.2996793) * 0.008214167)) - 1.6621224"
38,0.00308843,"((((I_0 + 3.2996793) * ((n + 3.4662886) * (((alpha + ((delta * 0.35407355) * (n - 0.35307777))) + -4.8345003) * ((-3.9660318 - (delta * ((n * -0.26706827) + -1.3068609))) + n)))) - exp(alpha)) * 0.008214167) - 1.6621224"
39,0.003003042,"((((I_0 + 3.2996793) * ((n + 3.4662886) * (((((delta * 0.35407355) * (n - 0.35307777)) + alpha) + -4.8345003) * ((-3.9660318 - (delta * (sin(n * -0.26706827) + -1.3068609))) + n)))) - exp(alpha)) * 0.008214167) - 1.6621224"
