Complexity,Loss,Equation
1,1.0,"3.8041978e-6"
2,0.82614005,"sin(x)"
3,0.7545552,"x * 0.49370337"
5,0.5986711,"(x + omega) * 0.452295"
7,0.5811627,"((x + m) + omega) * 0.37480056"
8,0.46872678,"exp(omega + (x - 1.69958)) + -0.4469691"
9,0.4589399,"(exp(sin(omega) + x) * 0.31300774) - 0.6946337"
10,0.41845047,"exp(((omega + m) + x) * 0.35243517) - 1.2086985"
11,0.40075275,"exp(((x + omega) + sin(m)) * 0.35243517) - 1.1352819"
12,0.3524139,"exp((0.11274506 * (4.015571 - y)) * (omega + x)) - 1.263989"
13,0.3490559,"((exp(x + sin(omega)) * (3.1594195 - y)) * 0.074981116) - 0.4987255"
14,0.23010127,"(((m - (y - 2.3818965)) * exp(omega + x)) * 0.07271786) - 0.40016714"
16,0.13972865,"(((alpha + (m - (y - 2.3818965))) * exp(omega + x)) * 0.07271786) - 0.40016714"
17,0.1388543,"((alpha + (m - (y - exp(0.86789703)))) * (exp(omega + x) * 0.07271786)) - 0.41636163"
18,0.11372505,"((exp((m * 0.37065846) + (omega + x)) * 0.061377555) * (alpha - (y - 2.8534582))) - 0.4671673"
20,0.11371794,"((0.061377555 * ((alpha - (y - 2.8534582)) * exp((omega + x) + (m * 0.37065846)))) - 0.45460802) * 1.0250012"
22,0.07766335,"(((exp((((alpha + m) * 0.31612965) - -1.9986687) + x) * (y - 2.2883682)) * (omega + 1.2333558)) * -0.013382945) - 0.50827366"
24,0.058956128,"(((2.3780978 - y) * ((omega - -1.4698838) * (m - -2.5982368))) * (exp((alpha * 0.2938138) + (x - -0.9841063)) * 0.014004058)) - 0.53105336"
26,0.058338575,"(((omega - -1.4698838) * ((m - -2.5982368) * ((exp((x + (alpha * 0.2896047)) - -0.9841063) * 0.014004058) * (2.3780978 - y)))) - 0.74414647) - -0.18321688"
30,0.058324214,"(((2.5412202 - y) * 0.005993566) * (exp((((omega + alpha) * 0.33133462) - -1.9861845) + x) * (omega - ((m - -1.9861845) / -0.79116565)))) - (0.55077356 - (omega * 0.010226728))"
32,0.056441166,"((exp((((alpha + omega) * 0.4115108) - -1.9500283) + x) * ((3.1761563 - y) * ((omega - ((m + ((y * -0.33198062) - -1.5871178)) / -0.6475614)) * 0.005092491))) - 0.67279524) * 0.7848452"
33,0.051877994,"(((((omega - ((m - ((y - sin(y)) + -2.1903496)) / -0.9753624)) * 0.008413506) * exp((((alpha + omega) * 0.37018394) + x) - -1.9151162)) * (2.6588888 - y)) - 0.7237928) * 0.7237928"
34,0.0515953,"((((omega - ((y - sin(y)) + ((m - log(0.13710251)) / -0.9753624))) * 0.008413506) * (exp(x + (((alpha + omega) * 0.37018394) - -1.9151162)) * (2.6588888 - y))) - 0.7237928) * 0.74044466"
35,0.04874694,"((((omega - ((y - sin(1.3442785 * y)) + ((m - -2.1903496) / -0.9753624))) * 0.008413506) * (exp(x + (((alpha + omega) * 0.37018394) - -1.9151162)) * (2.6588888 - y))) - 0.7237928) * 0.74044466"
37,0.039814394,"((((exp((((alpha + omega) * 0.3448075) - -1.0472699) + x) * (((2.3645368 - y) + omega) * 0.5010646)) * 0.026121551) * (((1.4213133 - (y - sin(y))) + -0.23229697) * (m - -2.4070156))) - 0.56054693) * 0.935862"
