Complexity,Loss,Equation
1,0.7950445,"d2"
2,0.665199,"sin(d2)"
3,0.49426317,"d2 - n"
4,0.36761087,"sin(d2) - n"
5,0.21557777,"(d2 - n) * 0.6266547"
7,0.18897243,"(d2 + (d1 - n)) * 0.51272917"
8,0.14494425,"(sin(d1) + (d2 - n)) * 0.5788911"
9,0.121059686,"((d2 - n) * 0.6266547) - (d1 / -3.2165036)"
11,0.08839581,"((d2 - n) - (d1 / (-2.369954 - n))) * 0.6266547"
13,0.07209287,"((-2.0430098 - (d2 - n)) * ((d1 + 4.058803) * -0.15378554)) + -1.2579501"
15,0.07209286,"((((d1 + 4.058803) * (-2.0430098 - (d2 - n))) * -0.15378554) + -0.44191095) - 0.81603914"
17,0.022759186,"-1.2840185 - ((((d2 - n) * (3.5454245 - n)) + 6.409952) * ((d1 + 4.243821) * -0.040938824))"
19,0.021589948,"((n - ((5.573583 + ((3.8001854 - n) * (d2 - n))) * (d1 + 3.3229308))) * -0.047246803) - 1.0100397"
21,0.018362682,"((((d2 - n) * (3.162655 - n)) + 5.0590587) * ((d1 + 3.9696856) * ((d2 * -0.0037395824) - -0.05128831))) - 1.186633"
22,0.016120799,"(((exp(-1.0802838) * d2) - (d1 + 3.7885797)) * ((((3.3806407 - n) * (d2 - n)) + 5.0258427) * -0.052420475)) - 1.1276139"
24,0.016077578,"(((((exp(-1.0802838) * d2) - (d1 + 3.7885797)) * (((3.3806407 - n) * (d2 - n)) + 5.0258427)) * -0.052420475) - 1.1276139) + -0.014653179"
25,0.0147501305,"(((((d2 + 0.5754308) - n) * d2) - ((d1 + 3.6120114) * (((d2 - n) * (3.3794374 - n)) + 5.0372643))) * -0.0526605) - 1.1051879"
27,0.014076526,"((((d2 + (0.5754308 - (n - d1))) * d2) - ((d1 + 3.6120114) * (((d2 - n) * (3.3794374 - n)) + 5.0372643))) * -0.0526605) - 1.1051879"
28,0.011034423,"((exp(d1) + (((d2 - n) * d2) - (((((d2 - n) * (2.8010042 - n)) * 0.5435207) + 3.7978933) * (d1 + 3.9113538)))) * -0.10544239) - 1.515826"
29,0.0101518715,"(((exp(d1) - ((n - sin(d2)) * d2)) - (((((d2 - n) * (2.8010042 - n)) * 0.5435207) + 3.7978933) * (d1 + 3.9113538))) * -0.10544239) - 1.5450749"
33,0.010069983,"((((exp(d1) - ((n - sin(d2)) * d2)) - ((((2.8010042 - n) * (0.5435207 * (d2 - n))) + 3.7978933) * (d1 + 3.9113538))) * -0.10544239) - (1.515826 + 0.02924897)) * 0.9879649"
36,0.010041538,"(((((((d2 - (n * 1.3288081)) - 1.2785667) * d2) - ((d1 + 3.7884874) * (((2.642741 - n) * (((d2 - n) + 0.71509796) * 0.8134521)) + 3.9125082))) + exp(d1)) * -0.06348582) - 1.538865) + 0.21639918"
40,0.009740769,"((((((((d2 - n) * 1.3288081) - 1.2785667) * d2) - ((d1 + 3.7884874) * (((2.642741 - n) * (((d2 - n) + 0.71509796) * 0.8134521)) + 3.9125082))) + ((n * -0.07915873) + exp(d1))) * -0.06348582) - 1.538865) + 0.21639918"
