Complexity,Loss,Equation
1,0.15455128,"omega"
3,0.1485799,"omega / 1.0842016"
7,0.11321047,"(sin(exp(theta)) * 0.310898) + omega"
8,0.09899511,"(omega - sin(theta * theta)) + 0.53465676"
9,0.061450858,"(omega - (sin(theta) * sin(theta))) + 0.53465676"
10,0.058511622,"omega + (log((theta * theta) + 0.28904042) * -0.40254244)"
11,0.058224075,"(((sin(theta) * sin(theta)) * -0.8422976) + omega) + 0.45673198"
12,0.05279959,"(log((theta * theta) + 0.28904042) * -0.40254244) + (0.90556836 * omega)"
13,0.052235544,"((-0.6444657 * log(0.41623044 + (theta * sin(theta)))) + omega) * 0.9255353"
14,0.044396117,"(0.14272405 * (log((theta * theta) + 0.36160728) * (-3.0199258 - omega))) + omega"
15,0.04397187,"omega + (log((theta * sin(theta)) + 0.4252231) * (-0.6061393 + (omega * -0.2195002)))"
16,0.030692851,"omega + (log((theta * theta) + 0.28904042) * ((-0.12113971 * (omega - c)) + -0.40254244))"
17,0.028054493,"omega + ((((omega - c) * -0.2195002) + -0.6061393) * log((theta * sin(theta)) + 0.4252231))"
18,0.024498675,"(log((theta * theta) + 0.28904042) * (((omega - c) * -0.12113971) + -0.40254244)) + (omega * 0.90556836)"
19,0.019772865,"omega + (log((theta * sin(theta)) + 0.4252231) * ((((omega + v) - c) * -0.2195002) + -0.6061393))"
20,0.01510973,"((log((theta * theta) + 0.31765014) * ((v + (omega - c)) + 2.6690652)) * -0.14513215) + (omega * 0.92139864)"
21,0.014123258,"(((((v + (omega - c)) * -0.20742156) + -0.6444657) * log((theta * sin(theta)) + 0.41623044)) + omega) * 0.9255353"
22,0.0122422725,"(log(((theta + -0.19194478) * theta) + 0.31765014) * ((((v + omega) - c) + 2.6690652) * -0.14513215)) + (omega * 0.92139864)"
23,0.012092953,"(log(((theta + -0.19194478) * theta) + sin(0.31765014)) * ((((v + omega) - c) + 2.6690652) * -0.14513215)) + (0.92139864 * omega)"
25,0.011346766,"((((((omega + v) - c) * -0.17928845) + -0.53702646) * log((theta * sin(theta + -0.19756526)) + 0.4359325)) + (omega * 0.8686265)) * 1.0730371"
30,0.010601945,"(omega + (log((((theta + -0.13746998) * theta) / 0.82998973) + 0.22721519) * ((-0.065082885 * (v + ((-1.9481126 - omega) * c))) + (0.13232268 * (-2.7984405 - omega))))) * 0.93670857"
32,0.009013356,"(0.9144849 * omega) + ((((-2.7984405 - omega) * 0.13232268) + (-0.065082885 * (v + ((-1.9481126 - (v + omega)) * c)))) * log(((theta * (theta + -0.13746998)) / 0.82998973) + 0.22721519))"
34,0.008242975,"0.9144849 * ((((((v + v) + ((-2.7984405 - (omega + v)) * c)) * -0.065082885) + (0.13232268 * (-2.7984405 - omega))) * log(0.22721519 + (theta * ((theta + -0.2229352) / 0.82998973)))) + omega)"
36,0.007330705,"(log((((theta / 0.82998973) + -0.2229352) * theta) + 0.22721519) * (((-0.065082885 * (v + (v + ((-2.7984405 - (v + omega)) * c)))) / 1.3131347) + (0.13232268 * (-2.7984405 - omega)))) + (omega * 0.9144849)"
37,0.0070548146,"(((((-2.7984405 - omega) * 0.13232268) + (((v + sin(v)) + (((-2.7984405 - (v + omega)) / 1.29571) * c)) * -0.065082885)) * log((((-0.13746998 + theta) * theta) / 0.82998973) + 0.22721519)) + omega) * 0.9144849"
38,0.006803874,"(log((((theta / 0.82998973) + -0.2229352) * theta) + 0.22721519) * ((-0.065082885 * (((v + ((-2.7984405 - (v + omega)) * c)) + v) / 1.29571)) + (0.13232268 * (-2.7984405 - (omega + -0.12860431))))) + (0.9144849 * omega)"
40,0.0060576797,"((log((((theta / 0.82998973) + -0.2229352) * theta) + 0.22721519) * (((v + ((v + (c * (-2.7984405 - ((v - (c * 0.30707493)) + omega)))) / 1.29571)) * -0.065082885) + ((-2.7984405 - omega) * 0.13232268))) + omega) * 0.9144849"
