Complexity,Loss,Equation
1,0.63288397,"Ef"
2,0.5469916,"sin(Ef)"
3,0.27064744,"q2 + Ef"
4,0.18365273,"sin(q2) + Ef"
5,0.06888944,"(Ef + q2) * 0.68241566"
7,0.068886496,"(q2 * 0.6816409) + (Ef / 1.463294)"
9,0.045397647,"(Ef + q2) * ((Ef * 0.07451236) + 0.68882775)"
10,0.014499116,"sin(Ef) + (q2 * ((Ef * 0.26230857) + 0.68162984))"
11,1.3229506e-9,"((q2 * ((0.68162984 / Ef) - -0.26230857)) + 0.68422145) * Ef"
13,3.2994377e-15,"(((Ef * 0.26230857) + 0.68162984) * q2) + ((-5.3138807e-5 - Ef) * -0.68422145)"
15,3.2315313e-15,"(q2 * 0.68162984) - (((Ef * q2) * -0.26230857) + ((Ef + 5.3156597e-5) * -0.68422145))"
17,3.2122818e-15,"(q2 * 0.68162984) - (((Ef + -0.02407455) * -0.68422145) + (((Ef * q2) * -0.26230857) + -0.0165087))"
