Complexity,Loss,Equation
1,0.21341853,"omega_0"
3,0.20203245,"0.8924031 * omega_0"
4,0.20203191,"omega_0 * exp(-0.113406114)"
5,0.112561196,"omega_0 + (c * -0.31685564)"
7,0.08853271,"((v - c) * 0.25050348) + omega_0"
8,0.08269611,"omega_0 + ((sin(v) - c) * 0.30935624)"
9,0.077477165,"((v - c) * 0.25329754) + (omega_0 * 0.8924031)"
10,0.06821813,"omega_0 + ((exp(v - c) * 0.09472571) - 0.24621254)"
11,0.04927749,"((exp(sin(v) - c) * 0.15472233) + omega_0) - 0.31846985"
12,0.040071797,"(omega_0 + -0.36113316) + (exp((v * 0.44405887) - c) * 0.2181363)"
13,0.038226724,"(exp(sin(v) - c) * 0.15472233) + ((omega_0 / 1.1046592) - 0.31846985)"
14,0.028665572,"((omega_0 + -0.4345906) + (0.24326193 * exp((v * 0.44405887) - c))) * 0.8967137"
15,0.017355634,"((exp(((omega_0 + v) * 0.41689393) - c) * 0.19484682) - 0.36348355) + sin(omega_0)"
16,0.0054799756,"(omega_0 * 0.75555956) + ((exp(((v + omega_0) * 0.37451723) - c) * 0.22441293) - 0.40726137)"
18,0.004947738,"(((exp((omega_0 * 0.34857804) - c) * ((v * 0.1254422) + 0.2972909)) + -0.49914348) + omega_0) * 0.7660904"
19,0.004864085,"(((exp(sin(omega_0 * 0.3831424) - c) * ((v * 0.13029374) + 0.29517284)) + omega_0) + -0.49914348) * 0.7647992"
21,0.0032047862,"((omega_0 * 0.7445078) + (exp(v / 2.277168) * (exp(1.0155135 - c) * ((omega_0 * 0.03097956) + 0.07983111)))) + -0.38629675"
23,0.002284346,"(((v + (exp(1.9232148 - c) * exp(v / 2.5792243))) * ((omega_0 * 0.012503333) + 0.032084607)) + -0.37232885) + (omega_0 * 0.74888074)"
25,0.0018295583,"((exp(v / 4.2758408) + -0.42884284) * ((exp(1.552311 - c) + c) * ((omega_0 * 0.038328048) + 0.09840711))) + (-0.4421704 + (omega_0 * 0.7274072))"
26,0.0015352021,"((omega_0 * 0.72000104) + -0.44047153) + ((exp(v / 4.7119956) + -0.4672094) * (((omega_0 * 0.061264418) + 0.15681499) * (sin(c) + exp(1.1741884 - c))))"
28,0.0011717497,"((sin(c + 0.34436265) + exp(1.0180726 - c)) * ((exp(v / 4.703977) + -0.44994974) * ((omega_0 * 0.066959456) + 0.18132213))) + ((omega_0 * 0.7179614) + -0.47727758)"
30,0.0010204788,"((omega_0 * 0.7044924) + (((omega_0 * 0.11501775) + 0.29739133) * ((sin(c - -0.5134089) + exp(0.86304307 - c)) * ((exp(v / 4.025196) + -0.34163216) / 1.6504596)))) + -0.50320816"
32,0.0005037873,"(((((omega_0 * 0.095884055) + 0.24535309) * (exp(0.75228506 - c) + sin((c - -0.48638526) / sqrt(exp(c))))) * (exp(v / 4.879146) + -0.4530844)) + (omega_0 * 0.7073536)) + -0.4898335"
33,0.00050155225,"(((sin(omega_0 * 0.09603159) + 0.24535309) * ((sin((c - -0.48638526) / sqrt(exp(c))) + exp(0.75228506 - c)) * (exp(v / 4.879146) + -0.4530844))) + (omega_0 * 0.7073536)) + -0.4898335"
34,0.00043641927,"(((omega_0 * 0.073807865) + 0.19207834) * (((exp(1.2207888 - c) / 1.3641088) + sin((c - -0.49316573) / sqrt(exp(c)))) * (exp(v / 4.3474474) + -0.42128032))) + ((0.70845526 * omega_0) + -0.47886136)"
36,0.00043521076,"((((omega_0 * 0.073807865) + 0.19207834) * ((sin((c - -0.49316573) / sqrt(exp(c))) + (exp(-0.0014945426 + (1.2207888 - c)) / 1.3641088)) * (exp(v / 4.3474474) + -0.42128032))) + (omega_0 * 0.70845526)) + -0.47886136"
38,0.00043104155,"(((sin((c - -0.49316573) / sqrt(exp(c))) + (exp((1.2207888 - c) + -0.0014945426) / 1.3641088)) * (exp(v / (-1.0980815 / -0.25175443)) + -0.42128032)) * ((omega_0 * 0.073807865) + 0.19207834)) + ((omega_0 * 0.70845526) + -0.47886136)"
