Complexity,Loss,Equation
1,0.9999999,"-8.950453e-6"
2,0.86404383,"sin(m)"
3,0.7720598,"m * 0.47758296"
5,0.60012877,"(m - A_vec) * 0.44683385"
7,0.43166897,"(A_vec + (q - m)) * -0.43466163"
9,0.264073,"(A_vec + (q + (rho_c_0 - m))) / -2.335941"
11,0.12839513,"((A_vec + (rho_c_0 + q)) - m) / (-2.8340526 - m)"
13,0.07418598,"(-0.5036886 / sqrt(exp((m - rho_c_0) - (q + A_vec)))) + 0.8232512"
15,0.057805613,"((q + 2.2654562) * (-0.2627774 / sqrt(exp((m - rho_c_0) - A_vec)))) + 0.86109096"
16,0.05144375,"(((rho_c_0 + 2.4645004) * -0.28382716) / sqrt(exp((m - sin(q)) - A_vec))) + 0.95791346"
17,0.035568025,"((((rho_c_0 + q) - -2.5976179) * (-2.586618 - A_vec)) * (0.34285238 / (m + 2.6048577))) + 1.0673475"
19,4.354872e-10,"(((-2.587578 - A_vec) * ((-0.13155527 / (m + 2.602176)) * (-2.5937798 - q))) * (rho_c_0 - -2.604052)) + 1.0671263"
21,4.3416193e-10,"((rho_c_0 - -2.604036) * (((((-2.587578 - A_vec) * (-2.5937798 - q)) * -0.13155533) / (m + 2.6021755)) - -1.1959872e-6)) + 1.0671263"
23,2.4871852e-10,"(((rho_c_0 - -2.604036) * (((-2.5937798 - q) * ((-2.587578 - A_vec) * -0.13155533)) / (m + 2.6021755))) + 1.0671263) - (rho_c_0 * -1.600261e-5)"
29,2.4339494e-10,"((-2.59378 - q) * (-0.13155654 * (((rho_c_0 - -2.6040363) / (2.602187 + m)) * (-2.5875783 - ((-1.579709e-5 * (rho_c_0 + (m * (A_vec + q)))) + A_vec))))) + 1.0671258"
30,2.3408103e-10,"(((-2.59378 - q) * -0.13155654) * (((rho_c_0 - -2.6040363) / (2.602187 + m)) * (-2.5875783 - ((-1.579709e-5 * (rho_c_0 + (m * (A_vec + sin(q))))) + A_vec)))) + 1.0671258"
31,1.7834718e-10,"((((-2.59378 - q) * (rho_c_0 - -2.6040363)) * -0.13155676) * (((1.933015e-5 * (((m * (A_vec - m)) + rho_c_0) + 1.7004201)) + (-2.5875783 - A_vec)) / (2.6021864 + m))) + 1.0671258"
33,1.6243216e-10,"1.0671257 + (((-2.59378 - q) * (((rho_c_0 - -2.6040363) * (-2.5875783 - (((rho_c_0 + ((m * ((q - m) + A_vec)) + 2.3999543)) * -1.5736307e-5) + A_vec))) / (m + 2.6021895))) * -0.13155709)"
34,1.5267852e-10,"(((-2.5875783 - (A_vec + ((((m * (A_vec + (sin(q) - m))) + rho_c_0) + 1.8684962) * -1.5803591e-5))) * (((-2.59378 - q) * (rho_c_0 - -2.6040363)) * -0.13155662)) / (m + 2.6021874)) + 1.0671258"
36,1.457491e-10,"(((((-2.59378 - q) / (m + 2.6021864)) * -0.13155676) * (-2.5875783 - (((((rho_c_0 + ((A_vec + (sin(q) - m)) * m)) + 1.4124628) + rho_c_0) * -1.5795242e-5) + A_vec))) * (rho_c_0 - -2.6040363)) + 1.0671258"
37,1.4194657e-10,"(((-2.59378 - q) * (-0.13155676 / (m + 2.6021864))) * ((-2.5875783 - ((-1.5795242e-5 * (((sin(q) + (A_vec - m)) * m) + (sin(rho_c_0) + (rho_c_0 + 1.4124628)))) + A_vec)) * (rho_c_0 - -2.6040363))) + 1.0671258"
38,1.3660087e-10,"1.0671258 + ((-0.13155676 * ((-2.59378 - q) / (2.6021864 + m))) * ((-2.5875783 - ((((rho_c_0 + sin(rho_c_0)) + ((((sin(q) - m) + A_vec) * m) + exp(0.5665508))) * -1.5795242e-5) + A_vec)) * (rho_c_0 - -2.6040363)))"
39,1.3406264e-10,"((((-2.59378 - q) * (-0.13155676 / (m + 2.6021864))) * (-2.5875783 - ((((sin(rho_c_0) + (rho_c_0 + 1.4124628)) + ((((-0.4071841 - m) + sin(q)) + A_vec) * m)) * -1.5795242e-5) + A_vec))) * (rho_c_0 - -2.6040363)) + 1.0671258"
