Complexity,Loss,Equation
1,1.0,"0.0"
2,0.93923116,"sin(q)"
3,0.7398404,"-0.5084714 * omega_0"
5,0.54186434,"(omega_0 + m) * -0.4783779"
7,0.371959,"((q - omega_0) - m) * 0.4588672"
9,0.20210685,"((Ef + (q - m)) - omega_0) * 0.44782183"
11,0.1975842,"((q + (Ef - m)) - (omega_0 / 0.84955144)) * 0.41587633"
13,0.13496634,"((Ef + (q - m)) - omega_0) * ((omega_0 * -0.119088836) + 0.44675708)"
15,0.11502888,"(((omega_0 + m) * -0.080278724) + 0.42804593) * (((Ef + q) - m) - omega_0)"
17,0.077230945,"(((q - omega_0) + (Ef - m)) * (((m + omega_0) * -0.11516785) + 0.44493055)) - 0.24875489"
19,0.07385535,"((Ef + (((q - m) + 0.6328749) - omega_0)) * (((m + omega_0) * -0.121271096) + 0.4220584)) + -0.5133395"
20,0.07039585,"(((((omega_0 - sin(q)) + m) * -0.09284635) + 0.43481842) * (((Ef + q) - m) - omega_0)) + -0.24222073"
21,0.06641767,"((((m + (omega_0 - omega)) * -0.100511394) + 0.4018213) * ((Ef + (q + (0.82732445 - m))) - omega_0)) + -0.52018464"
22,0.060067344,"((((m + (omega_0 - sin(omega))) * -0.100511394) + 0.4018213) * ((Ef + (q + (0.82732445 - m))) - omega_0)) + -0.52018464"
23,0.06005896,"(((((q + Ef) - omega_0) - -1.0025215) - m) * (((omega_0 - ((q + omega) - m)) * -0.07848406) + 0.40874073)) + -0.64801794"
24,0.059293088,"(((Ef + (0.82732445 - m)) + (q - omega_0)) * ((((m + sin(0.35692418 - omega)) + omega_0) * -0.100511394) + 0.41507125)) + -0.52018464"
25,0.05088014,"((((omega_0 - (((omega + q) * 0.46159065) - m)) * -0.10651116) + 0.38695693) * (((q - -1.2461232) - m) + (Ef - omega_0))) + -0.73299706"
27,0.04914769,"(((Ef - omega_0) + ((q - -1.2461232) - m)) * (((omega_0 - ((((omega + q) - m) - m) * 0.46159065)) * -0.10651116) + 0.38695693)) + -0.73299706"
29,0.042698123,"((q + (((Ef + 1.3823119) - m) - omega_0)) * (((((0.27635002 - m) - (((omega + q) + Ef) * -0.483069)) - omega_0) * 0.09229189) + 0.3029573)) - 0.71399945"
31,0.04157951,"(((Ef - omega_0) + ((q - m) + 0.99826807)) * ((((omega_0 - (q - m)) - (exp(0.7455079 - omega_0) * (exp(omega) * 0.14118403))) * -0.06787222) + 0.3439322)) - 0.61371803"
33,0.0284118,"((q + (((Ef + 1.3823119) - m) - omega_0)) * (((((0.27635002 - m) - (((omega + q) + Ef) * ((1.0233165 - omega_0) * -0.34946454))) - omega_0) * 0.09229189) + 0.3029573)) - 0.71399945"
36,0.026144909,"(((((q - m) + Ef) + 0.897301) - omega_0) * (((omega_0 - ((0.32430163 - m) - ((((omega + Ef) + q) * exp(0.7134286 - (omega_0 * 0.79437906))) * -0.16376281))) * -0.0894861) + 0.32430163)) - 0.566222"
