Complexity,Loss,Equation
1,0.9999999,"2.6408943e-5"
3,0.9984948,"r * 0.039085075"
5,0.9199924,"sin(exp(theta)) * r"
6,0.87159884,"sin(r) * sin(exp(theta))"
7,0.81040645,"r * (sin(exp(theta)) - 0.34926042)"
8,0.6952566,"r * sin((theta + 0.85405636) * 1.6828325)"
10,0.58802086,"(r - d) * (sin(theta + 1.4140985) - 0.520294)"
11,0.56329876,"(r - sin(d)) * sin((theta + 0.8660558) * 1.6525537)"
12,0.5446058,"sin((theta + -0.99001056) * 1.7160326) * ((r - d) * -0.6917153)"
13,0.5351834,"sin((theta + -1.0186728) * 1.6937987) * ((sin(d) - r) * 0.7919672)"
14,0.3676875,"(((theta * theta) - 1.0570842) * -0.22864151) * (2.514282 - exp(d - r))"
15,0.3157588,"sin((theta * 1.742665) + -1.7000443) * ((2.601931 - exp(d - r)) * -0.3064085)"
16,0.29853693,"sin((1.742665 * theta) + -1.7000443) * ((2.1113021 - exp(sin(d) - r)) * -0.4525885)"
17,0.2808097,"(sin((theta * 1.742665) + -1.7000443) * -0.31249914) * ((2.5530758 - exp(d - r)) - alpha)"
18,0.25973874,"((2.7093065 - exp((d - r) - (alpha * -0.26189494))) * -0.23859058) * ((theta * theta) - 1.0741966)"
19,0.19503821,"sin((theta * 1.7780712) + -1.7218854) * ((2.8265243 - exp(d - (r + (alpha * -0.34338143)))) * -0.28920797)"
20,0.17896792,"(sin((theta * 1.7312657) + -1.7015579) * (2.215869 - exp(sin(d) - (r - (alpha * 0.2921488))))) * -0.4500395"
21,0.1148527,"(-0.7773786 - (exp(d - (r + ((alpha + Ef) * -0.30124596))) * -0.29267174)) * sin((theta * 1.7213113) + -1.7283541)"
22,0.113680236,"(-0.29267174 * sin((theta * 1.7213113) + -1.7283541)) * (exp(1.0877973) - exp(d - (r + (-0.30124596 * (alpha + Ef)))))"
23,0.075975575,"(sin((-0.821792 - theta) * 1.7703758) * (-2.6380448 - Ef)) * ((2.7222388 - exp(d - ((alpha / -2.9128103) + r))) * 0.112299785)"
24,0.06038323,"((Ef * -0.17846635) + -0.4448668) * (sin((theta * 1.6971209) + -1.7000443) * (2.2929087 - exp(sin(d) - (r - (alpha * 0.30859092)))))"
25,0.046853986,"(sin((theta * 1.6971209) + -1.7000443) * ((Ef * -0.17846635) + -0.4448668)) * (2.2352762 - exp(d - (r - ((alpha - d) * 0.30859092))))"
27,0.045417443,"(sin((theta * 1.7165146) + -1.7000443) * ((Ef * -0.17846635) + -0.4448668)) * (2.5262675 - (exp(d - (r - ((alpha - d) * 0.30859092))) + 0.39516076))"
31,0.045284655,"(sin((theta * 1.7165146) + -1.7000443) * ((Ef * -0.17846635) + -0.4448668)) * (2.260882 - (((alpha - alpha) - -0.09002076) + exp(d - (r - ((alpha - d) * 0.30859092)))))"
35,0.04528415,"(sin((theta * 1.7165146) + -1.7000443) * ((Ef * -0.17846635) + -0.4448668)) * (exp(0.815755) - (((alpha - alpha) - (-0.089308865 / sin(1.1363597))) + exp(d - (r - ((alpha - d) * 0.30859092)))))"
37,0.03575905,"((((-2.3708494 - Ef) * 0.27706036) - (sin(r) + (r * -0.7075759))) * (1.0928458 - (exp((d - (r - -0.95145094)) - (alpha / -2.8073916)) - (r - sin(r))))) * sin((theta * 1.7162657) + -1.7039374)"
39,0.03511066,"((1.0928458 - (exp((d - (r - -0.95145094)) - (alpha / -2.8073916)) - (r - sin(r)))) * sin((theta * 1.7162657) + -1.7039374)) * (((-2.3708494 - Ef) * 0.27706036) - ((sin(r) + (r * -0.7075759)) / 1.1788311))"
