Complexity,Loss,Equation
1,0.6356821,"n"
2,0.54929024,"sin(n)"
3,0.26842353,"n + h"
4,0.1835775,"n + sin(h)"
5,0.06879863,"(h + n) * 0.6835353"
7,0.06879671,"(h * 0.6825524) - (n * -0.6844709)"
8,0.046380334,"(n + h) / log(4.7704663 - n)"
9,0.01439125,"(h + (sqrt(exp(h)) * n)) / 1.617559"
10,0.0019951428,"((log(h + 2.9275143) * n) + h) / 1.4702297"
11,8.150849e-7,"(((0.2627482 * n) - -0.68074673) * h) - (n * -0.6844703)"
13,3.528188e-15,"((-0.0013262209 - h) * (-0.68074673 - (n * 0.2627493))) - (n * -0.68412244)"
17,3.3828018e-15,"(h * 0.68074673) + (((((n * h) * 0.2627493) + 0.00090282335) - (n * 0.31552908)) + n)"
19,3.2233663e-15,"(((((h * n) * 0.38597217) + ((n / 5.8444357) - -0.0013262248)) + h) * 0.68074673) - (n * -0.56799316)"
21,3.1014385e-15,"(h + ((h * -0.31925327) + (((n / 9.2553625) + 0.0009028231) + (n * (h * 0.2627493))))) - (n * -0.57642543)"
27,2.9639612e-15,"(h + ((h * -0.31925327) + (((h * 0.16962837) * n) + ((((h * n) * 0.09312093) + 0.0009028238) - (n / -6.5234766))))) - (n * -0.5311784)"
