Complexity,Loss,Equation
1,0.8613498,"d"
2,0.7144859,"sin(d)"
3,0.675869,"d / 1.7558897"
5,0.5501189,"(d - h) / 2.1090589"
6,0.54404783,"0.54426515 * (d - sin(h))"
7,0.4580227,"(d + (E_n - h)) * 0.42511776"
8,0.44646108,"((d + sin(E_n)) - h) * 0.46610186"
9,0.36049026,"(((k - h) + d) + E_n) / 2.4976573"
10,0.29493684,"exp((d + (E_n - h)) * 0.3838526) + -1.2449025"
11,0.2182251,"(E_n + (k + (d - h))) / (2.9140818 - d)"
12,0.11259986,"exp(((d + (E_n + k)) - h) * 0.35261357) + -1.2770483"
13,0.110883415,"(((E_n + k) + 4.2898483) / ((h + 3.9635172) - d)) - 1.2962608"
14,0.08868679,"(exp((((E_n + k) - h) * 0.46213552) + d) * 0.29702002) + -0.6473464"
15,0.067549154,"-1.0264647 + ((((E_n + k) + 2.8985176) * sqrt(exp(d - h))) * 0.2779419)"
16,0.05536796,"((d + 1.540092) * (exp((k + (E_n - h)) * 0.40851608) * 0.44624126)) + -0.87737507"
17,0.04001626,"((E_n + 2.884387) * ((k + 2.884387) * sqrt(exp(d - h) * 0.009108002))) + -1.0059488"
19,0.022469433,"(((k + 2.6322525) * (sqrt(exp((d * 1.3595498) - h)) * 0.09023816)) * (E_n + 2.5630567)) + -0.8583027"
21,0.022343285,"((k + 2.6528306) * (((E_n + 2.5572622) * 0.09844572) * sqrt(exp(((d * 1.311751) + -0.11525467) - h)))) + -0.87151957"
22,0.019642597,"(((((exp(h * -0.52424866) * (E_n - h)) * 0.07721075) - -0.17925653) * (k + 2.5606737)) * (d + 1.4674202)) + -0.8381543"
24,0.0148951495,"(((2.822857 + k) * ((((E_n - h) * 0.042607013) * sqrt(exp(sin(d) - h))) - -0.15784018)) * (d + 1.8991499)) + -0.9893464"
25,0.012453395,"((((((E_n - h) * 0.05304806) * sqrt(exp((d * 0.49374962) - h))) - -0.16539668) * (d + 1.6841578)) * (k + 2.7429688)) + -0.9185458"
26,0.0044887303,"(((d + 3.5276334) * (d + 2.0487072)) * ((k + 2.5955) * ((exp(h * -0.49576086) * ((E_n - h) * 0.013897235)) + 0.0314296))) + -0.83659285"
28,0.0004525701,"((k + 2.6147418) * (((((exp(h * -1.064779) * 0.0045553446) - -0.007119295) * (E_n - h)) + 0.03177191) * ((d + 2.1010692) * (d + 3.5727158)))) + -0.8575731"
30,0.00031036118,"((((k + 2.6096253) * (d + 2.1316764)) * 0.30366838) * ((d + 3.2841663) * ((((exp(h * -1.0689543) * 0.015500547) - -0.024982514) * (E_n - h)) + 0.10999745))) + -0.8421803"
33,0.00031036104,"(((k + 2.6096253) * ((((E_n - h) * ((exp(-1.0689543 * h) * 0.015500547) - -0.024982514)) + 0.10999745) * ((0.05701052 + (d + 2.074666)) * (d + 3.2841663)))) * 0.30366838) + sin(-1.0013142)"
34,0.00030652198,"((((k + 2.5941248) + ((d * (k + 2.6096253)) * 0.30366838)) * ((d + 2.127332) * ((((exp(h * -1.0689543) * 0.015500547) - -0.024982514) * (E_n - h)) + 0.10999745))) + -0.83958006) * 1.0037004"
36,0.00030619325,"((((k + (((k + 2.6096253) * (0.30366838 * d)) + 2.5941248)) * ((d + 2.127332) * ((((exp(h * -1.0689543) * 0.015500547) - -0.024982514) * (E_n - h)) + 0.10999745))) + -0.83958006) * 1.0037004) - -0.00043112892"
38,0.0002877653,"((((((exp(h * -1.0652529) * 0.015755622) - -0.024801845) * (E_n - h)) + 0.1099518) * ((k + 2.5923867) + ((k + 2.6159246) * (d * 0.35715076)))) * (((d + (d - -0.028909681)) * 0.44125614) + 2.1176896)) + -0.8436396"
