Complexity,Loss,Equation
1,0.9999999,"0.0"
3,0.24940394,"theta * -0.8663584"
5,0.16808559,"theta / (-2.1431558 - sigma)"
6,0.08305122,"theta / (-0.4002787 - exp(sigma))"
7,0.07723227,"(theta / -1.3113209) / sqrt(exp(sigma))"
8,0.075496234,"theta / (-0.26406485 - exp(sigma * 0.65785205))"
9,0.0739573,"(-0.056728538 - theta) / sqrt(exp(sigma + 0.5382315))"
10,0.053840604,"sin((sigma * 0.20228499) - theta) / sqrt(exp(sigma))"
11,0.051778626,"sin((sigma * 0.20678455) - theta) / exp(sigma / 1.8432636)"
12,0.045217253,"sin(((sigma * sigma) * -0.15658823) - theta) / sqrt(exp(sigma))"
13,0.03538231,"((-3.170813 - theta) / (sqrt(exp(sigma)) + 0.19836807)) - (sigma + -2.8095381)"
14,0.026114792,"(exp(sigma * -0.4924482) * (1.6282139 - ((theta - sigma) * 0.77201605))) + -1.4220866"
15,0.020829508,"((exp(-0.38565484 - sigma) * sin(0.90781444 - (theta - sigma))) - theta) * 0.54355276"
17,0.004476779,"(((0.7237244 - sin((theta - sigma) * 0.47612298)) * exp(sigma * -0.60554844)) * 1.8343879) - 1.0954862"
19,0.000700148,"(((0.62074894 - sin((theta - sigma) * 0.55335647)) * exp(sigma * -0.8819411)) - (theta * 0.27312335)) - 0.41807878"
21,0.0006501442,"((((0.6235954 - sin((theta - sigma) * 0.54527617)) * exp(sigma * -0.8579102)) * 1.055972) - (theta * 0.2538596)) + -0.45214832"
23,0.0006484853,"(((exp(sigma * -0.84762675) * 1.0744717) * (0.6292264 - sin((theta - sigma) * 0.5436056))) - ((theta * 0.24942298) + 0.028138638)) - 0.43975845"
24,0.0005859342,"(sin(theta) * 0.08863483) + (((exp(sigma * -0.8837654) * (0.6183286 - sin((theta - sigma) * 0.5543971))) - 0.41412526) - (theta * 0.33945727))"
26,0.00051658787,"((exp(sigma * -0.8769626) * (0.63628906 - sin(0.5703865 * (theta - sigma)))) - (((exp(theta - sigma) * 0.0040881727) + 0.2562934) * theta)) - 0.42325094"
28,0.00038288717,"((exp(sigma * -0.8769626) * (0.63628906 - sin((theta - sigma) * 0.5703865))) - (((exp(theta - sigma) * (theta * 0.0032428526)) + 0.25718558) * theta)) - 0.42325094"
29,0.00038288714,"(((0.63628906 - sin((theta - sigma) * 0.5703865)) * exp(sigma * -0.8769626)) - (theta * (((theta / exp(sigma)) * (0.0032428526 * exp(theta))) + 0.25718558))) - 0.42325094"
30,0.0003206212,"0.9373788 * (((exp(sigma * -0.9044499) * (0.6401356 - sin(0.5887077 * (theta - sigma)))) - ((((0.0055575133 * theta) * exp(theta - sigma)) + 0.2867695) * theta)) - 0.41200298)"
32,0.00027677373,"(((0.64757913 - sin((theta - sigma) * 0.5982477)) * exp(-0.07092963 - (sigma * 0.90299773))) - (theta * (((theta * 0.0037749056) * exp(theta - (sigma / 0.7264224))) + 0.27052155))) - 0.39035383"
33,0.00027651916,"(((0.64757913 - sin((theta - sigma) * 0.5982477)) * exp(-0.07092963 - (sigma * 0.90299773))) - (theta * ((theta * sin(exp(theta - (sigma / 0.7264224)) * 0.0037749147)) + 0.27052155))) - 0.39035383"
34,0.0002689504,"(((exp(sigma * -0.8990288) * (0.6533321 - sin((theta - sigma) * 0.599982))) - (theta * (((theta * (exp(theta - (sigma / 0.7540263)) - 1.2288293)) * 0.004710172) + 0.28408435))) - 0.43159455) * 0.9361403"
35,0.00026074905,"((((0.6503154 - sin((theta - sigma) * 0.6028093)) * exp((-0.023185303 - sigma) * 0.9083832)) - (theta * (((theta * 0.0028069934) * exp((theta - sigma) - sin(sigma))) + 0.29671997))) - 0.41317806) * 0.93628883"
36,0.00025798794,"0.9361403 * (((exp(sigma * -0.8990288) * (0.6533321 - sin((theta - sigma) * 0.599982))) - (((((theta * exp(theta - (sigma / 0.7540263))) - (theta - sigma)) * 0.004710172) + 0.28408435) * theta)) - 0.43159455)"
37,0.0002572392,"(((exp(-0.023185303 - (sigma * 0.9083832)) * (0.6503154 - sin((theta - sigma) * 0.6028093))) - (((((exp((theta - sigma) - sin(sigma)) - 0.71276426) * theta) * 0.0028069934) + 0.29671997) * theta)) - 0.41317806) * 0.93628883"
38,0.00023082051,"((((0.6533321 - sin((theta - sigma) * 0.599982)) * exp(sigma * -0.8990288)) - (theta * (((exp(theta - (sigma / 0.7540263)) - exp(sin(sigma * 2.3084817))) * (theta * 0.004710172)) + 0.28408435))) - 0.43159455) * 0.9361403"
40,0.0002177405,"(((exp(sigma * -0.8990288) * (0.6533321 - sin((theta - sigma) * 0.599982))) - (theta * (((exp(theta - (sigma / 0.7540263)) - exp(sin(sigma * (1.0984008 - theta)))) * (theta * 0.004710172)) + 0.28408435))) - 0.43159455) * 0.9361403"
