Complexity,Loss,Equation
1,0.7903895,"x"
2,0.6232863,"sin(x)"
3,0.12442988,"x - y"
5,0.09653415,"x - (y * 0.83315086)"
7,0.09468218,"(x - (y / 1.1847107)) * 0.94311017"
8,0.078642376,"sin(x - (y / 1.3365666)) * 1.4523551"
10,0.059080537,"(((sin(x) + x) * 0.73356867) - y) / 1.2486931"
11,0.0361116,"(x + (sin(y) * sin(x + 0.69961226))) - y"
13,0.03248831,"(x + ((sin(y) * sin(x + 0.6555165)) - y)) - 0.06493592"
14,0.03152264,"((sin(exp(-0.9507479 - x) + x) * sin(y)) + x) - y"
15,0.022681605,"((x + (sin(-0.63141686 - x) * (-0.20869672 - sin(y)))) - y) - 0.12504585"
17,0.015308389,"((((sin(-0.6410213 - x) * (-0.44493222 - sin(y))) + -0.18600345) + x) * 0.88591206) - y"
19,0.011741091,"(((x - -0.6686621) * (sin(y) + -0.9474785)) * 0.4911509) + ((sin(x + 0.5696716) + x) - y)"
20,0.009986217,"(x + sin(x + 0.5505926)) + (((sin(x * 0.51995546) + 0.32526296) * (sin(y) + -0.99592924)) - y)"
22,0.0077260504,"sin((x * 0.77281755) + 1.254752) + (((x + -0.75690913) - (sin((x * -0.59302163) + -0.39496908) * sin(y))) - y)"
24,0.007400398,"(((x - (sin(((y * -0.27808884) + (x + 0.66131467)) * -0.7691624) * sin(y))) + -0.5245926) + sin(x + 1.2581211)) - y"
26,0.005303978,"(((sin((0.85811126 * x) + 1.2820783) + -0.6443157) - y) + x) - (sin(-0.6711581 * (x + (0.6887075 + (y * -0.2237539)))) * sin(y))"
28,0.005147527,"x + (((sin((x * 0.8547476) + 1.2852046) - y) + -0.6460419) - ((sin(y) * sin((x + ((y * -0.2237539) + 0.6724293)) * -0.6711581)) * 1.0514426))"
29,0.004538825,"x + ((-0.627404 - y) + (sin((x * 0.87221634) + 1.2558013) - ((((y + (x * x)) * 0.14952071) + ((x + 0.7647089) * -0.6429711)) * sin(y))))"
30,0.004532455,"sin((x * 0.87221634) + 1.2558013) + ((x + (-0.627404 - y)) - (((0.14952071 * (y + (x * x))) + ((x + log(2.136523)) * -0.6429711)) * sin(y)))"
31,0.004312416,"(-0.627404 - y) + (x + (sin((x * 0.87221634) + 1.2558013) - (sin(y / 1.050211) * (((y + (x * x)) * 0.14952071) + ((x + 0.75303566) * -0.65429807)))))"
33,0.0027673563,"((sin((x * ((x * -0.12825073) + 1.0635538)) + 1.3516704) + x) + (-0.5207582 - y)) - (((((x * x) + y) * 0.21269736) + ((x + 0.76551545) * -0.70559233)) * sin(y))"
35,0.0023480796,"((x + (sin((x * ((x * -0.21871449) + 1.1802663)) + 1.4421809) - (((-0.87775624 * (x + 0.7719907)) + ((y + (x * x)) * 0.3118342)) * sin(y / 1.2740836)))) + -0.46091446) - y"
37,0.0015744496,"(((sin((x * ((x * -0.2217225) + 1.171127)) + 1.4570419) + -0.47081682) + x) - y) - (sin(y / 1.1850796) * ((((x + y) + (x * x)) * 0.2920175) + ((x + 0.5908361) * -1.103871)))"
39,0.0015608738,"((sin((x * (1.171127 + (x * -0.2217225))) + 1.4570419) + (-0.47081682 + x)) - y) - (sin(y / 1.1850796) * ((((x + y) + (x * (x - 0.023684384))) * 0.2920175) + ((x + 0.5908361) * -1.103871)))"
