Complexity,Loss,Equation
1,1.0,"0.0"
2,0.8393225,"sin(q)"
3,0.6805111,"m * -0.5652741"
4,0.6741026,"sin(q - m)"
5,0.45051283,"(m - q) * -0.5238553"
7,0.21728598,"((h + q) - m) * 0.5110101"
9,0.087309584,"((h + q) - m) / (m - -2.6233356)"
10,0.060370345,"exp(((q + h) - m) * 0.41064748) + -1.2820944"
11,0.0430525,"(((q + h) + 2.577136) / (m - -2.546245)) + -1.234006"
12,0.039041523,"exp((((h + q) * 0.71515733) - m) * 0.5103946) + -1.2943991"
14,0.008976655,"((exp(q * 0.36290762) * (h - -2.6926541)) / (m - -2.6231122)) + -1.3138466"
15,4.0806607e-9,"((q + 2.6009963) * ((h - -2.6164074) / ((m - -2.5884843) * 2.5099015))) + -1.2653234"
17,1.1153767e-9,"(((h - -2.6167183) * ((q + 2.6013787) / ((m + 2.58845) * 2.508992))) + -1.2661535) / 1.0005912"
21,6.617956e-10,"(((q + 2.601397) * ((h - -2.6167321) / ((m + 2.5885053) * 2.5089877))) + -1.2661444) / ((m * 3.5636334e-5) + 1.0005776)"
23,6.380853e-10,"(-1.2661444 + ((q + 2.601397) * ((h - -2.6167321) / ((2.5885053 + m) * 2.5089877)))) / ((2.051248e-5 * (m - q)) + 1.0005776)"
24,6.002767e-10,"(-1.2661444 + ((q + 2.601397) * ((h - -2.6167321) / ((2.5885053 + m) * 2.5089877)))) / (((sin(q) - m) * -2.1521279e-5) + 1.0005776)"
26,4.0531273e-10,"((((q + 2.6014) * ((h - -2.6167212) / ((m + 2.5884676) * 2.5089908))) + -1.2661495) / 1.00059) - ((exp(h - m) * -6.5949844e-6) * q)"
27,3.836706e-10,"(((((2.601399 + q) * (h - -2.6167204)) / ((2.5884693 + m) * 2.5089927)) + -1.2661505) / 1.0005918) - ((q * exp(sin(h) - m)) * -1.0892942e-5)"
28,2.7719532e-10,"(((((h - -2.6167183) * (q + 2.601397)) / ((2.5884595 + m) * 2.508992)) + -1.2661533) / 1.0005931) - (((exp(h - m) * q) + m) * -6.834211e-6)"
29,2.4126973e-10,"((((q + 2.601397) * ((h - -2.6167183) / ((m + 2.5884614) * 2.5089936))) + -1.2661535) / 1.0005933) - ((exp(m) + (exp(h - m) * q)) * -6.830076e-6)"
30,1.4643718e-10,"((((q + 2.6014004) * ((h - -2.6167216) / ((2.5884626 + m) * 2.5089898))) + -1.2661502) / 1.0005867) - (((q / exp(m)) - 1.4979613) * ((h - m) * -8.222751e-6))"
32,1.04056916e-10,"((-1.2661535 + (((q + 2.601397) * (h - -2.6167183)) / (2.508992 * (2.58845 + m)))) / 1.0005912) - ((h + (((q / exp(m)) - 2.3955061) * (h - m))) * -8.363148e-6)"
33,8.5229546e-11,"(((((q + 2.601397) * (h - -2.6167183)) / ((2.58845 + m) * 2.508992)) + -1.2661535) / 1.0005912) - (((exp(sin(h) - m) * q) - (h - (2.376287 * m))) * -8.477106e-6)"
34,5.6907035e-11,"(((((q + 2.601397) * (h - -2.6167183)) / ((m + 2.58845) * 2.508992)) + -1.2661535) / 1.0005912) - (((((h + 1.1398377) * q) / exp(m)) - (h - (m * 2.3955061))) * -8.363148e-6)"
36,5.5449697e-11,"(((((h - -2.6167183) * (q + 2.601397)) / ((m + 2.58845) * 2.508992)) + -1.2661535) / 1.0005912) - (((((q * (h + 1.1349422)) / exp(m)) + (-0.1400244 - h)) - (m * -2.3578196)) * -8.337966e-6)"
37,5.2416762e-11,"(((((h - -2.6167183) * (q + 2.601397)) / ((m + 2.58845) * 2.508992)) + -1.2661535) / 1.0005912) - ((((q / exp(m)) * (exp(m * -0.12193235) + h)) - (h - (m * 2.401692))) * -8.39188e-6)"
38,4.821779e-11,"(((((h - -2.6167183) * (2.601397 + q)) / (2.508992 * (m + 2.58845))) + -1.2661535) / 1.0005912) - ((((h + sqrt(m / sin(m))) * (q / exp(m))) - (h - (m * 2.3955061))) * -8.348561e-6)"
39,4.4544028e-11,"(((((h - -2.6167183) * (q + 2.601397)) / ((2.58845 + m) * 2.508992)) + -1.2661535) / 1.0005912) - (-8.325704e-6 * (((((0.8286227 / sin(m)) * m) + h) * (q / exp(m))) - (h - (2.3955061 * m))))"
