Complexity,Loss,Equation
1,1.0,"7.674006e-6"
3,0.53518575,"theta * -0.68163466"
5,0.3333638,"theta / (-2.1455727 - r)"
7,0.29839817,"(-0.23311682 - theta) / (r + 2.1231444)"
8,0.255351,"(r - (theta / exp(r))) / 2.7465913"
9,0.2271823,"0.4691112 - ((theta + 0.7289826) / (r + 2.150765))"
10,0.17644791,"(r - (theta / exp(r))) / (epsilon + 3.182887)"
12,0.1286883,"(((-0.63843596 - theta) / (epsilon + 3.1118371)) / exp(r)) - -0.36711267"
14,0.09333271,"(((-0.7064742 - theta) / ((3.990239 - p_d) + epsilon)) / exp(r)) + 0.33509785"
15,0.05985065,"(((-0.6789077 - theta) / ((epsilon + 3.5035417) - sin(p_d))) / exp(r)) - -0.36436567"
16,0.02459017,"(((-0.75054085 - theta) / (r + 2.21353)) / exp((epsilon - p_d) * 0.31247774)) + 0.49961287"
18,0.023334479,"((((-0.73438036 - theta) / (r + 2.2801273)) / exp((epsilon - p_d) * 0.30476215)) * 1.1266894) + 0.5212401"
20,0.019396244,"((0.14365375 - (1.4548681 / (r + 2.4197965))) * ((theta + 0.71320784) / exp((epsilon - p_d) * 0.31065625))) + 0.48165414"
21,0.010011002,"(((sin((-0.75054085 - theta) * 0.54708093) / (r + 2.2509773)) / exp((epsilon - p_d) * 0.3068912)) + 0.21902695) / 0.42693758"
23,0.009529805,"(((sin((-0.75054085 - theta) * 0.5407178) / (r + 2.2510533)) / exp(((epsilon * 1.0708035) - p_d) * 0.30283958)) + 0.21747616) / 0.42693758"
25,0.0051475912,"(((-0.13952003 + (1.1229887 / (r + 2.590479))) * (sin(-0.5695001 - theta) - (theta + 0.8802397))) / exp(0.3057289 * (epsilon - p_d))) + 0.5004256"
27,0.0040817107,"(((1.1229887 / (r + 2.590479)) + -0.13952003) * ((sin(-0.5695001 - theta) - (theta + 0.8802397)) / exp((epsilon - (p_d / 1.1469952)) * 0.32701316))) + 0.5004256"
29,0.0040718787,"((sin((-0.5695001 - theta) * 0.98165697) - (theta + 0.8802397)) * (((1.1229887 / (r + 2.590479)) + -0.13952003) / exp((epsilon - (p_d / 1.1469952)) * 0.32701316))) + 0.5004256"
30,0.0036910824,"((((((epsilon / sin(epsilon)) - r) * (sin(-0.6621496 - theta) * 0.35397044)) - (theta + 0.81382406)) / (r + 2.5642457)) / exp((epsilon - p_d) * 0.29396075)) + 0.52664983"
32,0.0032683725,"(((((sin(-0.6611494 - theta) * ((epsilon / sin(epsilon)) - r)) * 0.35486308) - (theta + 0.81382406)) / (r + 2.5642457)) / exp((epsilon - (p_d / 1.0799737)) * 0.30283958)) + 0.52620226"
33,0.0028656444,"(((((-0.43372104 - sin(theta)) * (0.29378566 * ((epsilon / sin(epsilon)) - (sin(r) + theta)))) - (theta + 0.9322119)) / (r + 2.4238436)) / exp((epsilon - p_d) * 0.29484162)) + 0.5177374"
35,0.0024899142,"(((((-0.43182653 - sin(theta)) * (((epsilon / sin(epsilon)) - (theta + sin(r))) * 0.29142556)) - (theta + 0.9304163)) / (r + 2.4238436)) / exp((epsilon - (p_d / 1.075456)) * 0.3051816)) + 0.5154112"
37,0.0023714395,"((((((epsilon / sin(epsilon * 1.1698427)) - (sin(r) + theta)) * ((-0.4088302 - sin(theta)) * 0.28207594)) - (theta + 0.9404499)) / (r + 2.408797)) / exp((epsilon - (p_d / 1.0694274)) * 0.30317053)) + 0.5159438"
39,0.002284636,"(((((-0.4088302 - sin(theta)) * (((epsilon / sin(epsilon * 1.1638613)) - (sin(r * 1.1570251) + theta)) * 0.28207594)) - (theta + 0.9398767)) / (r + 2.408797)) / exp((epsilon - (p_d / 1.0744717)) * 0.30283958)) + 0.5159438"
