Complexity,Loss,Equation
1,0.91624165,"v"
2,0.75504476,"sin(v)"
3,0.70636696,"0.541762 * v"
4,0.59720105,"sin(v + q)"
5,0.41968375,"(q + v) * 0.5373421"
7,0.13392901,"(r + (q + v)) * 0.53624344"
9,0.1339252,"(r * 0.5348172) - ((v + q) * -0.53684485)"
10,0.036821876,"exp((r + (v + q)) * 0.4074072) - 1.276958"
12,0.025925662,"exp(((v + r) + (q - -1.3721626)) * 0.31039128) + -1.7674645"
14,0.025917659,"(exp(((v + r) + (q - -1.3721626)) * 0.31039128) + -1.7679868) / 0.99799156"
16,0.025916692,"((exp((((q - -1.3721626) + r) + v) * 0.31039128) - -0.475956) + -2.2439427) / 0.9959871"
17,0.024512421,"(-1.79396 + exp(0.3057236 * (((v + q) - -1.5377976) + r))) + (exp(r) * -0.028093643)"
18,0.020225339,"(exp(((q + v) + (r - -1.1174047)) * 0.32624984) + -1.6007205) - ((q * q) * 0.085129224)"
19,3.278906e-6,"(((r * -0.20649451) - 0.5381328) * (((q * v) * -0.38432366) - (v + q))) + (r * 0.53682745)"
21,1.3632894e-6,"(r * 0.53681326) + (((((q - -0.008806905) * v) * -0.38521808) - (q + v)) * ((r * -0.20609185) - 0.53716433))"
23,5.8435096e-15,"(((q * ((v * -0.38391826) + 0.0033804162)) - (q + v)) * ((r * -0.20679131) - 0.53898686)) + ((r * 0.53681296) + -0.0011676027)"
25,5.544996e-15,"((r * 0.53681296) + -0.0011676133) + ((((q * 0.003380508) + ((q * v) * -0.3839182)) - (q + v)) * ((r * -0.20679133) - 0.5389869))"
27,4.7743376e-15,"((((q * 0.0033803917) + (((q * -0.38391823) - 6.060715e-8) * v)) - (q + v)) * ((r * -0.20679131) - 0.53898686)) + ((r * 0.53681296) + -0.0011675918)"
29,4.772403e-15,"((((q * 0.0033803917) + (q * ((-0.38391823 - (6.060715e-8 / q)) * v))) - (q + v)) * ((r * -0.20679131) - 0.53898686)) + ((r * 0.53681296) + -0.0011675918)"
31,4.7682945e-15,"(-0.0011675918 + (r * 0.53681296)) + ((((q * 0.0033803917) + (q * (v * (-0.38391823 - (6.060715e-8 / (q * 1.0751663)))))) - (v + q)) * ((-0.20679131 * r) - 0.53898686))"
35,4.734546e-15,"(((r * -0.20609227) - 0.53716487) * (((((q - -0.0086889295) * v) * -0.38522044) + ((v - ((-0.40436614 / r) * (r * -0.0001166419))) * -4.4768403e-5)) - (q + v))) + ((r * 0.53681296) + -0.0011675888)"
37,4.7272028e-15,"((((((q * -0.38391823) - (6.060715e-8 / exp(v / (0.14513282 + (sin(1.3778844) + 2.7555583))))) * v) + (q * 0.0033803917)) - (v + q)) * ((r * -0.20679131) - 0.53898686)) + ((0.53681296 * r) + -0.0011675918)"
