Complexity,Loss,Equation
1,0.9999999,"0.0"
2,0.97026104,"sin(y)"
3,0.84562665,"0.3926671 * y"
4,0.5750868,"sin(x * 4.2010384)"
6,0.42336217,"sin((0.2379733 - x) * -2.656584)"
8,0.4044959,"0.15375338 - sin((x / 0.37643188) - 3.6737976)"
9,0.38443854,"sin(((exp(x) * 0.15596087) - x) / -0.2500804)"
11,0.27267957,"(sin(y / -0.27551627) - 1.3300608) * sin(x * -2.9097543)"
13,0.10308629,"(sin(y / -0.32431015) + -1.5886996) * sin((x / -0.3597623) + 0.62885755)"
15,0.0207209,"sin((x / -0.35505146) + 0.6418104) * ((sin(y / -0.34827977) - 1.2049226) * 1.8981671)"
17,0.00043367635,"(((sin(y / -0.34772387) - 1.2256947) * 1.9056885) * sin((x / -0.36000448) + 0.62766993)) - -0.14853077"
19,4.0785135e-9,"0.14712195 - (sin((x / -0.3597623) + 0.62885755) * ((1.2222844 - sin((y / -0.3482846) + 0.024948126)) * 1.9081051))"
21,4.052914e-9,"((0.0005850872 - ((1.2222844 - sin((y / -0.3482846) + 0.024948126)) * sin((x / -0.3597623) + 0.62885755))) * 1.9080958) - -0.14600296"
23,3.8966115e-9,"(((0.00058508717 - (sin((x / -0.3597623) + 0.62885755) * (1.2222844 - sin((y / -0.3482846) + 0.024937578)))) / 0.91986984) / 0.569741) - -0.14600296"
26,3.5133136e-9,"(((exp(y * -0.0212693) * 0.0005850872) - (sin((x / -0.3597623) + 0.62885755) * (1.2222844 - sin((y / -0.3482846) + 0.024948126)))) * 1.9081051) - -0.14600296"
27,3.4374712e-9,"(((exp(sin(y) * -0.034545727) * 0.0005850872) - (sin((x / -0.3597623) + 0.62885755) * (1.2222844 - sin((y / -0.3482846) + 0.024948126)))) * 1.9081051) - -0.14600296"
29,2.4244708e-9,"(((exp(sin(y / x) * 0.041704934) * 0.0005850872) - (sin((x / -0.3597623) + 0.62885755) * (1.2222844 - sin((y / -0.3482846) + 0.024948126)))) * 1.9081051) - -0.14600296"
31,2.0590831e-9,"(((0.0005850872 * exp(sin(x + (y / -0.23880076)) * 0.041704934)) - (sin((x / -0.3597623) + 0.62885755) * (1.2222844 - sin((y / -0.3482846) + 0.024948126)))) * 1.9081051) - -0.14600296"
33,1.9012762e-9,"(((exp(sin((y / -0.25045264) + x) * 0.0662786) * 0.0005850872) - ((sin((x / -0.3597623) + 0.62885755) * (1.2222844 - sin((y / -0.3482846) + 0.024948126))) / 0.91986984)) / 0.569741) - -0.14610761"
