Complexity,Loss,Equation
1,0.9234657,"m"
2,0.75990206,"sin(m)"
3,0.7102685,"m * 0.53816444"
4,0.60002524,"sin(m + z)"
5,0.42261398,"(z + m) * 0.5365391"
7,0.13434683,"0.5371375 * (m + (g + z))"
10,0.03731547,"exp(((m + g) + z) * 0.40653604) + -1.2769372"
12,0.026409235,"(exp((z + (m + g)) * 0.30955398) / 0.65062433) + -1.7726154"
15,1.9658095e-14,"(0.07933214 * ((z - -2.599229) * ((2.6058252 + g) * (m + 2.600615)))) + -1.3973206"
21,6.5426968e-15,"((g + 0.00011401933) + ((g + 2.6058257) * (((z * (1.0005333 - (m * -0.38472944))) + m) * 0.38452435))) * 0.5362531"
23,5.921457e-15,"((g + (((((1.0005333 - (-0.38472944 * m)) * (6.9857464e-8 + z)) + m) * (g + 2.6058257)) * 0.38452435)) + 0.00011392686) * 0.5362531"
