Complexity,Loss,Equation
1,0.9781679,"sigma_den"
2,0.7989915,"sin(sigma_den)"
3,0.6531339,"epsilon * -0.5888093"
4,0.6137863,"sin(sigma_den) - epsilon"
5,0.3915643,"(sigma_den - epsilon) / 1.8078381"
7,0.23623477,"((sigma_den - chi) - epsilon) * 0.505753"
8,0.23032312,"((sigma_den - sin(chi)) - epsilon) / 1.8135697"
9,0.10296422,"((sigma_den - epsilon) - chi) / (epsilon + 2.6383767)"
10,0.06720184,"exp(((sigma_den - chi) - epsilon) / 2.4443758) + -1.2807128"
11,0.057928257,"((sigma_den - (chi + -2.858313)) / (epsilon + 2.604263)) + -1.3238264"
12,0.038208563,"-1.2923453 + exp((0.35895753 * (sigma_den - chi)) - (epsilon * 0.516868))"
14,0.005072081,"(((sigma_den - -2.501734) * exp(chi * -0.34182155)) / (epsilon + 2.5508547)) + -1.2661399"
15,1.9562896e-9,"(((sigma_den - -2.5851767) / (epsilon + 2.6035872)) / ((chi * 0.2865108) + 0.9932671)) + -1.3241593"
17,1.9557664e-9,"((((sigma_den - -2.5851767) / (epsilon + 2.6035872)) / ((chi * 0.2861115) + 0.99188286)) * 0.9986064) + -1.3241593"
19,1.4683806e-9,"((((sigma_den - -2.5851786) / ((chi * 0.28606963) + 0.9917149)) / ((epsilon + 2.6035771) * 1.0011975)) + -1.3246611) / 1.0003724"
23,2.4231347e-10,"(((((((chi * 0.25422567) + sigma_den) - chi) / (1.3153445 + (chi * 0.37943235))) - epsilon) + -0.63805985) / (2.6035023 + epsilon)) / 0.7552303"
25,1.4798322e-10,"(((((((chi * 0.2542249) + sigma_den) - chi) - 1.9026855e-5) / ((chi * 0.3794324) + 1.3153397)) - epsilon) + -0.6380598) / ((epsilon + 2.6034997) * 0.7552322)"
27,1.0554116e-10,"(((((sigma_den + (chi * 0.25422493)) - (chi + 2.7721246e-5)) / ((chi * 0.37943175) + 1.3153386)) - epsilon) + -0.6380579) / (((epsilon + 2.6035173) * 0.7552489) + -3.7988582e-5)"
31,4.5563914e-11,"((((sigma_den + ((chi * 0.2542249) - (chi - (((epsilon + 0.90804946) - sigma_den) * -3.254718e-5)))) / ((chi * 0.3794332) + 1.3153397)) - epsilon) + -0.6380598) / ((epsilon + 2.6034997) * 0.7552512)"
36,3.303475e-11,"((((((chi * 0.2542249) + sigma_den) - (chi - ((epsilon + (0.97045285 - sigma_den)) * (-3.0930918e-5 * exp(epsilon / -6.091253))))) / ((chi * 0.3794324) + 1.3153397)) - epsilon) + -0.6380598) / ((epsilon + 2.6034997) * 0.7552512)"
37,3.1917642e-11,"(((((chi * 0.2542249) + (sigma_den - (chi - ((((epsilon - sigma_den) * ((epsilon * -0.170848) - -0.9193741)) - -1.0658627) * -3.2548436e-5)))) / ((chi * 0.37943235) + 1.3153397)) - epsilon) + -0.6380598) / ((epsilon + 2.6034997) * 0.7552512)"
38,2.8861632e-11,"((((((chi * 0.2542249) + sigma_den) - (chi - (((0.985514 + epsilon) - sigma_den) * (-3.0930918e-5 * exp(epsilon / (-6.091253 - chi)))))) / ((chi * 0.3794324) + 1.3153397)) - epsilon) + -0.6380598) / ((epsilon + 2.6034997) * 0.7552512)"
40,2.451761e-11,"((((chi * 0.2542249) + (sigma_den - (chi - ((((epsilon + 0.97045285) - sigma_den) * -3.0930918e-5) * exp(epsilon / ((chi + 2.1267507) * -6.5657973)))))) / ((chi * 0.3794324) + 1.3153397)) + (-0.6380598 - epsilon)) / (0.7552512 * (epsilon + 2.6034997))"
