Complexity,Loss,Equation
1,1.0,"0.0"
2,0.94355893,"sin(x)"
3,0.7696772,"d * -0.48101583"
5,0.60111177,"(x - d) * 0.44578108"
7,0.43233,"((Y + x) - d) * 0.43834144"
9,0.26209858,"(x + (Y + (A - d))) * 0.4307137"
13,0.15516932,"(Y + (A + (x - d))) * ((d * -0.1489421) + 0.43764535)"
15,0.1278263,"(((d * -0.17840327) + 0.41724125) * ((Y + (x - d)) + A)) - 0.17453538"
17,0.12653705,"((d - (A + 2.0464966)) * ((((Y + 1.4412762) - d) + x) * -0.17871559)) + -0.749332"
18,0.12547922,"-0.83502704 - (((d - (A + 1.8407352)) * 0.19697677) * (((Y + x) - sin(d)) + 1.7340246))"
19,0.12182547,"log(0.47082645) - ((d - (A + 1.8407352)) * (0.19697677 * (Y + ((x - sin(d)) + 1.7340246))))"
20,0.12058065,"((d - (A + 2.0464966)) * ((((Y + (0.25943142 + 1.4888561)) - sin(d)) + x) * -0.17871559)) + -0.749332"
21,0.09737823,"((((-0.16255273 - ((A + 2.0718365) - d)) * (Y + (x + (1.7802862 - d)))) - d) * -0.16255273) + -0.8055886"
22,0.09657127,"(((x + 2.471268) * (((sin(d - -0.6493098) + -1.5330313) * (Y - d)) - (A + 2.3283901))) * -0.14558187) + -1.0335265"
23,0.051568836,"(((((Y - d) * ((d + -2.2243345) - A)) * 0.5009964) - (A + 2.3997772)) * ((x + 2.224771) * -0.1519426)) + -1.0121411"
25,0.03426063,"(((((Y - d) * (((d - (A + 0.8440088)) * 0.4342894) + -0.68478745)) - (A + 2.0871832)) * (x + 2.4530258)) * -0.16463752) + -1.0208646"
27,0.01343245,"(((((Y - d) * ((((d - A) * (1.784136 - d)) * 0.32887352) + -0.98621386)) - (A + 2.236849)) * (x + 2.2185051)) * -0.14177452) + -0.91942686"
29,0.011271779,"(((((Y + 0.10228763) - d) * ((((d - A) * (1.784136 - d)) * 0.2786725) + -0.98621386)) - (A + 2.236849)) * (-0.14177452 * (x + 2.2185051))) + -0.91942686"
33,0.008888903,"(((x + 2.448462) * ((((Y + 0.24097478) - d) * (((d - A) * ((2.5030723 - d) * ((1.8703997 - d) * 0.07441864))) + -0.9626502)) - (A + 2.5503683))) * -0.12145498) + -0.98238355"
35,0.0047737053,"((((((((d * -1.8884262) + 5.035156) * 0.09357813) * ((d - A) - (d * (d * 0.20134172)))) + -0.893983) * (Y - d)) - (A + 2.446714)) * ((x + 2.5736785) * -0.13817677)) + -1.0500717"
