Complexity,Loss,Equation
1,0.97491586,"I_0"
2,0.79867953,"sin(I_0)"
3,0.6448155,"delta * -0.59582216"
4,0.57503814,"sin(I_0 - delta)"
5,0.38951612,"(I_0 - delta) * 0.55065656"
7,0.2911409,"((I_0 - alpha) - delta) * 0.48523566"
8,0.26965562,"((I_0 - sin(alpha)) - delta) * 0.5341683"
9,0.236687,"(I_0 + (delta * (-1.3120227 - n))) * 0.4515254"
10,0.16911146,"((I_0 - (exp(n) * delta)) - alpha) * 0.35385236"
11,0.11720046,"((I_0 - ((n + 1.4236635) * delta)) - alpha) * 0.41827267"
12,0.11311586,"((delta * (-1.2948154 - n)) + (I_0 - sin(alpha))) * 0.4572913"
13,0.10466704,"((I_0 - alpha) - (delta * (n + sqrt(exp(I_0))))) * 0.44210908"
14,0.08794035,"((I_0 - ((n + sqrt(2.0603535 + I_0)) * delta)) - alpha) * 0.42949864"
15,0.07886354,"((I_0 - alpha) - (delta * exp(sin(n) + (0.2912243 * I_0)))) * 0.43388438"
16,0.072827905,"((I_0 - (delta * exp((I_0 * 0.26265752) + sin(n)))) - sin(alpha)) * 0.46181178"
17,0.059056092,"((I_0 - (delta * exp(((I_0 - alpha) * 0.24000241) + sin(n)))) - alpha) * 0.43249536"
18,0.049860157,"((4.793881 - (delta * (n + 1.5087707))) * (exp((I_0 - alpha) * 0.22726679) * 0.37824076)) + -1.9234098"
19,0.038102083,"(exp((I_0 - sin(alpha)) * 0.25376952) * ((4.9311895 - (delta * (n + 1.4812857))) * 0.3814859)) + -1.980499"
20,0.03594475,"((exp((I_0 - alpha) * 0.20584159) * (4.905847 - ((delta - 0.2940104) * (n + 1.5624366)))) * 0.37863135) + -2.123178"
21,0.024149993,"(((4.862128 - ((n + 1.5346488) * (delta + -0.29642603))) * exp((I_0 - sin(alpha)) * 0.24498688)) * 0.37092018) + -2.063167"
22,0.022410834,"(((4.873557 - ((delta - 0.26418814) * (n + 1.4708455))) * exp((I_0 - (alpha * 0.6922043)) * 0.2395483)) * 0.3911611) + -2.1478405"
23,0.021724641,"(((4.839821 - ((n + 1.4708455) * (delta - 0.26736206))) * exp(sin((I_0 - (alpha * 0.6922043)) * 0.2528809))) * 0.3911611) + -2.1403115"
25,0.016029516,"(((4.83754 - ((n + 1.5587348) * ((delta + -0.6705922) - (n * -0.2393745)))) * exp((I_0 - sin(alpha)) * 0.22989559)) * 0.3694871) + -2.1836677"
26,0.013872767,"((4.8111496 - ((n + 1.5278502) * ((delta + -0.6316741) - (n * -0.22320701)))) * (exp((I_0 - (alpha * 0.7330029)) * 0.2308701) * 0.37838396)) + -2.1976283"
29,0.010621852,"((I_0 + -1.2412128) + ((((1.486111 + n) * (((n * -0.24111769) + 0.65538895) - delta)) - sin(alpha - 0.50368035)) * exp((I_0 - alpha) * 0.24852079))) * 0.37768224"
30,0.010425533,"0.38221943 * (((((n + 1.4651684) * ((0.72129 - delta) + (n * -0.29292122))) - sin(alpha - 0.47008595)) * exp(0.273797 * (I_0 - sin(alpha)))) + (-1.2325447 + I_0))"
31,0.008648816,"((I_0 + -1.2325447) + (((((0.71311486 - delta) + (n * -0.29292122)) * (n + 1.4651684)) - sin(alpha - 0.47008595)) * exp((I_0 - (alpha / 1.3194641)) * 0.273797))) * 0.38221943"
32,0.008531908,"(I_0 + ((exp((I_0 - (alpha / 1.3194641)) * 0.273797) * (((sin(n * -0.29728064) + (0.71311486 - delta)) * (n + 1.4651684)) - sin(alpha - 0.47008595))) + -1.2325447)) * 0.38221943"
33,0.008511953,"(((((n + 1.464457) * ((0.64270234 - delta) + (n * -0.25157815))) + (I_0 + -1.3695555)) * exp((I_0 - (alpha * 0.77248275)) * 0.28005034)) - (alpha - sin(I_0 + 0.8833651))) * 0.37861815"
34,0.008418409,"((((I_0 + ((n + 1.464457) * (((n * -0.2571347) - delta) + 0.64576286))) + -1.3695555) * exp(sin((I_0 - (alpha * 0.7761747)) * 0.30193785))) - (alpha - sin(I_0 + 0.8832144))) * 0.37765783"
36,0.008098712,"0.37765783 * ((((I_0 + ((n + 1.464457) * (((n * -0.2571347) - delta) + 0.6755516))) + -1.3695555) * exp(sin((I_0 - (alpha * 0.7761747)) * 0.30193785))) - (alpha - (sin(I_0 + 0.8832144) / 1.1456066)))"
37,0.008038013,"0.37765783 * (((I_0 + (((n + 1.464457) * (((n * -0.2571347) - delta) + 0.6755516)) + -1.3695555)) * exp(sin((I_0 - (alpha * 0.7761747)) * 0.30193785))) - (alpha - (sin(I_0 + exp(-0.14103913)) / 1.1456066)))"
