Complexity,Loss,Equation
1,0.37528104,"Ef"
2,0.3586916,"sin(Ef)"
3,0.3400721,"Ef / 1.2311193"
4,0.23805521,"Ef + sin(epsilon)"
5,0.1563895,"(epsilon * 0.46774113) + Ef"
6,0.13769633,"(Ef + sin(epsilon)) / 1.3412285"
7,0.06613617,"Ef + (epsilon / (2.4848342 - Ef))"
8,0.049244884,"(epsilon / (2.4848342 - Ef)) + sin(Ef)"
9,0.024545582,"sqrt(exp(Ef) * (epsilon + 2.102037)) + -1.5836041"
10,0.018764513,"exp(((epsilon * 0.556998) + Ef) * 0.6463909) + -1.301554"
11,0.008815731,"(((epsilon * 0.44649094) + 1.4933981) * sqrt(exp(Ef))) + -1.6873319"
13,0.0023717724,"(((epsilon * 0.5762723) + 1.4881915) * (-0.3162157 + sqrt(exp(Ef)))) + -1.2117192"
15,3.7548282e-13,"-1.2127438 - ((epsilon + 2.5865357) * ((Ef + 2.5964525) * ((Ef * -0.060309622) + -0.15725368)))"
21,1.481553e-14,"((((Ef + 2.6919854) * (((Ef * 0.18450001) + 0.4634437) * (epsilon + 2.5865376))) + (epsilon * 0.0014957101)) + -3.706169) * 0.32688218"
23,1.3799346e-14,"(((epsilon * 0.0014957095) + 0.00034786994) + ((((epsilon + 2.5865376) * ((Ef * 0.1845) + 0.4634437)) * (Ef + 2.6919854)) - 3.7065167)) * 0.32688218"
25,1.3421276e-14,"((((Ef + 2.6919916) * ((Ef * 0.18451686) + 0.46348467)) * (epsilon + 2.5865395)) + ((epsilon * ((Ef * 6.6353886e-7) + 0.0014974385)) - 3.7065082)) * 0.32685214"
27,1.3396059e-14,"(((((Ef * 0.18451686) + 0.46348467) * (Ef + 2.6919916)) * (epsilon + 2.5865395)) + (((((Ef - 0.021053318) * 6.766426e-7) + 0.0014974385) * epsilon) - 3.7065082)) * 0.32685214"
29,1.33060025e-14,"(((((Ef * 0.18451686) + 0.46348467) * (Ef + 2.6919916)) * (epsilon + 2.5865395)) + (((((epsilon * Ef) + -0.05555908) * 6.766426e-7) + (epsilon * 0.0014974385)) - 3.7065082)) * 0.32685214"
30,1.3181447e-14,"((((Ef * 0.1845169) + 0.46348464) * ((2.5865395 + epsilon) * (Ef + 2.6919916))) + ((((6.62546e-7 * (Ef * exp(0.17056471 * Ef))) + 0.0014974385) * epsilon) - 3.7065082)) * 0.3268521"
31,1.2989488e-14,"((((epsilon + (((epsilon * 6.935925e-5) * Ef) * (Ef + 6.433463))) * 0.0014974686) - 3.7065082) + (((epsilon + 2.5865395) * (Ef + 2.6919916)) * ((Ef * 0.1845169) + 0.46348464))) * 0.3268521"
33,1.2722977e-14,"((((epsilon + 2.5865395) * (Ef + 2.6919916)) * ((Ef * 0.1845169) + 0.46348464)) + (((((((Ef * epsilon) * (Ef + 6.433463)) + 0.46348464) * 6.935925e-5) + epsilon) * 0.0014974686) - 3.7065082)) * 0.3268521"
34,1.26982605e-14,"((((Ef * 0.1845169) + 0.46348464) * ((Ef + 2.6919916) * (epsilon + 2.5865395))) + (((epsilon + ((((epsilon * Ef) * (sin(Ef) + 4.8500085)) + 0.3268521) * 9.122721e-5)) * 0.0014974741) - 3.7065082)) * 0.3268521"
35,1.2489387e-14,"((((Ef * 0.1845169) + 0.46348464) * ((Ef + 2.6919916) * (epsilon + 2.5865395))) + (((((((Ef * epsilon) * (Ef + 4.9308124)) + sin(exp(Ef))) * 9.122721e-5) + epsilon) * 0.0014974684) - 3.7065082)) * 0.3268521"
36,1.24198755e-14,"((((epsilon + ((((epsilon * (sin(Ef) + 4.9308124)) * Ef) + sin(exp(Ef))) * 9.122721e-5)) * 0.0014974686) - 3.7065082) + (((Ef * 0.1845169) + 0.46348464) * ((epsilon + 2.5865395) * (Ef + 2.6919916)))) * 0.3268521"
37,1.2285644e-14,"((((epsilon + ((sin(1.6649234 - Ef) + ((sin(Ef) + 4.9240603) * (Ef * epsilon))) * 9.122721e-5)) * 0.0014974686) - 3.7065082) + ((epsilon + 2.5865395) * ((Ef + 2.6919916) * ((Ef * 0.1845169) + 0.46348464)))) * 0.3268521"
39,1.2207529e-14,"((((((((Ef * epsilon) * (sin(Ef) + 4.8500085)) + sin(1.6649234 - (Ef * 1.2413193))) * 9.122721e-5) + epsilon) * 0.0014974686) - 3.7065082) + ((((Ef * 0.1845169) + 0.46348464) * (Ef + 2.6919916)) * (2.5865395 + epsilon))) * 0.3268521"
