Complexity,Loss,Equation
1,0.9999999,"1.0159941e-5"
3,0.7744765,"q * -0.47487593"
5,0.64452374,"(h - q) * 0.42094302"
6,0.6126153,"exp((h - q) + -2.0001268)"
7,0.48398626,"(h - q) / (q + 2.663487)"
8,0.42445406,"exp((h - (q + m)) + -2.5680957)"
9,0.31679145,"(h - q) / (m + (q + 3.5935402))"
10,0.29305792,"(h - q) / (q + (exp(m) + 1.8362403))"
11,0.229345,"((h + epsilon) - q) / (m + (q + 3.6063325))"
12,0.16374025,"(h - q) / (q + (1.8837306 + exp(m - epsilon)))"
13,0.16068493,"(h - q) / ((exp(m - sin(epsilon)) + 1.8427559) + q)"
14,0.08564581,"(sqrt(exp(epsilon + (h - m))) * exp(-1.3310801 - q)) + -0.6040913"
15,0.07226802,"(sqrt(exp((sin(epsilon) + h) - m)) * exp(-1.2027965 - q)) + -0.6475598"
16,0.065023355,"(exp(-1.4516516 - q) * exp(((epsilon - m) * 0.4353505) + sin(h))) + -0.5752022"
17,0.057880618,"(exp(-1.3764377 - q) * sqrt(exp(sin(epsilon) + ((h / 0.7554217) - m)))) + -0.59623575"
18,0.04484634,"(exp(((epsilon - m) * 0.4484757) + sin(h)) * exp((-1.4372275 - q) * 1.4824234)) + -0.48511046"
19,0.039355725,"(sqrt(exp((h * 1.4741743) - (m - sin(epsilon)))) * exp(-2.1083086 - (q * 1.4741743))) + -0.47721034"
20,0.033704497,"(exp(((epsilon - m) * 0.4353505) + sin(h)) * (exp((-1.4855931 - q) * 1.7885388) + 0.10687384)) + -0.55061495"
21,0.031600796,"((exp((-1.4731653 - q) * 1.7892079) + 0.1050146) * exp(((epsilon * 0.62044704) + (h - m)) * 0.60526955)) + -0.5497263"
22,0.031529702,"((exp(((sin(epsilon) - m) + h) * 0.59979296) - (h * -0.3035251)) * exp((-1.4815882 - q) * 1.5271924)) + -0.43600264"
24,0.022685608,"((exp((-1.4731653 - q) * 1.7977879) + 0.1050146) * (exp((h + (sin(epsilon) - m)) * 0.56728613) - (h * -0.2306944))) + -0.5391471"
25,0.021379363,"((exp((h + ((epsilon * 0.60526955) - m)) * 0.62044704) - (m * -0.21110901)) * (exp((-1.4731653 - q) * 1.7382876) + 0.1050146)) + -0.5646965"
26,0.019419467,"((exp((-1.4731653 - q) * 1.7977879) + 0.10687384) * (exp((sin(epsilon) + (h - m)) * 0.58110267) - ((m + h) * -0.17195071))) + -0.55061495"
27,0.01601161,"-0.5497263 + ((exp((h + ((epsilon * 0.62044704) - m)) * 0.60526955) - ((h + m) * -0.17548268)) * (exp((-1.4731653 - q) * 1.7977879) + 0.10384079))"
28,0.015793743,"-0.5508691 + ((exp((-1.4731653 - q) * 1.7977879) + 0.10687384) * (exp(((h - m) + (epsilon * 0.62044704)) * 0.60526955) - ((m + sin(h)) * -0.193925)))"
29,0.014914525,"-0.5497263 + ((exp((-1.4731653 - q) * 1.7977879) + 0.1050146) * (exp(((epsilon * 0.62044704) + (h - m)) * 0.60526955) - (-0.23699287 * (sin(h) + sin(m)))))"
31,0.014597099,"-0.5596239 + ((0.1050146 + exp((-1.4731653 - q) * 1.7977879)) * (exp(((epsilon * 0.62044704) + (h - m)) * 0.60526955) - (-0.22926717 * (sin(h + 0.27415076) + sin(m)))))"
32,0.013674442,"((exp(((epsilon * 0.62044704) + (h - m)) * 0.60526955) - ((m + h) * (-0.15654208 / exp(epsilon * -0.38747287)))) * (exp((-1.4731653 - q) * 1.7977879) + 0.1050146)) + -0.5497263"
33,0.013598353,"((exp(((0.62044704 * epsilon) + (h - m)) * 0.60526955) - ((sin(h) + m) * (-0.17548268 / exp(-0.4285052 * epsilon)))) * (0.1050146 + exp((-1.4731653 - q) * 1.7977879))) + -0.5497263"
34,0.012585683,"((exp(((0.62044704 * epsilon) + (h - m)) * 0.60526955) - ((sin(h) + sin(m)) * (-0.20350021 / exp(-0.4285052 * epsilon)))) * (exp((-1.4731653 - q) * 1.7977879) + 0.1050146)) + -0.5497263"
35,0.011144619,"((exp((((epsilon * 0.5113788) + h) - m) * 0.61797714) + ((sin(m) + ((h + 0.7110713) * sin(epsilon + 0.8107587))) * 0.2710345)) * (exp((-1.4759139 - q) * 1.7898371) + 0.10913462)) + -0.5783858"
37,0.010679246,"(((exp((h + ((epsilon * 0.5113788) - m)) * 0.61797714) + -0.043941945) - (((sin(epsilon + 0.86297166) * (h + 0.79818094)) + sin(m)) * -0.27977708)) * (exp((-1.4759139 - q) * 1.7898371) + 0.10913462)) + -0.57705545"
38,0.010674009,"(((exp((h + ((epsilon * 0.5113788) - m)) * 0.61797714) + -0.043941945) - (((sin(epsilon + 0.86297166) * (h + exp(-0.20892027))) + sin(m)) * -0.27977708)) * (exp((-1.4759139 - q) * 1.7898371) + 0.10913462)) + -0.57705545"
