Complexity,Loss,Equation
1,0.5174333,"Y"
2,0.46260744,"sin(Y)"
3,0.31019166,"Y - sigma"
4,0.19073777,"Y - sin(sigma)"
5,0.09842422,"(Y - sigma) / 1.484684"
7,0.046683367,"sqrt(exp(Y - sigma)) + -1.2743807"
8,0.045246407,"(Y - sigma) / sqrt(sigma - -2.6856632)"
9,0.029762298,"(Y - sin(sigma)) / sqrt(sigma - -2.232895)"
10,0.005631375,"((Y + 3.009469) / sqrt(sigma + 2.2850056)) + -2.189396"
11,5.0905817e-9,"((Y + 2.5998607) * (2.347844 / (sigma - -3.462806))) + -1.9352137"
13,1.7181669e-10,"((((Y - sigma) + -0.8629956) * 2.3475964) / (sigma - -3.4623826)) + 0.41264546"
15,3.416867e-12,"(2.3203058 * ((Y + (-0.86295056 - sigma)) / ((sigma * 0.9883701) - -3.4221175))) + 0.41261378"
17,1.7658673e-12,"(((-0.8628196 - sigma) + (Y * 1.0000525)) * (2.3201082 / ((sigma * 0.98833865) - -3.4220064))) + 0.4124944"
19,6.0957993e-13,"(((Y + (((Y * 5.2016083e-5) + -0.86282265) - sigma)) * 2.320127) / ((sigma * 0.9883486) - -3.4220326)) + 0.41249683"
21,4.5981535e-13,"(((((Y - sigma) + ((Y - 0.012310915) * 5.1743322e-5)) + -0.8628226) * 2.3201268) / ((sigma * 0.9883488) - -3.422032)) + 0.41249692"
24,1.6387952e-13,"(((((((Y - exp(sigma + -4.353085)) * 5.1752453e-5) + Y) - sigma) + -0.8628226) / ((sigma * 0.98834866) - -3.422032)) * 2.3201268) + 0.41249692"
25,6.4469672e-15,"(2.3200805 * ((((((((0.99918526 + Y) / -0.71214104) - sigma) * -2.5407271e-5) + -0.8628099) - sigma) + Y) / ((sigma * 0.98831373) - -3.4219093))) + 0.41247264"
27,6.2774505e-15,"(((Y + ((((((Y + 0.99904877) / -0.9837023) - (sigma * 0.7240077)) * -3.509254e-5) + -0.8628099) - sigma)) / ((sigma * 0.98831373) - -3.4219093)) * 2.3200805) + 0.41247264"
29,6.2284416e-15,"(((Y + ((((((Y + 0.99918526) / -0.9836297) - ((sigma - 0.0005146454) * 0.7240077)) * -3.509254e-5) + -0.8628099) - sigma)) / ((sigma * 0.98831373) - -3.4219093)) * 2.3200805) + 0.41247264"
31,6.20855e-15,"(((Y + (((((Y * -0.00052293716) + (((Y + 0.99918526) / -0.9841439) - (sigma * 0.72393084))) * -3.509254e-5) + -0.8628099) - sigma)) / ((sigma * 0.98831373) - -3.4219093)) * 2.3200805) + 0.41247264"
33,6.2079307e-15,"((((((((((Y + 0.99918526) / -0.9841439) - (sigma * 0.7240077)) + ((Y / 1.0668727) * -0.00050585205)) * -3.509254e-5) + -0.8628099) - sigma) + Y) / ((sigma * 0.98831373) - -3.4219093)) * 2.3200805) + 0.41247264"
34,6.1661017e-15,"(((Y + ((((((Y + 0.99918526) / ((sin(sigma + -1.731613) * -0.00052293716) + -0.9841439)) - (sigma * 0.7240077)) * -3.509254e-5) + -0.8628099) - sigma)) / ((sigma * 0.98831373) - -3.4219093)) * 2.3200805) + 0.41247264"
36,6.1465738e-15,"(((Y + ((((((Y + 0.99918526) / ((sin(sigma + -1.7954389) * -0.00052293716) + -0.9841439)) - ((sigma * 0.7240077) - 7.691763e-5)) * -3.509254e-5) + -0.8628099) - sigma)) / ((sigma * 0.98831373) - -3.4219093)) * 2.3200805) + 0.41247264"
