Complexity,Loss,Equation
1,0.63284177,"r2"
2,0.5467352,"sin(r2)"
3,0.28307012,"r2 + r1"
4,0.19282953,"r2 + sin(r1)"
5,0.07592054,"(r1 + r2) * 0.6786798"
7,0.07590523,"(r1 * 0.6758703) + (r2 / 1.4684118)"
9,0.07590506,"(r1 * 1.3573478) - ((r1 - r2) * 0.6815796)"
10,0.056717396,"((exp(m1 * -0.20312414) * r2) + r1) / 1.4891243"
11,0.047229487,"r1 - (((r1 - r2) - r2) / (m1 + 3.5590954))"
12,0.03999398,"(r1 + (r2 / exp((m2 - m1) * -0.18608609))) * 0.6666029"
13,0.037748426,"(r1 * 1.356463) - ((r1 - r2) / ((m1 * 0.30241877) + 1.5387076))"
14,0.02874843,"r1 - ((sin(r1) - r2) * (((m1 - m2) * -0.15519136) + 0.5949477))"
15,0.0026907322,"(1.356001 * r1) - ((r1 - r2) * (0.680656 + ((m2 - m1) * 0.1347023)))"
16,0.0026609749,"(r1 * 1.356001) - ((sin((m2 - m1) * 0.13714932) + 0.680656) * (r1 - r2))"
18,0.0018005107,"(r1 - ((exp((m1 * -0.20589893) + -0.71676624) - (m2 * -0.09909232)) * (r1 - r2))) * 1.356463"
19,3.1182265e-6,"((-2.6131792 - m2) * ((r1 - r2) / (3.8371453 - ((m1 + m2) * -0.73540175)))) + (r1 * 1.3562503)"
21,1.945925e-6,"(((r1 - r2) * ((-2.611886 - m2) / (3.8346882 - ((m2 + m1) * -0.7348716)))) + (r1 * 1.3563948)) + -0.0010756593"
23,1.7841812e-6,"(r1 * 1.3563322) + ((((m2 * -0.8395844) - 2.1907847) * ((r1 - r2) / (3.2173696 - ((m2 + m1) * -0.61759436)))) - 0.0010572363)"
25,7.183105e-7,"(r1 * 1.3561522) + ((((0.0056733205 - (r1 - r2)) / (((m2 + m1) * 0.2537305) + 1.321999)) * (0.90003437 - (m2 * -0.3448864))) + -0.0049368176)"
27,1.15665495e-8,"((r1 + -0.0033879853) * 1.3522911) + ((0.0051842136 - (r1 - (r2 / 0.99437076))) * ((0.89947486 - (m2 * -0.3455048)) / (((m2 + m1) * 0.25559798) + 1.3286749)))"
31,4.6475352e-9,"((r1 * 1.3520163) - (((r1 - (r2 * 1.0060785)) + -0.005314967) * ((((m1 - (m2 / 1.0034138)) * -0.11201078) / (((m1 + m2) * 0.16538863) + 0.860026)) + 0.6766882))) + -0.004674587"
33,3.226604e-10,"-0.004689325 + ((r1 * 1.3520274) - (((((m1 - (m2 / 1.0034362)) * -0.11219719) / (((m1 + (m2 / 1.0011679)) * 0.16577037) + 0.8614485)) + 0.67666334) * (r1 - ((r2 * 1.0060685) - -0.005342682))))"
