Complexity,Loss,Equation
1,0.87288636,"V2"
2,0.72878695,"sin(V2)"
3,0.6824036,"V2 * 0.56358206"
4,0.5678225,"sin(V2 - V1)"
5,0.36907408,"(V2 - V1) * 0.56011045"
7,0.30311713,"(V2 - V1) / (2.5136044 - kb)"
8,0.2779752,"(V2 - V1) / (2.0837688 - sin(kb))"
9,0.27207938,"(0.2186605 * (kb + 2.5580504)) * (V2 - V1)"
10,0.24160646,"(V2 - V1) / (1.9890271 - sin(n + T))"
11,0.17713094,"(2.573757 + (n + T)) * (0.2186605 * (V2 - V1))"
12,0.16829214,"(exp((T + kb) * 0.37908474) * (V2 - V1)) * 0.48996493"
13,0.07113986,"(T + 2.3244832) * ((V2 - V1) / (4.520446 - (n + kb)))"
14,0.0489045,"((V2 - V1) * exp(((kb + T) + n) * 0.37467453)) * 0.46015182"
16,0.045394804,"(((V2 - V1) * 0.1892802) * (T + 2.60212)) * exp((n + kb) * 0.3736604)"
17,0.03878638,"(V2 - V1) * (((0.083637185 + (n * 0.032245312)) * (kb + 2.5891554)) * (T + 2.5891554))"
19,0.038785096,"((n + 2.588937) * (((V2 - V1) + -0.0016662973) * ((kb * 0.032250904) + 0.083637185))) * (T + 2.588937)"
20,0.021146426,"((T + 2.5667698) * (exp((V1 + ((V2 - n) - kb)) * -0.32166234) * 0.1906596)) * (V2 - V1)"
21,0.013743672,"(((kb * 0.034214247) + 0.08785358) * (((n + 2.5245621) * (T + 2.5245621)) - (V1 + V2))) * (V2 - V1)"
22,0.01284119,"(V2 - V1) * ((((n - sin(V1 + V2)) + 2.7710943) * ((kb * 0.029972574) + 0.07793068)) * (T + 2.6034355))"
23,0.0072566057,"((V2 - V1) * ((T + 2.5588923) * ((n - ((V1 + V2) / 1.7583308)) + 2.6042945))) * ((kb * 0.03256368) + 0.08385901)"
24,0.0015359018,"((n + 2.5940409) * (V2 - V1)) * ((T + 2.5940409) * (exp((V2 + V1) * -0.2187689) * ((kb * 0.03144621) + 0.08163296)))"
31,0.0014795013,"((exp((V2 + V1) * -0.21888256) * (n + 2.5860832)) - (-0.011180111 / exp(V2))) * ((((kb * 0.0815908) + 0.2115329) * ((T * 0.38673997) + 0.9974203)) * (V2 - V1))"
32,0.0010741913,"((((T * 0.3868911) + 1.004068) * ((kb * 0.0808187) + 0.20973542)) * ((n + 2.5253766) - (V2 * (V2 * -0.06101005)))) * ((V2 - V1) * exp((V1 + V2) * -0.22001714))"
34,0.00094462483,"((n - ((V2 * (V2 - V1)) * -0.047440723)) + 2.4707623) * (((((kb * 0.0816953) + 0.21289523) * exp((V1 + V2) * -0.22587353)) * (V2 - V1)) * ((T * 0.38372236) + 0.9970818))"
35,0.00088720827,"((2.4758992 - (exp(-1.1874061 - (V2 * V1)) * -0.07559832)) + n) * (((V2 - V1) * (((T * 0.38416374) + 0.9921634) * exp((V1 + V2) * -0.2263365))) * ((kb * 0.083629146) + 0.2148285))"
36,0.00034772963,"((exp((V2 + V1) * -0.21924604) * ((T * 0.22880398) + 0.59667194)) * ((kb * 0.1368049) + 0.35402125)) * ((V2 - V1) * ((n + 2.3741252) - (((V2 * V2) + (V1 * V1)) * -0.08144761)))"
39,0.00034737834,"(((V2 + (-0.0018412996 - V1)) * ((n + 2.3736236) - sin(((V1 * V1) + (V2 * V2)) * -0.08260981))) * exp((V1 + V2) * -0.22093336)) * ((0.35402125 + (kb * 0.13723525)) * (0.59667194 + (T * 0.22880398)))"
40,0.00030402027,"(((kb * 0.13742854) + 0.35457557) * (exp((V1 + V2) * -0.21704218) * ((V2 - V1) * (n + (2.3526826 - (((V1 * V1) + (V2 * ((V1 * 0.2302878) + V2))) * -0.09252799)))))) * ((T * 0.2302878) + 0.5964808)"
