Complexity,Loss,Equation
1,1.0,"0.0"
3,0.7667442,"-0.48283046 * c"
5,0.63825613,"(omega - c) * 0.4257275"
6,0.60871977,"exp(omega - c) * 0.13585654"
7,0.6009017,"((omega - c) + kb) * 0.36485994"
8,0.44593844,"(exp(omega - c) * 0.19210401) - 0.48215905"
9,0.40761086,"(exp(sin(omega) - c) * 0.29256207) - 0.5968539"
10,0.34300208,"((T - c) * exp(omega - c)) * 0.10715648"
11,0.3163157,"(exp((omega - c) + sin(T)) * 0.13399023) + -0.4293656"
12,0.19245028,"(T + (kb - c)) * (exp(omega - c) * 0.10056394)"
13,0.17986307,"(((T + kb) - c) * exp(sin(omega) - c)) * 0.13991892"
14,0.12347435,"(((kb + (T + 2.2109087)) * exp(omega - c)) * 0.08748803) - 0.48215905"
15,0.07243104,"(((T + (kb + 2.4139476)) * 0.121300176) * exp(sin(omega) - c)) - 0.59721035"
17,0.050383072,"((((kb + 2.2248492) + T) * 0.06696559) * exp((c * -1.462091) + sin(omega))) + -0.4728038"
19,0.024868287,"((exp((c * -1.4044559) + sin(omega)) * ((T + 2.2877333) * 0.03131563)) * (kb + 2.2692711)) + -0.48718473"
20,0.024866039,"(exp((c * -1.4044559) + sin(omega)) * ((T + 2.2877333) * sin((kb + 2.2692711) * 0.03132075))) + -0.48718473"
21,0.018858913,"(((omega + exp(sin(omega) + (c * -1.6605955))) * (T + 2.2399576)) * ((kb + 2.2399576) * 0.020838404)) + -0.41595763"
22,0.012331224,"((omega + exp(c * -1.7812668)) * (((kb + 2.2960253) * (T + 2.2366166)) * ((omega + 1.5731608) * 0.014146885))) + -0.47805023"
23,0.010888045,"((kb + 2.3077128) * (((exp(omega) + (exp(c * -1.7034104) * (omega + 1.5487881))) * 0.015011724) * (T + 2.3897088))) + -0.5449509"
24,0.01017876,"-0.5808374 + (((((omega + exp(-1.7740973 * c)) * (omega + 1.5683478)) + 1.3835007) * ((2.4222438 + kb) * 0.012530642)) * (T + 2.4222438))"
26,0.005666438,"((T + 2.4141362) * ((0.009041811 * ((exp((omega * 0.22677946) + (c * -1.7693161)) + 1.8314779) * (omega + 1.9420236))) * (kb + 2.3624837))) + -0.5849167"
27,0.005660248,"(((T + 2.4117937) * (omega + 1.9588172)) * (((exp(sin(omega * 0.22730011) + (c * -1.7238276)) + 1.6395365) * 0.009558292) * (kb + 2.4117937))) + -0.58981"
28,0.005333109,"((omega + 1.9420236) * (((((kb + 2.3624837) * (T + 2.4141362)) * (exp((omega * 0.22677946) + (c * -1.7693161)) + 1.918138)) - h) * 0.009041811)) + -0.5743612"
29,0.004649299,"((((omega + 1.9588172) * ((T + 2.4117937) * (kb + 2.4117937))) - sin(h)) * ((exp((c * -1.7238276) + (omega * 0.22730011)) + 1.6317664) * 0.009554708)) + -0.59084415"
30,0.0040141065,"((((T + 2.4117937) * (kb + 2.4117937)) - (h * 0.22853494)) * ((exp((c * -1.7238276) + (omega * 0.2253479)) + 1.6317664) * ((omega + 1.9588172) * 0.009558292))) + -0.59084415"
31,0.003994152,"(((omega + 1.9588172) * (((kb + 2.4139042) * (T + 2.4139042)) - (h * 0.25009334))) * (0.009558292 * (exp(sin(omega * 0.22730011) + (c * -1.7238276)) + 1.6317664))) + -0.59084415"
32,0.003992432,"((((T + 2.4139042) * (2.4117937 + kb)) - sin(h * 0.25437668)) * (((exp((c * -1.7238276) + sin(omega * 0.22730011)) + 1.6317664) * 0.009558292) * (omega + 1.9588172))) + -0.59084415"
33,0.0038096285,"(((((kb + 2.4117937) * (T + 2.4117937)) - (sin(c * c) + -0.5994273)) * 0.009554708) * ((omega + 1.9588172) * (exp((omega * 0.22730011) + (c * -1.7238276)) + 1.6317664))) + -0.59084415"
34,0.003809628,"-0.59084415 + (((((2.4117937 + kb) * (T + 2.4117937)) - (sin(-0.64278543) + sin(c * c))) * (0.009554708 * (omega + 1.9588172))) * (exp((omega * 0.22730011) + (-1.7238276 * c)) + 1.6317664))"
35,0.0036577613,"(((exp((c * -1.7238276) + (omega * 0.22730011)) + 1.5983483) * ((((kb + 2.4117937) * (T + 2.4117937)) - (sin((c * c) + -0.08546358) + -0.67578167)) * 0.009554708)) * (omega + 1.9588172)) + -0.59153646"
37,0.003627736,"(((exp((-1.7238276 * c) + (omega * 0.22730011)) + 1.5983483) * ((((kb + 2.4117937) * (T + 2.4117937)) - (-0.67578167 + sin(((c * c) + -0.08546358) + -0.08546358))) * 0.009554708)) * (omega + 1.9588172)) + -0.59153646"
39,0.0035490962,"((((kb + 2.4016578) * ((exp(-0.45761332 - c) + 0.2718096) * ((((exp(-0.4167715 - c) * (exp(sin(omega + -0.3028307) - c) * 0.07804051)) + omega) + 1.5613563) * (T + 2.4016578)))) - h) * 0.03711009) + -0.57178706"
40,0.0030540938,"(((exp(-0.45761332 - c) + 0.2718096) * (((omega + ((exp(sin(omega + -0.3028307) - c) * (exp(-0.4167715 - c) * 0.07804051)) + 1.5613563)) * ((kb + 2.4016578) * (2.4016578 + T))) - sin(h))) * 0.03711009) + -0.57178706"
