Complexity,Loss,Equation
1,1.0,"0.0"
3,0.37125295,"theta * -0.7929418"
4,0.34535828,"sin(theta * -1.1754248)"
6,0.29562932,"theta / (sin(m) + -1.7593535)"
7,0.27747822,"(m + 2.589902) * (theta * -0.30567643)"
8,0.2486455,"((m * -0.42405128) + -1.0933564) * sin(theta)"
9,0.18614687,"((v + r) + 2.5945323) * (theta * -0.3057926)"
10,0.15263085,"(sin(theta) * (r + (v + 2.5954638))) * -0.4225801"
11,0.094436735,"(((v + r) + 2.6009119) + m) * (theta * -0.30429316)"
12,0.0569988,"((v + r) + (m + 2.6046386)) * (sin(theta) * -0.4207441)"
13,0.022752492,"exp((m + (r + v)) * 0.341993) * sin(theta + 3.0688589)"
15,0.017491836,"(exp(0.3527761 * (v + (r + m))) + -0.104835436) * sin(theta + 3.0688589)"
16,0.01255854,"(((-0.062626004 * m) + -0.16264586) * ((v + 2.596082) * sin(theta))) * (r + 2.5925817)"
17,0.012255235,"sin((theta * -1.1750586) + 0.0955699) * (exp(((r + v) + m) * 0.34400347) + -0.13984403)"
18,0.007950954,"(r + 2.5958872) * (sin(theta - 0.07581854) * ((v + 2.5888386) * ((m * -0.0627081) + -0.16337164)))"
20,0.0029447582,"sin((theta * 1.173265) + -0.09566597) * (((v + 2.586452) * ((m * -0.059946265) + -0.15631337)) * (r + 2.6046386))"
22,4.1944464e-13,"((r + 2.5938647) * ((v + 2.5963235) * (sin(-0.14106914 + (theta * 1.1533023)) * (-0.1577567 + (m * -0.060563724))))) + -0.06761454"
26,3.9650867e-13,"((r + 2.5938647) * (((v / (r / r)) + 2.5963235) * (((m * -0.060563724) + -0.1577567) * sin((theta * 1.1533023) + -0.14106914)))) + -0.06761454"
30,3.8259893e-13,"(((r + 2.5938647) * ((v / (r / (r / (r / r)))) + 2.5963235)) * (((m * -0.06056376) + -0.1577567) * sin((theta * 1.1533022) + -0.14106911))) + -0.06761454"
32,3.6597587e-14,"(sin((theta * 1.1533022) + -0.14106941) * (((((-0.15709391 * m) + -0.40919882) * (r + ((r * ((v * 0.3855252) + 0.0009499177)) + v))) + (m * -0.40786737)) + -1.0624148)) + -0.06761479"
34,8.86753e-15,"((((((m * -0.15709388) + -0.40919888) * ((((r * ((v * 0.385525) - -0.00094948395)) + v) + -0.21303977) + r)) + (m * -0.4413346)) + -1.1495903) * sin((theta * 1.1533022) + -0.14106941)) + -0.067614794"
39,8.644509e-15,"sqrt(v / v) * ((sin((theta * 1.1533022) + -0.14106941) * (((((-0.15709391 * m) + -0.4091989) * (-0.21303973 + (((r * ((v * 0.38552502) - -0.0009495083)) + v) + r))) + (m * -0.44133464)) + -1.1495904)) + -0.06761479)"
