Complexity,Loss,Equation
1,0.37538308,"x"
2,0.3595512,"sin(x)"
3,0.34015498,"x / 1.2309285"
4,0.2352969,"sin(k_spring) + x"
5,0.1548528,"x + (k_spring * 0.46963733)"
6,0.13815503,"(x + sin(k_spring)) * 0.7482016"
7,0.08621854,"sqrt(exp(x + k_spring)) - 1.2788571"
8,0.06830781,"x + ((k_spring * 0.25730404) * exp(x))"
9,0.03369393,"exp((k_spring * 0.3268012) + sin(x)) - 1.35868"
10,0.01870546,"exp((k_spring * 0.3612298) + (x * 0.6432193)) - 1.2999951"
11,0.015372891,"exp(sin(0.7988168 * x) + (0.35841617 * k_spring)) - 1.3098719"
12,0.001014045,"((exp(x * 0.31309134) + -0.5838016) * (k_spring + 2.535467)) - 1.1813854"
14,0.00027947073,"(((k_spring + 2.5974479) * 0.7878131) * (exp(x * 0.38049552) + -0.48097995)) + -1.2117059"
15,5.12992e-11,"((k_spring + 2.597855) * (((x + 2.6167555) * (x + 2.5791047)) * 0.060277183)) - 1.2119387"
21,6.4713236e-13,"(k_spring * 0.0017316939) + (((((k_spring * 1.0204499) + 2.6510153) * (x + 2.7673635)) * ((x + 2.4283226) / 16.928974)) - 1.2074616)"
23,3.75144e-15,"(((k_spring * 0.4068049) + (0.31318718 * (x * (((((k_spring * 0.19246773) + 0.5000101) * x) + k_spring) + -0.5950878)))) + -0.15512656) + x"
25,3.4526685e-15,"((((x * ((((x * 0.50001) + (k_spring * (x * 0.19246769))) + -0.59508777) + k_spring)) * 0.3131872) + -0.15512656) + (k_spring * 0.40680492)) + x"
