Complexity,Loss,Equation
1,1.0,"1.3239212e-5"
2,0.92528814,"sin(mom)"
3,0.7910683,"kb * -0.45703638"
4,0.7840825,"sin(mom - T)"
5,0.58178306,"(T + kb) * -0.45857054"
7,0.4015155,"0.4476846 * (mom - (kb + T))"
9,0.3187004,"((mom + H) - (kb + T)) * 0.4131058"
10,0.30753505,"((mom + sin(H)) - (T + kb)) * 0.44264978"
11,0.28625938,"(((H + mom) - (T + kb)) - c) * 0.37818506"
12,0.21965943,"exp(((mom + H) - (T + kb)) * 0.32924482) + -1.237374"
14,0.21755765,"(exp((H + (mom - (T + kb))) * 0.28964353) + -1.1810708) / 0.81423396"
16,0.16154672,"(exp((mom + (H - (kb + T))) * 0.33057657) + -1.2417132) + (c * -0.24094965)"
17,0.15674534,"exp((mom + (H - (T + kb))) * 0.32973087) + (exp(c * -0.25183713) + -2.2716637)"
18,0.14953765,"(exp((kb + T) * -0.36550087) * (((H + 4.169446) + (mom - c)) * 0.27333978)) + -1.3005859"
19,0.14267847,"(((H + ((mom - sin(c)) - -3.5369852)) * 0.3119334) * exp((T + kb) * -0.36960575)) + -1.2638535"
20,0.12360726,"((exp(((T + kb) - mom) * -0.332526) * 0.23473522) * ((H - (c + -2.7529888)) + 2.1744087)) + -1.3626703"
21,0.12300654,"((((mom + (exp(-0.70697117 - c) - -2.6228025)) + H) * 0.31904882) * exp((T + kb) * -0.3739299)) + -1.2464823"
22,0.11716592,"((0.36088404 * exp(-0.3648394 * (T + kb))) * (exp(-0.874919 - c) + ((sin(H) - -2.5217073) + mom))) + -1.3128675"
23,0.1145194,"((exp((kb + T) * -0.36392418) * (((exp(-0.874919 - c) + (H * 0.73282105)) - -2.4412346) + mom)) * 0.36466348) + -1.2818444"
24,0.11306912,"((((sin(H) - (kb + T)) + sin(-0.81041443 - c)) * exp(((T + kb) - mom) * -0.2457651)) + mom) * 0.41617984"
25,0.09623547,"-1.2643716 + ((exp((kb + T) * -0.3685545) * 0.33104286) * ((H + (exp(((epsilon * -0.3685545) - 0.7832708) - c) + mom)) - -2.5770776))"
26,0.08986704,"((sin(H) + ((mom + exp(((epsilon * -0.3667214) - 0.89682525) - c)) - -2.5217073)) * (exp((T + kb) * -0.3648394) * 0.36088404)) + -1.3289226"
27,0.07324133,"(0.33075902 * ((((mom + H) + exp((((epsilon - M) * -0.3685545) - 0.9217893) - c)) - -2.5770776) * exp((kb + T) * -0.3685545))) + -1.2484201"
28,0.06647672,"(0.36088404 * (exp(-0.3632857 * (T + kb)) * ((exp((((epsilon - M) * -0.39112893) - 1.0191301) - c) + (sin(H) - -2.5217073)) + mom))) + -1.3128675"
29,0.06396061,"(exp((kb + T) * -0.36392418) * ((((exp((((epsilon - M) * -0.39112893) - 1.0191301) - c) + (H * 0.73582804)) + mom) - -2.462702) * 0.36466348)) + -1.2950789"
31,0.044748634,"(((((exp((((alpha - epsilon) * 0.36196095) + -0.63923395) - c) - (kb + T)) + H) * exp(((T + kb) - mom) * -0.2909554)) + mom) * 0.28088966) - 0.4849595"
33,0.025343606,"(((exp(((T + kb) - mom) * -0.26726627) * ((((alpha + (M + (2.9063756 - epsilon))) * exp(-1.6179826 - c)) + H) - (T + kb))) + mom) * 0.30357793) + -0.4869973"
35,0.017942416,"((mom + (((((alpha + M) - -2.949036) * exp((-1.7571746 - c) + (epsilon * -0.40029186))) + (H - (T + kb))) * exp((T + (kb - mom)) * -0.27698898))) * 0.2974167) + -0.47196636"
37,0.017165596,"((mom + (exp(((kb - mom) + T) * -0.27698898) * (((((alpha + M) - -2.949036) * exp((epsilon * -0.4109231) + ((-1.7721735 - c) * 0.87324834))) + H) - (kb + T)))) * 0.29043972) + -0.48950368"
