Complexity,Loss,Equation
1,0.007126698,"t"
3,0.007114009,"t * 0.99634075"
5,0.0044247364,"(x * -0.052015223) + t"
7,0.004410622,"((x * -0.052099843) + t) * 0.9962179"
8,0.0027635426,"t + ((x * -0.030668793) / exp(c))"
9,0.0027635384,"t + (sin(-0.030668793 * x) / exp(c))"
10,0.0026398972,"(-0.030624729 * ((x - -0.17902751) / exp(c))) + t"
12,0.0016741713,"(((x - t) / exp(c)) * -0.028335344) + (t * 0.9516051)"
13,0.001651659,"(t * 0.9613062) + (((x - sin(t)) * -0.03051613) / exp(c))"
14,0.001543321,"((-0.028664727 / exp(c)) * (x - (t + -0.19130827))) + (t * 0.95078504)"
15,0.0015234705,"(t + ((-0.031932507 * ((0.16820963 - sin(t)) + x)) / exp(c))) * 0.9598331"
16,0.0009456683,"(t * 0.9518508) + ((u + 3.2427783) * (-0.008839503 * ((x - t) / exp(c))))"
18,0.00053022837,"(((((u + 3.0141695) * (x - t)) - u) * -0.0094375545) / exp(c)) + (0.9517142 * t)"
20,0.00039061834,"(0.9511568 * t) + ((((u + 3.4589705) * (x - t)) - (u + c)) * (-0.0080224 / exp(c)))"
21,0.0003213294,"(t * 0.9489324) + ((((u + sin(c)) - ((u + 3.4426024) * (x - t))) * 0.008433585) / exp(c))"
22,0.00024550615,"0.9499965 * ((((((x - t) * (u + 3.244392)) + (1.284436 - u)) * -0.009471459) / exp(c)) + (t + 0.018828554))"
24,0.00018537039,"(t * 0.9614582) + (((-0.008702592 / exp(c)) * (x + ((((x - t) * (u + 2.5591893)) - u) + 1.3067088))) + 0.01962717)"
28,0.000174585,"0.95881224 * (((((x - (((-0.48133296 + ((((t - x) * u) + u) * 0.38101467)) + t) * 0.76492906)) / exp(c)) * -0.03202901) + t) + 0.018643271)"
29,0.00015174778,"(t + ((((x - ((t + (((((t - sin(x)) * u) + u) * 0.42723587) + -0.48974943)) * 0.76492906)) * -0.03202901) / exp(c)) + 0.018643271)) * 0.95881224"
30,0.0001471932,"(((x - (((((u + (u * (t - (x * 0.6749251)))) * 0.44476432) + -0.5209319) + t) * 0.7604574)) * (-0.0318701 / exp(c))) + (t + 0.020118032)) * 0.9598331"
31,0.00014139549,"(0.96160954 * (t + 0.018459095)) + ((-0.030925876 * (x - (t + ((((u * (t + (sqrt(exp(sin(u))) - x))) - t) * 0.2726879) + -0.4779552)))) / exp(c))"
32,0.00011303488,"(t * 0.95643795) + ((((x - ((t + -0.5301053) + (((((t + sqrt(exp(t + u))) - x) * u) - t) * 0.22486801))) * -0.03018239) / exp(c)) + 0.018180432)"
33,0.00010253921,"((((x - ((t + ((((t + (sqrt(exp(sin(t) + u)) - x)) * u) - t) * 0.24247544)) + -0.53142154)) / exp(c)) * -0.031337705) + (t + 0.018914377)) * 0.95756316"
34,8.5728534e-5,"(t * 0.95290047) + (0.019673072 + ((x - (t + (-0.5276511 + ((((sqrt(exp(u + t)) + (t - x)) * u) - t) * 0.21705821)))) * ((-0.028279621 / exp(c)) - 0.0065655704)))"
35,8.076633e-5,"0.019033954 + ((t * 0.9545419) + ((x - (((((u * ((t - x) + sqrt(exp(u + sin(t))))) - t) * 0.23338513) + -0.52926725) + t)) * ((-0.028473323 / exp(c)) - 0.00587063)))"
36,3.6291585e-5,"((((-0.02041164 / (exp(c) - 0.059525218)) - 0.0122753335) * (x - (((((((t + sqrt(exp(u + t))) - x) * u) - t) * 0.20227696) + -0.53370667) + t))) + 0.020415606) + (t * 0.9527531)"
37,3.335287e-5,"(((sin(-0.02041164 / (exp(c) - 0.059525218)) - 0.0122753335) * (x - (((((u * (t + (sqrt(exp(t + u)) - x))) - t) * 0.20951985) + t) + -0.53370667))) + 0.020415606) + (t * 0.9527531)"
39,3.3142034e-5,"(((x - ((-0.53370667 + ((((((t + sqrt(exp(t + u))) - x) * u) - t) / 0.96543103) * sqrt(0.040915966))) + t)) * ((-0.02041164 / (exp(c) - 0.059525218)) - 0.0122753335)) + 0.020415606) + (t * 0.9527531)"
40,3.3134413e-5,"(((x - ((-0.53370667 + (sqrt(0.040915966) * ((((t + (sqrt(exp(t + u)) - x)) * u) - t) / 0.96543103))) + t)) * ((sin(-0.02041164) / (exp(c) - 0.059525218)) - 0.0122753335)) + 0.020415606) + (t * 0.9527531)"
