Complexity,Loss,Equation
1,0.60928625,"Ef"
2,0.52915967,"sin(Ef)"
3,0.51647884,"Ef * 0.69547427"
5,0.40068713,"(epsilon + Ef) * 0.5485302"
6,0.36888152,"(Ef + sin(epsilon)) / 1.5642802"
7,0.25657156,"((epsilon + c) + Ef) * 0.4990381"
8,0.20994738,"((epsilon + c) * 0.40131462) + sin(Ef)"
9,0.19730547,"(Ef * 0.702451) + ((c + epsilon) * 0.39730412)"
10,0.095143035,"exp(((c + Ef) + epsilon) * 0.4064331) + -1.273665"
11,0.0796082,"exp((Ef + (epsilon + sin(c))) * 0.44435805) + -1.2797304"
12,0.020864284,"exp(((c + epsilon) + (Ef * 1.7145959)) * 0.32818273) + -1.2960509"
14,0.020781495,"(exp(((c + epsilon) + (Ef * 1.7454262)) * 0.32258815) / 0.9896615) + -1.3088347"
15,0.019201603,"((c + 2.682708) * ((epsilon + 2.7073836) * ((Ef + 1.5160828) * 0.09698369))) + -1.0675657"
17,0.018170873,"exp((epsilon + ((Ef + c) + Ef)) * 0.31246912) + (-1.2154268 - (exp(Ef) * 0.073433995))"
18,0.016782405,"(exp(((c + (Ef + Ef)) + epsilon) * 0.30918416) - (sin(exp(Ef)) * -0.18486921)) + -1.3888599"
19,0.015989248,"exp((c + ((Ef + epsilon) + Ef)) * 0.3136216) + (-1.2652824 - ((exp(Ef) * Ef) * 0.044529837))"
21,0.0030601006,"(((epsilon * c) - ((Ef + 2.179915) * ((-2.5619442 - epsilon) - c))) * ((Ef + 3.0517426) * 0.051878333)) + -1.0143149"
23,3.1499999e-6,"((((Ef + 2.6271384) * 0.051737424) * (((c * epsilon) * 0.38519272) - ((-2.5922608 - epsilon) - c))) * (Ef + 2.5638223)) + -1.0362589"
25,1.927402e-6,"(((((Ef * 0.58109325) + 1.529308) * 0.08905824) * ((epsilon * (c * 0.38486838)) - ((-2.5945778 - epsilon) - c))) * (Ef + 2.560008)) + -1.0379448"
29,9.732161e-7,"((epsilon * 0.00075914327) + (((Ef + 2.5597286) * (((Ef * 0.5822749) + 1.5288525) * 0.088960566)) * (((epsilon * c) * 0.38516703) - ((-2.5959682 - epsilon) - c)))) + -1.0371462"
